feature_set,n_features,model,calibration,Delta,mean,mean_err
30,30,SVM (RBF),uncalibrated,-0.124,0.760014201524877,0.000285805903733463
30,30,SVM (RBF),uncalibrated,-0.122,0.750904682848888,0.000543766036710543
30,30,SVM (RBF),uncalibrated,-0.12,0.745138427280325,0.000781108237301151
30,30,SVM (RBF),uncalibrated,-0.118,0.742850966636418,0.00140031680171403
30,30,SVM (RBF),uncalibrated,-0.116,0.746597915702234,0.000821056725588187
30,30,SVM (RBF),uncalibrated,-0.114,0.178818028412518,0.00816676632878684
30,30,SVM (RBF),uncalibrated,-0.112,0.183197296022109,0.00755701780952779
30,30,SVM (RBF),uncalibrated,-0.11,0.172916384393383,0.00552314508488208
30,30,SVM (RBF),uncalibrated,-0.108,0.16791802075416,0.00357701341531585
30,30,Neural Network,calibrated,-0.128,0.999750150971798,1.06884544489967E-09
30,30,Neural Network,calibrated,-0.126,0.999750140857548,3.37348476930899E-09
30,30,Neural Network,calibrated,-0.124,0.999750124408279,5.48550765921974E-09
30,30,Neural Network,calibrated,-0.122,0.999749911787416,5.65218067594528E-08
30,30,Neural Network,calibrated,-0.12,0.999741378816192,8.39799698967042E-06
30,30,Neural Network,calibrated,-0.118,0.999749715471098,1.44757568436129E-07
30,30,Neural Network,calibrated,-0.116,0.999720073385835,1.60104437499887E-05
30,30,Neural Network,calibrated,-0.114,0.000832086412863294,3.80233237229006E-07
30,30,Neural Network,calibrated,-0.112,0.000876822701076789,4.52592244826856E-05
30,30,Neural Network,calibrated,-0.11,0.000831670641813885,1.46973110783844E-07
30,30,Neural Network,calibrated,-0.108,0.000831519909084255,4.71439514983447E-08
30,30,Neural Network,uncalibrated,-0.128,0.99999813324144,1.66494844284461E-07
30,30,Neural Network,uncalibrated,-0.126,0.999996172542005,4.70559782139723E-07
30,30,Neural Network,uncalibrated,-0.124,0.999993048577194,1.1661678880337E-06
30,30,Neural Network,uncalibrated,-0.122,0.999970866538277,5.11127965516531E-06
30,30,Neural Network,uncalibrated,-0.12,0.999940053395141,1.80608025469548E-05
30,30,Neural Network,uncalibrated,-0.118,0.999917358884225,1.83647068242333E-05
30,30,Neural Network,uncalibrated,-0.116,0.999907865913445,2.51030297102378E-05
30,30,Neural Network,uncalibrated,-0.114,5.95142554889717E-05,1.98488959417068E-05
30,30,Neural Network,uncalibrated,-0.112,0.000134710810354689,9.98693299188376E-05
30,30,Neural Network,uncalibrated,-0.11,4.08248922687264E-05,9.65888172532445E-06
30,30,Neural Network,uncalibrated,-0.108,2.94861042663498E-05,9.20732936368972E-06
20,20,Logistic Regression,calibrated,-0.128,0.999760725825292,1.0589106801928E-05
20,20,Logistic Regression,calibrated,-0.126,0.999651167938781,2.05649547480591E-05
20,20,Logistic Regression,calibrated,-0.124,0.999480126863,3.16979936268447E-05
20,20,Logistic Regression,calibrated,-0.122,0.99927473387522,5.26073938463267E-05
20,20,Logistic Regression,calibrated,-0.12,0.998956553593963,0.000103776553853691
20,20,Logistic Regression,calibrated,-0.118,0.997996043332926,0.000237010768671382
20,20,Logistic Regression,calibrated,-0.116,0.997407053992773,0.000300124686509728
20,20,Logistic Regression,calibrated,-0.114,0.00142312712358136,0.000348766205306582
20,20,Logistic Regression,calibrated,-0.112,0.00170331209423974,0.000734869285029808
20,20,Logistic Regression,calibrated,-0.11,0.00104227992482753,0.000152850942946303
20,20,Logistic Regression,calibrated,-0.108,0.000906276114749778,0.000189343844371515
20,20,Logistic Regression,uncalibrated,-0.128,0.999916523630934,4.72724729248376E-06
20,20,Logistic Regression,uncalibrated,-0.126,0.999869707583794,1.0156023753205E-05
20,20,Logistic Regression,uncalibrated,-0.124,0.999784452788462,1.94737657674415E-05
20,20,Logistic Regression,uncalibrated,-0.122,0.999616642994518,3.48130020576403E-05
20,20,Logistic Regression,uncalibrated,-0.12,0.999387803543397,8.17827073608599E-05
20,20,Logistic Regression,uncalibrated,-0.118,0.998780109433985,0.000172597602226
20,20,Logistic Regression,uncalibrated,-0.116,0.998346602060236,0.000250230589384744
20,20,Logistic Regression,uncalibrated,-0.114,0.000140422491414097,3.9621778549905E-05
20,20,Logistic Regression,uncalibrated,-0.112,0.000191326245256003,0.000108112326257981
20,20,Logistic Regression,uncalibrated,-0.11,9.39935533623394E-05,1.65622339033014E-05
20,20,Logistic Regression,uncalibrated,-0.108,8.00681529964419E-05,1.89704197000733E-05
20,20,Logistic Regression C = 0.00175,calibrated,-0.128,0.999752461132176,1.42503247672537E-05
20,20,Logistic Regression C = 0.00175,calibrated,-0.126,0.999633837109782,3.04020493088197E-05
20,20,Logistic Regression C = 0.00175,calibrated,-0.124,0.999447980954683,4.97076726229118E-05
20,20,Logistic Regression C = 0.00175,calibrated,-0.122,0.999342220874905,5.97701179981698E-05
20,20,Logistic Regression C = 0.00175,calibrated,-0.12,0.999038639658254,0.000131273243447135
20,20,Logistic Regression C = 0.00175,calibrated,-0.118,0.997662854349652,0.000334342253448759
20,20,Logistic Regression C = 0.00175,calibrated,-0.116,0.996695612395496,0.000509129609573251
20,20,Logistic Regression C = 0.00175,calibrated,-0.114,0.00169083384723623,0.000473447892757006
20,20,Logistic Regression C = 0.00175,calibrated,-0.112,0.00222906299979404,0.0012185057658049
20,20,Logistic Regression C = 0.00175,calibrated,-0.11,0.00116191923127589,0.000212015293903782
20,20,Logistic Regression C = 0.00175,calibrated,-0.108,0.000989150575922775,0.000239782146887968
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.128,0.991940366555522,0.000212313511092762
