feature_set,n_features,model,calibration,Delta,chi,chi_err
30,30,Random Forest,calibrated,-0.116,5.89896836931062E-11,1.14078035392133E-11
30,30,Random Forest,calibrated,-0.114,4.11699605859198E-09,2.37420308056773E-09
30,30,Random Forest,calibrated,-0.112,1.75318228377707E-09,1.0508584153824E-09
30,30,Random Forest,calibrated,-0.11,1.20384043814172E-09,1.15559024248341E-09
30,30,Random Forest,calibrated,-0.108,1.24585435727671E-09,7.63315953937779E-10
30,30,Random Forest,uncalibrated,-0.128,2.45652940162125E-07,4.40906568131364E-08
30,30,Random Forest,uncalibrated,-0.126,1.20976943163451E-07,1.42674318916167E-08
30,30,Random Forest,uncalibrated,-0.124,2.55099861262847E-07,3.5293316407644E-08
30,30,Random Forest,uncalibrated,-0.122,8.39604321378701E-07,9.50778590473593E-08
30,30,Random Forest,uncalibrated,-0.12,1.4947650575322E-06,2.27511032770749E-07
30,30,Random Forest,uncalibrated,-0.118,1.96712678682877E-06,2.52279238165954E-07
30,30,Random Forest,uncalibrated,-0.116,2.96969494342003E-06,4.43460071815334E-07
30,30,Random Forest,uncalibrated,-0.114,6.49067952149758E-06,3.88871237699012E-06
30,30,Random Forest,uncalibrated,-0.112,3.97519996299921E-06,2.19706984256277E-06
30,30,Random Forest,uncalibrated,-0.11,2.46839921408793E-06,2.12360757383826E-06
30,30,Random Forest,uncalibrated,-0.108,2.65637154686678E-06,1.59531647117429E-06
30,30,Gradient Boosted Trees,calibrated,-0.128,-3.79643156527319E-30,2.88195565325567E-46
30,30,Gradient Boosted Trees,calibrated,-0.126,-3.79643156527319E-30,2.88195565325567E-46
30,30,Gradient Boosted Trees,calibrated,-0.124,-4.75789853462712E-30,5.80121856528245E-46
30,30,Gradient Boosted Trees,calibrated,-0.122,-2.57617642004537E-30,2.74783689924413E-46
30,30,Gradient Boosted Trees,calibrated,-0.12,-2.53921080014768E-30,1.81875925981734E-46
30,30,Gradient Boosted Trees,calibrated,-0.118,-5.62082535298104E-30,4.20024459298666E-46
30,30,Gradient Boosted Trees,calibrated,-0.116,-2.57617642004537E-30,2.74783689924413E-46
30,30,Gradient Boosted Trees,calibrated,-0.114,-8.665522159901E-37,2.0826373495278E-37
30,30,Gradient Boosted Trees,calibrated,-0.112,-5.82566403639742E-37,1.90771169635802E-37
30,30,Gradient Boosted Trees,calibrated,-0.11,-3.02709161555964E-39,8.98566167966618E-38
30,30,Gradient Boosted Trees,calibrated,-0.108,-2.55078195045231E-36,2.17050780498648E-37
30,30,Gradient Boosted Trees,uncalibrated,-0.128,-4.88112677666233E-30,2.90473826591665E-46
30,30,Gradient Boosted Trees,uncalibrated,-0.126,-4.88112677666233E-30,2.90473826591665E-46
30,30,Gradient Boosted Trees,uncalibrated,-0.124,-1.34108622506004E-29,8.35470961253005E-46
30,30,Gradient Boosted Trees,uncalibrated,-0.122,-5.99053454063353E-30,3.21793707650762E-46
30,30,Gradient Boosted Trees,uncalibrated,-0.12,-3.61159536337849E-30,2.16752297691644E-46
30,30,Gradient Boosted Trees,uncalibrated,-0.118,1.10933564671494E-31,6.36848094350236E-46
30,30,Gradient Boosted Trees,uncalibrated,-0.116,-5.99053454063353E-30,3.21793707650762E-46
30,30,Gradient Boosted Trees,uncalibrated,-0.114,-9.18373703900362E-39,6.67648987680543E-55
30,30,Gradient Boosted Trees,uncalibrated,-0.112,-8.21955747222145E-39,6.31809888337278E-55
30,30,Gradient Boosted Trees,uncalibrated,-0.11,-8.21955747222145E-39,6.31809888337278E-55
30,30,Gradient Boosted Trees,uncalibrated,-0.108,-8.21955747222145E-39,6.31809888337278E-55
30,30,kNN,calibrated,-0.128,-8.97338455429101E-30,6.84030679802587E-46
30,30,kNN,calibrated,-0.126,-8.97338455429101E-30,6.84030679802587E-46
30,30,kNN,calibrated,-0.124,-4.26485220472316E-30,5.49567379848825E-46
30,30,kNN,calibrated,-0.122,-3.20481549674643E-30,4.10792025080343E-46
30,30,kNN,calibrated,-0.12,1.10933564726587E-31,6.30036688948E-46
30,30,kNN,calibrated,-0.118,-7.67932806147494E-30,3.86747904352163E-46
30,30,kNN,calibrated,-0.116,-3.20481549674643E-30,4.10792025080343E-46
30,30,kNN,calibrated,-0.114,-4.69031842046662E-36,1.47650785236116E-52
30,30,kNN,calibrated,-0.112,0.000131003436626876,0.000130412071518254
30,30,kNN,calibrated,-0.11,-1.75154655898012E-36,7.38253926180581E-53
30,30,kNN,calibrated,-0.108,-1.75154655898012E-36,7.38253926180581E-53
30,30,kNN,uncalibrated,-0.128,0,0
30,30,kNN,uncalibrated,-0.126,0,0
30,30,kNN,uncalibrated,-0.124,0,0
30,30,kNN,uncalibrated,-0.122,0,0
30,30,kNN,uncalibrated,-0.12,0,0
30,30,kNN,uncalibrated,-0.118,0,0
30,30,kNN,uncalibrated,-0.116,0,0
30,30,kNN,uncalibrated,-0.114,0,0
30,30,kNN,uncalibrated,-0.112,0,0
30,30,kNN,uncalibrated,-0.11,0,0
30,30,kNN,uncalibrated,-0.108,0,0
30,30,SVM (RBF),calibrated,-0.128,3.38896848615797E-09,8.1393285603277E-11
30,30,SVM (RBF),calibrated,-0.126,4.39753178719099E-09,1.08876397513707E-10
30,30,SVM (RBF),calibrated,-0.124,5.97872494763219E-09,3.31697743933149E-10
30,30,SVM (RBF),calibrated,-0.122,8.7293887281042E-09,4.57199042072852E-10
30,30,SVM (RBF),calibrated,-0.12,1.18287284201593E-08,5.52260326927761E-10
30,30,SVM (RBF),calibrated,-0.118,1.73905255282562E-08,6.7322045986633E-10
30,30,SVM (RBF),calibrated,-0.116,2.52423112043527E-08,1.29071985237831E-09
30,30,SVM (RBF),calibrated,-0.114,0.000460218038111977,0.000417462223695149
30,30,SVM (RBF),calibrated,-0.112,0.002189639027985,0.00193998011834199
30,30,SVM (RBF),calibrated,-0.11,6.86982594094187E-05,3.53132191200081E-05
30,30,SVM (RBF),calibrated,-0.108,5.33848866335174E-05,0.0000476271180591999
30,30,SVM (RBF),uncalibrated,-0.128,2.57240078335327E-05,4.85920695463725E-07
30,30,SVM (RBF),uncalibrated,-0.126,2.71145990567228E-05,4.72090624409462E-07
30,30,SVM (RBF),uncalibrated,-0.124,2.93027773342196E-05,1.27567664691476E-06
30,30,SVM (RBF),uncalibrated,-0.122,3.33493412531329E-05,1.26630445263254E-06
30,30,SVM (RBF),uncalibrated,-0.12,3.64827260285274E-05,1.37592074190577E-06
30,30,SVM (RBF),uncalibrated,-0.118,3.9576478858472E-05,1.62733748773759E-06
30,30,SVM (RBF),uncalibrated,-0.116,4.5806785779791E-05,1.61285083457812E-06
30,30,SVM (RBF),uncalibrated,-0.114,0.00435322668880222,0.00186089771967195
30,30,SVM (RBF),uncalibrated,-0.112,0.00535133857486696,0.00245185375946143
30,30,SVM (RBF),uncalibrated,-0.11,0.00339711799151606,0.00084500869770808
30,30,SVM (RBF),uncalibrated,-0.108,0.00237346844792075,0.000890667118184182
30,30,Neural Network,calibrated,-0.128,-4.32645340539037E-30,2.90473826591665E-46
