feature_set,n_features,model,calibration,Delta,chi,chi_err
30,30,SVM (RBF),calibrated,-0.114,1.64744174448239E-05,9.67739844686407E-06
30,30,SVM (RBF),calibrated,-0.112,0.000189226358561992,0.000178426589892414
30,30,SVM (RBF),calibrated,-0.11,1.11584038783586E-05,4.81662706226622E-06
30,30,SVM (RBF),calibrated,-0.108,4.35069496527415E-06,1.93831545909909E-06
30,30,SVM (RBF),uncalibrated,-0.128,6.22815763812676E-05,9.20121954941635E-07
30,30,SVM (RBF),uncalibrated,-0.126,6.62024623402351E-05,1.91770370002906E-06
30,30,SVM (RBF),uncalibrated,-0.124,7.89097835211371E-05,4.54504766346322E-06
30,30,SVM (RBF),uncalibrated,-0.122,0.000116904813019674,7.21455327643441E-06
30,30,SVM (RBF),uncalibrated,-0.12,0.000148649382468914,1.33868830712385E-05
30,30,SVM (RBF),uncalibrated,-0.118,0.000195456796664563,1.53427442421476E-05
30,30,SVM (RBF),uncalibrated,-0.116,0.00018140137981829,1.94231147173454E-05
30,30,SVM (RBF),uncalibrated,-0.114,0.00117670216575141,0.000201510680134763
30,30,SVM (RBF),uncalibrated,-0.112,0.00154836389605055,0.000602035551599699
30,30,SVM (RBF),uncalibrated,-0.11,0.0010077699867303,0.000164166586347749
30,30,SVM (RBF),uncalibrated,-0.108,0.000788677082898408,9.68098562119107E-05
30,30,Neural Network,calibrated,-0.128,6.72272329376313E-15,4.05271464790608E-15
30,30,Neural Network,calibrated,-0.126,1.69875640850996E-13,1.56210983568835E-13
30,30,Neural Network,calibrated,-0.124,7.3009658118434E-14,4.71354866482615E-14
30,30,Neural Network,calibrated,-0.122,6.37622487019291E-11,5.40459160416415E-11
30,30,Neural Network,calibrated,-0.12,1.42734949899265E-06,1.42718815594526E-06
30,30,Neural Network,calibrated,-0.118,1.72664747598157E-10,1.66382520850869E-10
30,30,Neural Network,calibrated,-0.116,3.42095397131138E-06,2.07735800438623E-06
30,30,Neural Network,calibrated,-0.114,5.5444762690606E-09,5.51698774897197E-09
30,30,Neural Network,calibrated,-0.112,1.64209630055653E-05,1.64188232808927E-05
