feature_set,n_features,model,algorithm,n_neighbors,calibration,train_acc,Delta_crit,Delta_crit_err,Delta_close,N_Delta,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_delta_crit,runtime_total
20,20,KNN,brute,151,uncalibrated,1.0,-0.11499784572154947,2.1589193661676e-06,-0.112,11,2.782,0.444,1.144,0.0078,0.0078,0.00016,4.385
20,20,KNN,brute,201,uncalibrated,1.0,-0.11499383826707545,6.0335930668885394e-06,-0.112,11,2.964,0.448,1.21,0.008,0.0075,0.00015,4.638
12,12,KNN,auto,1,uncalibrated,1.0,-0.115,0.0,-0.128,11,0.088,0.443,0.942,0.0079,0.0078,0.00014,1.489
12,12,KNN,auto,3,uncalibrated,1.0,-0.115,0.0,-0.128,11,0.202,0.462,0.942,0.008,0.0078,0.00014,1.621
12,12,KNN,auto,5,uncalibrated,1.0,-0.115,0.0,-0.128,11,0.222,0.429,0.849,0.0082,0.0079,0.00021,1.516
12,12,KNN,auto,7,uncalibrated,1.0,-0.115,0.0,-0.128,11,0.22,0.449,0.933,0.0079,0.0075,0.00013,1.617
12,12,KNN,auto,9,uncalibrated,1.0,-0.115,0.0,-0.128,11,0.249,0.415,0.87,0.0082,0.008,0.00017,1.55
12,12,KNN,auto,11,uncalibrated,1.0,-0.115,0.0,-0.128,11,0.251,0.44,0.933,0.0079,0.0078,0.00014,1.64
12,12,KNN,auto,13,uncalibrated,1.0,-0.115,0.0,-0.128,11,0.252,0.414,0.857,0.0076,0.0073,0.00013,1.538
12,12,KNN,auto,15,uncalibrated,1.0,-0.115,0.0,-0.128,11,0.192,0.422,0.859,0.008,0.0074,0.00013,1.489
12,12,KNN,auto,17,uncalibrated,1.0,-0.115,0.0,-0.128,11,0.193,0.628,0.926,0.008,0.0077,0.00018,1.763
12,12,KNN,auto,19,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.283,0.425,0.945,0.0083,0.0083,0.00013,1.669
12,12,KNN,auto,21,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.295,0.447,1.01,0.0083,0.0082,0.00014,1.768
12,12,KNN,auto,23,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.214,0.423,0.933,0.0089,0.0078,0.00014,1.588
12,12,KNN,auto,25,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.295,0.441,1.0,0.008,0.0077,0.00029,1.752
12,12,KNN,auto,27,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.226,0.427,0.933,0.0084,0.0072,0.00013,1.602
12,12,KNN,auto,29,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.306,0.416,0.91,0.0078,0.0076,0.00022,1.647
12,12,KNN,auto,31,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.217,0.441,0.998,0.0078,0.0075,0.00014,1.672
12,12,KNN,auto,33,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.292,0.441,0.998,0.0079,0.0077,0.00014,1.746
12,12,KNN,auto,35,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.329,0.423,0.931,0.0083,0.0073,0.00013,1.698
12,12,KNN,auto,37,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.184,0.414,0.919,0.0083,0.0079,0.00017,1.533
12,12,KNN,auto,39,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.31,0.484,0.924,0.0083,0.0072,0.00013,1.734
12,12,KNN,auto,41,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.312,0.437,0.988,0.0077,0.008,0.00024,1.753
12,12,KNN,auto,43,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.344,0.415,0.922,0.0082,0.008,0.00018,1.697
12,12,KNN,auto,45,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.22,0.439,0.993,0.0078,0.0075,0.00014,1.667
12,12,KNN,auto,47,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.324,0.415,0.923,0.0084,0.0076,0.00013,1.678
