transition,folder,tag,model,calibration,param,k4,mean,mean_err,mean_B,ess_frac
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03686,0.9704507,-0.0014500224207594603,0.0015645766361505433,2.0,0.0009453162554088769
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03688,0.9704326,-0.001554641212696648,0.0016875564823712402,2.0,0.001031936071399664
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0369,0.9704145,-0.0016698498698736995,0.0018253764978411473,2.0,0.001131497234169136
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03692,0.9703963999999999,-0.0017967136235366842,0.0019802513920604884,2.0,0.0012465272725512404
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03694,0.9703783,-0.0019363192206850778,0.002154759274087227,2.0,0.0013801497399112406
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03696,0.9703602,-0.002089726228161972,0.0023519001818244232,2.0,0.0015362467953109178
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03698,0.9703421,-0.0022578919385435148,0.002575162330197752,2.0,0.0017196715861089265
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.037,0.970324,-0.002441559545581682,0.0028285962574133845,2.0,0.0019365271518468898
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03702,0.97030885,-0.0026154241445083964,0.00307901814934474,2.0,0.0021602696139150133
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03704,0.9702936999999999,-0.002801374036568587,0.003359830441560801,2.0,0.0024221483475655053
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03706,0.97027855,-0.0029987735800106434,0.0036751368073595653,2.0,0.002730248918475682
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03708,0.9702634,-0.003206256059467486,0.0040295714713778795,2.0,0.0030946534936711787
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0371,0.9702482499999999,-0.003421443131977295,0.004428347369309365,2.0,0.003527992055978021
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03712,0.9702331,-0.0036405820181542262,0.004877300268829048,2.0,0.004046158191879367
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03714,0.97021795,-0.0038580817807828205,0.005382924717033082,2.0,0.004669240808494743
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03716,0.9702028,-0.004065927796564365,0.005952396134468301,2.0,0.005422739134212399
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03718,0.97018765,-0.004252951964999447,0.006593571431253472,2.0,0.006339148917246599
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0372,0.9701725,-0.004403935901768989,0.007314958124003965,2.0,0.007460033745073872
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03722,0.97015735,-0.004498526141933277,0.008125639049830748,2.0,0.008838727573605048
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03724,0.9701422,-0.004509945284790803,0.009035136409739842,2.0,0.010543853027256472
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03726,0.97012705,-0.004403492345336317,0.01005319510051883,2.0,0.01266388371949465
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03728,0.9701119,-0.004134840827508371,0.011189461292346173,2.0,0.01531302425761929
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0373,0.9700967500000001,-0.0036481657531592,0.012453028326516832,2.0,0.018638720984056886
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03732,0.9700816,-0.002874162427204875,0.013851818834459172,2.0,0.022831135033105476
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03734,0.97006645,-0.0017280608476797042,0.015391770440309087,2.0,0.02813488101381523
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03736,0.9700513000000001,-0.00010778992231799331,0.017075793869167723,2.0,0.034863217333164755
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03738,0.97003615,0.0021074974331006767,0.01890247863887308,2.0,0.043414603394756245
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0374,0.970021,0.005058269057396186,0.020864535248149123,2.0,0.0542910228576309
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03742,0.9700083500000001,0.008391319886301166,0.022693400520839974,2.0,0.06628884200533582
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03744,0.9699957,0.01253933583332107,0.0245997131270615,2.0,0.08108654983500742
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03746,0.9699830500000001,0.01763278380701265,0.026560206952024115,2.0,0.09928713917019547
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03748,0.9699704,0.023809138557778636,0.0285435736647027,2.0,0.12158064831635672
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0375,0.9699577500000001,0.03120951431783435,0.030509490279241495,2.0,0.14873218133773633
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03752,0.9699451,0.03997435148773036,0.03240790724408083,2.0,0.18155382341013382
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03754,0.9699324500000001,0.05023826424909503,0.03417876723540941,2.0,0.22085395621435658
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03756,0.9699198,0.06212427531177414,0.035752351624279956,2.0,0.26735722678399226
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03758,0.9699071499999999,0.07573779047479709,0.037050461715036793,2.0,0.32158986045904486
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0376,0.9698945,0.09116077728694336,0.03798862366921447,2.0,0.38372939945201756
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03762,0.96988185,0.10844668230010412,0.03847944747072163,2.0,0.4534266346865098
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03764,0.9698692,0.1276166229349926,0.038437162303580616,2.0,0.5296210954048047
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03766,0.96985655,0.14885699979373515,0.04045361682462727,15.0,0.6103884135688712
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03768,0.9698439,0.17107177328011738,0.04253035185807701,15.0,0.6928728405512047
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0377,0.96983125,0.19518102783486824,0.04462020204616599,15.0,0.7733617091240754
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03772,0.9698186,0.2211196641919565,0.046735979706816005,15.0,0.8475403100621043
