transition,folder,tag,model,calibration,param,k4,chi,chi_err,chi_B,variance,variance_err,variance_B,ess_frac
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03662,0.9706679,-0.002098286308626094,0.002746473099494945,2.0,-4.479461011643349e-06,4.501338831217364e-06,2.0,0.00042900314082650276
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03664,0.9706498,-0.0022492129995579464,0.00305963471622709,2.0,-5.26410030672158e-06,5.293294440075982e-06,2.0,0.00045167388738763276
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03666,0.9706317,-0.0023964706823426728,0.003413268835371958,2.0,-6.208305163278878e-06,6.2475735557900946e-06,2.0,0.0004765370214630228
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03668,0.9706136000000001,-0.0025327921868678474,0.0038122720047578523,2.0,-7.3474965480472985e-06,7.400724548623913e-06,2.0,0.0005038865180216589
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0367,0.9705955,-0.002648078244550286,0.004261874211789987,2.0,-8.725322269529539e-06,8.798010648534457e-06,2.0,0.000534065718307974
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03672,0.9705774,-0.002728626568745049,0.004767561016962749,2.0,-1.039558525896213e-05,1.049555818586933e-05,2.0,0.0005674771785729854
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03674,0.9705593,-0.0027562310266436383,0.005334951568704692,2.0,-1.2424606826306577e-05,1.2563041685953593e-05,2.0,0.0006045947839644901
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03676,0.9705412,-0.0027071601223235976,0.00596962080592048,2.0,-1.4894110000361989e-05,1.5087038871102524e-05,2.0,0.0006459787155935796
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03678,0.9705231,-0.002551040766235484,0.006676853011458091,2.0,-1.7904716975269272e-05,1.817522021367089e-05,2.0,0.0006922940281834584
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0368,0.970505,-0.0022496956918502263,0.007461313440578522,2.0,-2.158015961089801e-05,2.1961575939088303e-05,2.0,0.0007443338184629331
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03682,0.9704869,-0.0017560105606656985,0.008326625492027428,2.0,-2.6072298930661983e-05,2.6612929255225223e-05,2.0,0.0008030482587548354
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03684,0.9704688,-0.0010129381936679529,0.009274843427283786,2.0,-3.15670324113295e-05,3.2337038923428634e-05,2.0,0.0008695811607810925
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03686,0.9704507,4.7220805697847576e-05,0.010305815701996205,2.0,-3.829112700439365e-05,3.9392657616538615e-05,2.0,0.0009453162554088769
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03688,0.9704326,0.0015030948337418741,0.011416442331906317,2.0,-4.65199368787517e-05,4.810198474842461e-05,2.0,0.001031936071399664
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0369,0.9704145,0.003443894541020287,0.012599842078956109,2.0,-5.6585826583194565e-05,5.886603243736294e-05,2.0,0.001131497234169136
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03692,0.9703963999999999,0.005968267783777324,0.01384446203132209,2.0,-6.88868919208237e-05,7.218350802712645e-05,2.0,0.0012465272725512404
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03694,0.9703783,0.009182217093465783,0.015133183181610513,2.0,-8.389520856661073e-05,8.867390035387163e-05,2.0,0.0013801497399112406
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03696,0.9703602,0.013196011554651388,0.016442499694733957,2.0,-0.00010216328145532898,0.00010910552963596605,2.0,0.0015362467953109178
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03698,0.9703421,0.01812013199639915,0.017741874079536712,2.0,-0.00012432653339087432,0.00013442936602549573,2.0,0.0017196715861089265
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.037,0.970324,0.024060423298755025,0.01899339105522745,2.0,-0.00015109844955775177,0.00016581941385139534,2.0,0.0019365271518468898
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03702,0.97030885,0.03017726535617267,0.02001674715131908,2.0,-0.00017895645218714084,0.0001994439102035823,2.0,0.0021602696139150133
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03704,0.9702936999999999,0.03720385262157752,0.02093434275434511,2.0,-0.00021148819669068177,0.00024000929792475356,2.0,0.0024221483475655053
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03706,0.97027855,0.0451838266232706,0.021708213221422325,2.0,-0.0002492138610926367,0.0002889171290318617,2.0,0.002730248918475682
