stride,feature_set,n_features,model,standardized,Delta,chi,chi_err
1,12,12,GaussianMixture,False,-0.108,0,0
1,12,12,MeanShift,False,-0.128,0,0
1,12,12,MeanShift,False,-0.126,0,0
1,12,12,MeanShift,False,-0.124,0,0
1,12,12,MeanShift,False,-0.122,0,0
1,12,12,MeanShift,False,-0.12,0,0
1,12,12,MeanShift,False,-0.118,0,0
1,12,12,MeanShift,False,-0.116,0,0
1,12,12,MeanShift,False,-0.114,0,0
1,12,12,MeanShift,False,-0.112,0.00606646573900035,0.00602782998844036
1,12,12,MeanShift,False,-0.11,0,0
1,12,12,MeanShift,False,-0.108,0,0
1,12,12,Birch,False,-0.128,0,0
1,12,12,Birch,False,-0.126,0,0
1,12,12,Birch,False,-0.124,0,0
1,12,12,Birch,False,-0.122,0,0
1,12,12,Birch,False,-0.12,0,0
1,12,12,Birch,False,-0.118,0,0
1,12,12,Birch,False,-0.116,0,0
1,12,12,Birch,False,-0.114,0.265269349218266,0.0548547483122474
1,12,12,Birch,False,-0.112,0.309787180542733,0.0276880936520959
1,12,12,Birch,False,-0.11,0.286614528383341,0.0778664174369639
1,12,12,Birch,False,-0.108,0.289955779960293,0.0259860611816768
1,12,12,BayesianGMM,False,-0.128,0,0
1,12,12,BayesianGMM,False,-0.126,0,0
1,12,12,BayesianGMM,False,-0.124,0,0
1,12,12,BayesianGMM,False,-0.122,0,0
1,12,12,BayesianGMM,False,-0.12,0,0
1,12,12,BayesianGMM,False,-0.118,0,0
1,12,12,BayesianGMM,False,-0.116,0,0
1,12,12,BayesianGMM,False,-0.114,0,0
1,12,12,BayesianGMM,False,-0.112,0,0
1,12,12,BayesianGMM,False,-0.11,0,0
1,12,12,BayesianGMM,False,-0.108,0,0
