stride,feature_set,n_features,model,standardized,Delta,mean,mean_err
1,12,12,GaussianMixture,False,-0.108,0,0
1,12,12,MeanShift,False,-0.128,1,0
1,12,12,MeanShift,False,-0.126,0,0
1,12,12,MeanShift,False,-0.124,0,0
1,12,12,MeanShift,False,-0.122,1,0
1,12,12,MeanShift,False,-0.12,1,0
1,12,12,MeanShift,False,-0.118,0,0
1,12,12,MeanShift,False,-0.116,0,0
1,12,12,MeanShift,False,-0.114,0,0
1,12,12,MeanShift,False,-0.112,0.00606646445118496,0.00606646445118496
1,12,12,MeanShift,False,-0.11,0,0
1,12,12,MeanShift,False,-0.108,0,0
1,12,12,Birch,False,-0.128,1,0
1,12,12,Birch,False,-0.126,0,0
1,12,12,Birch,False,-0.124,0,0
1,12,12,Birch,False,-0.122,1,0
1,12,12,Birch,False,-0.12,1,0
1,12,12,Birch,False,-0.118,0,0
1,12,12,Birch,False,-0.116,0,0
1,12,12,Birch,False,-0.114,0.619127617447651,0.171638733373398
1,12,12,Birch,False,-0.112,0.509933333333333,0.244709741893897
1,12,12,Birch,False,-0.11,0.619,0.227
1,12,12,Birch,False,-0.108,0.484133333333333,0.293733333333333
1,12,12,BayesianGMM,False,-0.128,1,0
1,12,12,BayesianGMM,False,-0.126,0,0
1,12,12,BayesianGMM,False,-0.124,0,0
1,12,12,BayesianGMM,False,-0.122,0,0
1,12,12,BayesianGMM,False,-0.12,0,0
1,12,12,BayesianGMM,False,-0.118,0,0
1,12,12,BayesianGMM,False,-0.116,0,0
1,12,12,BayesianGMM,False,-0.114,0,0
1,12,12,BayesianGMM,False,-0.112,0,0
1,12,12,BayesianGMM,False,-0.11,0,0
1,12,12,BayesianGMM,False,-0.108,0,0
