transition,folder,tag,model,calibration,param,k4,mean,mean_err,mean_B,ess_frac
AC,c_a,LR,Logistic Regression,uncalibrated,4.67,1.16367,0.00022626450731000596,0.0015142018455910969,100.0,8.344877164524838e-05
AC,c_a,LR,Logistic Regression,uncalibrated,4.671,1.1638186666666668,0.00023380547419260263,0.0015319012499242612,100.0,8.439826767777777e-05
AC,c_a,LR,Logistic Regression,uncalibrated,4.672,1.1639673333333334,0.00024155463920545218,0.001549688933084725,100.0,8.536969289630483e-05
AC,c_a,LR,Logistic Regression,uncalibrated,4.673,1.164116,0.0002495184327332327,0.0015675646215355396,100.0,8.636385881999471e-05
AC,c_a,LR,Logistic Regression,uncalibrated,4.674,1.1642646666666667,0.00025770376605536234,0.001585528452755035,100.0,8.73816224895784e-05
AC,c_a,LR,Logistic Regression,uncalibrated,4.675,1.1644133333333333,0.0002661180927245655,0.001603581052131236,100.0,8.842388989555044e-05
AC,c_a,LR,Logistic Regression,uncalibrated,4.676,1.164562,0.0002747694786500094,0.0016217236208371638,100.0,8.949161972145035e-05
AC,c_a,LR,Logistic Regression,uncalibrated,4.677,1.1647106666666667,0.00028366668219743994,0.0016399580362004105,100.0,9.058582743583647e-05
AC,c_a,LR,Logistic Regression,uncalibrated,4.678,1.1648593333333332,0.00029281924582961224,0.0016582869663001553,100.0,9.170758977082096e-05
AC,c_a,LR,Logistic Regression,uncalibrated,4.679,1.165008,0.0003022376010585182,0.0016767140007686256,100.0,9.285804962957498e-05
AC,c_a,LR,Logistic Regression,uncalibrated,4.68,1.1651566666666666,0.0003119331887677407,0.0016952438000601977,100.0,9.403842147055465e-05
AC,c_a,LR,Logistic Regression,uncalibrated,4.681,1.1653053333333332,0.0003219185973052641,0.0017138822657819183,100.0,9.524999722231415e-05
AC,c_a,LR,Logistic Regression,uncalibrated,4.682,1.165454,0.0003322077211428598,0.0017326367350551874,100.0,9.649415278955912e-05
AC,c_a,LR,Logistic Regression,uncalibrated,4.683,1.1656026666666666,0.00034281594336778884,0.0017515162023193384,100.0,9.777235521907038e-05
AC,c_a,LR,Logistic Regression,uncalibrated,4.684,1.1657513333333334,0.00035376034582396024,0.001770531572498156,100.0,9.908617060323098e-05
AC,c_a,LR,Logistic Regression,uncalibrated,4.685,1.1659,0.00036505995136800026,0.0017896959500355227,100.0,0.00010043727280913993
AC,c_a,LR,Logistic Regression,uncalibrated,4.686,1.1660486666666665,0.00037673600347211964,0.0018090249689971794,100.0,0.00010182745313344373
AC,c_a,LR,Logistic Regression,uncalibrated,4.687,1.1661973333333333,0.0003888122893115338,0.001828537170228524,100.0,0.00010325863099662726
AC,c_a,LR,Logistic Regression,uncalibrated,4.688,1.1663459999999999,0.00040131551354078993,0.001848254432488532,100.0,0.00010473286580649548
AC,c_a,LR,Logistic Regression,uncalibrated,4.689,1.1664946666666667,0.00041427573123243395,0.0018682024655645672,100.0,0.00010625237013902548
AC,c_a,LR,Logistic Regression,uncalibrated,4.69,1.1666433333333333,0.00042772684994722113,0.0018884113746318188,100.0,0.00010781952440591674
AC,c_a,LR,Logistic Regression,uncalibrated,4.691,1.1667919999999998,0.0004417072126866495,0.0019089163066023157,100.0,0.00010943689320315829
AC,c_a,LR,Logistic Regression,uncalibrated,4.692,1.1669406666666666,0.00045626027558569337,0.0019297581909254256,100.0,0.00011110724356349707
AC,c_a,LR,Logistic Regression,uncalibrated,4.693,1.1670893333333332,0.0004714353967138524,0.0019509845893179991,100.0,0.00011283356536946829
AC,c_a,LR,Logistic Regression,uncalibrated,4.694,1.1672379999999998,0.00048728875533382045,0.001972650671244844,100.0,0.00011461909422284111
AC,c_a,LR,Logistic Regression,uncalibrated,4.695,1.1673866666666666,0.0005038844245160777,0.0019948203346991664,100.0,0.00011646733711224581
AC,c_a,LR,Logistic Regression,uncalibrated,4.696,1.1675353333333331,0.0005212956242339134,0.002017567494998901,100.0,0.00011838210127475814
AC,c_a,LR,Logistic Regression,uncalibrated,4.697,1.167684,0.0005396061871050385,0.0020409775679753666,100.0,0.0001203675267107825
AC,c_a,LR,Logistic Regression,uncalibrated,4.698,1.1678326666666665,0.0005589122749479172,0.0020651491781253886,100.0,0.00012242812288621702
AC,c_a,LR,Logistic Regression,uncalibrated,4.699,1.167981333333333,0.0005793243914938239,0.0020901961270866766,100.0,0.00012456881024467596
AC,c_a,LR,Logistic Regression,uncalibrated,4.7,1.16813,0.0006009697451449904,0.002116249663175746,100.0,0.00012679496725714488
AC,c_a,LR,Logistic Regression,uncalibrated,4.701,1.1682819999999998,0.0006252632129804317,0.002145830115073552,100.0,0.0001292172037597969
AC,c_a,LR,Logistic Regression,uncalibrated,4.702,1.168434,0.0006512095253409676,0.0021768141845068213,100.0,0.00013174330426974875
AC,c_a,LR,Logistic Regression,uncalibrated,4.703,1.168586,0.0006790200254933518,0.002209414203263667,100.0,0.0001343809123327623
AC,c_a,LR,Logistic Regression,uncalibrated,4.704,1.1687379999999998,0.0007089403576592051,0.0022438756181748748,100.0,0.00013713846399900822
AC,c_a,LR,Logistic Regression,uncalibrated,4.705,1.16889,0.0007412565004582864,0.0022804821070659194,100.0,0.0001400252902684325
AC,c_a,LR,Logistic Regression,uncalibrated,4.706,1.169042,0.0007763019191015879,0.002319561468782424,100.0,0.00014305173518405043
AC,c_a,LR,Logistic Regression,uncalibrated,4.707,1.1691939999999998,0.0008144660513510048,0.0023614923836612406,100.0,0.00014622929232186138
AC,c_a,LR,Logistic Regression,uncalibrated,4.708,1.169346,0.0008562043839987223,0.002406712141002317,100.0,0.00014957076297127372
AC,c_a,LR,Logistic Regression,uncalibrated,4.709,1.169498,0.0009020504261689414,0.002455725423941163,100.0,0.00015309043996605769
AC,c_a,LR,Logistic Regression,uncalibrated,4.71,1.1696499999999999,0.0009526299443618001,0.0025091142267524807,100.0,0.0001568043219416903
AC,c_a,LR,Logistic Regression,uncalibrated,4.711,1.169802,0.0010086778931976742,0.002567548951578587,100.0,0.00016073036379798006
AC,c_a,LR,Logistic Regression,uncalibrated,4.712,1.169954,0.001071058556694704,0.0026318006869473164,100.0,0.00016488877038366989
AC,c_a,LR,Logistic Regression,uncalibrated,4.713,1.170106,0.0011407895090093344,0.0027027546051313052,100.0,0.00016930234195257585
AC,c_a,LR,Logistic Regression,uncalibrated,4.714,1.170258,0.0012041933520763304,0.0027822386275547055,74.0,0.00017399688184572157
AC,c_a,LR,Logistic Regression,uncalibrated,4.715,1.17041,0.0012918116180668264,0.0028708172813444507,74.0,0.0001790016792318094
AC,c_a,LR,Logistic Regression,uncalibrated,4.716,1.170562,0.0013910905746817473,0.0029697466271706827,74.0,0.0001843500827162729
AC,c_a,LR,Logistic Regression,uncalibrated,4.717,1.170714,0.0015040147362007329,0.0030805324719956704,74.0,0.00019008018437594962
AC,c_a,LR,Logistic Regression,uncalibrated,4.718,1.170866,0.0016329304020326657,0.003204867907441836,74.0,0.00019623563850860822
AC,c_a,LR,Logistic Regression,uncalibrated,4.719,1.1710180000000001,0.0017806126430985432,0.003344644624402393,74.0,0.00020286664538948107
AC,c_a,LR,Logistic Regression,uncalibrated,4.72,1.17117,0.0019503442075822345,0.0035019609316479412,74.0,0.00021003113797567964
AC,c_a,LR,Logistic Regression,uncalibrated,4.721,1.1713200000000001,0.002142632717152549,0.0036758467221408315,74.0,0.00021765008387230304
AC,c_a,LR,Logistic Regression,uncalibrated,4.722,1.1714700000000002,0.0023645689494751565,0.003871546093815534,74.0,0.00022592779898294828
AC,c_a,LR,Logistic Regression,uncalibrated,4.723,1.17162,0.0026213537711058128,0.00409167001803878,74.0,0.00023495153889872402
AC,c_a,LR,Logistic Regression,uncalibrated,4.724,1.1717700000000002,0.0029191143963100104,0.004338995952995832,74.0,0.0002448233606830385
AC,c_a,LR,Logistic Regression,uncalibrated,4.725,1.17192,0.003265059608358615,0.004616436926618503,74.0,0.00025566312937637815
AC,c_a,LR,Logistic Regression,uncalibrated,4.726,1.17207,0.0036676554977321044,0.004926997025082406,74.0,0.0002676122316967537
AC,c_a,LR,Logistic Regression,uncalibrated,4.727,1.17222,0.004136822059392763,0.005273710690837963,74.0,0.00028083818532370717
AC,c_a,LR,Logistic Regression,uncalibrated,4.728,1.17237,0.00468414988118423,0.005659562973161178,74.0,0.0002955403880103421
AC,c_a,LR,Logistic Regression,uncalibrated,4.729,1.17252,0.0053231345566524795,0.006087387721872436,74.0,0.00031195732478434533
AC,c_a,LR,Logistic Regression,uncalibrated,4.73,1.17267,0.0060694242665384895,0.00655974079275441,74.0,0.00033037565006073955
AC,c_a,LR,Logistic Regression,uncalibrated,4.731,1.172823,0.006960781442595904,0.007090176145467174,74.0,0.00035165085371380365
AC,c_a,LR,Logistic Regression,uncalibrated,4.732,1.172976,0.008004493004094795,0.007670597539868956,74.0,0.00037581691595679344
AC,c_a,LR,Logistic Regression,uncalibrated,4.733,1.1731289999999999,0.009225658998464174,0.008301709026642023,74.0,0.0004034219692603721
AC,c_a,LR,Logistic Regression,uncalibrated,4.734,1.173282,0.010652705426999955,0.008983058150893201,74.0,0.00043514209726528737
AC,c_a,LR,Logistic Regression,uncalibrated,4.735,1.173435,0.012317515603253053,0.009712752689172646,74.0,0.00047181629102988445
AC,c_a,LR,Logistic Regression,uncalibrated,4.736,1.1735879999999999,0.014255453311197232,0.010487169306184945,74.0,0.0005144922384397721
AC,c_a,LR,Logistic Regression,uncalibrated,4.737,1.173741,0.016505240167627812,0.011300673506459738,74.0,0.0005644866627967719
AC,c_a,LR,Logistic Regression,uncalibrated,4.738,1.173894,0.019108648775676928,0.012145376963520645,74.0,0.0006234653070401647
AC,c_a,LR,Logistic Regression,uncalibrated,4.739,1.1740469999999998,0.022031100595004387,0.01305370120600278,25.0,0.000693549584002521
AC,c_a,LR,Logistic Regression,uncalibrated,4.74,1.1742,0.02543620099734115,0.014004033875151832,25.0,0.0007774596018777305
AC,c_a,LR,Logistic Regression,uncalibrated,4.741,1.1743549999999998,0.02938292669517016,0.014975013792923325,25.0,0.0008801955825334139
AC,c_a,LR,Logistic Regression,uncalibrated,4.742,1.17451,0.03387865011498609,0.015936948927772258,25.0,0.0010054711246032212
AC,c_a,LR,Logistic Regression,uncalibrated,4.743,1.174665,0.03897058015197687,0.016870434594019018,25.0,0.001159525720367244
AC,c_a,LR,Logistic Regression,uncalibrated,4.744,1.17482,0.04470239705871111,0.017754482110125622,25.0,0.0013506100757524656
AC,c_a,LR,Logistic Regression,uncalibrated,4.745,1.1749749999999999,0.05111248925360762,0.018567368949220963,25.0,0.0015897070507698914
AC,c_a,LR,Logistic Regression,uncalibrated,4.746,1.17513,0.058232288673387256,0.019287687185512204,25.0,0.0018915291127492647
AC,c_a,LR,Logistic Regression,uncalibrated,4.747,1.175285,0.06608486108671477,0.019895525008884064,25.0,0.002275901077935863
AC,c_a,LR,Logistic Regression,uncalibrated,4.748,1.17544,0.07468389986777882,0.020373687519605815,25.0,0.002769678079472041
AC,c_a,LR,Logistic Regression,uncalibrated,4.749,1.175595,0.08403323970960673,0.020708843480638967,25.0,0.003409402713798438
AC,c_a,LR,Logistic Regression,uncalibrated,4.75,1.17575,0.09412695313314828,0.0208924794721925,25.0,0.004244973240747661
AC,c_a,LR,Logistic Regression,uncalibrated,4.751,1.175904,0.10487773468864543,0.02092156148147341,25.0,0.005336710335469649
AC,c_a,LR,Logistic Regression,uncalibrated,4.752,1.176058,0.11632585408326093,0.02080070717454118,25.0,0.006780877477035919
AC,c_a,LR,Logistic Regression,uncalibrated,4.753,1.176212,0.12844260936071153,0.020538058364061036,25.0,0.008702510750618668
AC,c_a,LR,Logistic Regression,uncalibrated,4.754,1.176366,0.1411948031214653,0.020146721312905434,25.0,0.011271520164585252
AC,c_a,LR,Logistic Regression,uncalibrated,4.755,1.17652,0.15454647019259196,0.01964392080326706,25.0,0.014717110165289557
AC,c_a,LR,Logistic Regression,uncalibrated,4.756,1.176674,0.1684604760255861,0.019049910874781553,25.0,0.019344967142865765
AC,c_a,LR,Logistic Regression,uncalibrated,4.757,1.176828,0.1828998654457706,0.018386748411771285,25.0,0.025556090061358894
AC,c_a,LR,Logistic Regression,uncalibrated,4.758,1.176982,0.19782888640687435,0.01767703887087241,25.0,0.033864516244485346
AC,c_a,LR,Logistic Regression,uncalibrated,4.759,1.177136,0.21321365967908434,0.016942753048220502,25.0,0.044908830856231124
AC,c_a,LR,Logistic Regression,uncalibrated,4.76,1.17729,0.22902250563871038,0.016204194266585852,25.0,0.05944958630405114
AC,c_a,LR,Logistic Regression,uncalibrated,4.761,1.177448,0.24565720333607022,0.01546077793522082,25.0,0.07888890256776035
AC,c_a,LR,Logistic Regression,uncalibrated,4.762,1.177606,0.26267849737837756,0.014747157681770765,25.0,0.10386790101355786
AC,c_a,LR,Logistic Regression,uncalibrated,4.763,1.177764,0.28006436100195775,0.01414947979492348,27.0,0.13527796217247937
AC,c_a,LR,Logistic Regression,uncalibrated,4.764,1.1779220000000001,0.29777350144023784,0.013645562192921646,27.0,0.17379794350683814
AC,c_a,LR,Logistic Regression,uncalibrated,4.765,1.17808,0.3157894301182898,0.013195943621031677,27.0,0.21974829295341783
AC,c_a,LR,Logistic Regression,uncalibrated,4.766,1.1782380000000001,0.3340856789737882,0.012798890562294732,27.0,0.2729815810547358
AC,c_a,LR,Logistic Regression,uncalibrated,4.767,1.1783960000000002,0.3526351536566145,0.01245018358711419,27.0,0.3328440378130527
AC,c_a,LR,Logistic Regression,uncalibrated,4.768,1.178554,0.37143026873265106,0.012195581792322711,23.0,0.3982182733217403
AC,c_a,LR,Logistic Regression,uncalibrated,4.769,1.1787120000000002,0.39042025042214556,0.0125094121053348,4.0,0.4676268106118885
AC,c_a,LR,Logistic Regression,uncalibrated,4.77,1.17887,0.40953706588525524,0.012868487873459015,4.0,0.5393577605446005
AC,c_a,LR,Logistic Regression,uncalibrated,4.771,1.1790250000000002,0.4284178996172918,0.013156121235565128,4.0,0.6102214962437416
AC,c_a,LR,Logistic Regression,uncalibrated,4.772,1.1791800000000001,0.4473955785802921,0.013377744543409967,4.0,0.6797843120989653
AC,c_a,LR,Logistic Regression,uncalibrated,4.773,1.179335,0.4664342897095391,0.013532447252062926,4.0,0.746288815471181
AC,c_a,LR,Logistic Regression,uncalibrated,4.774,1.1794900000000001,0.48549677813081726,0.013620488714523017,4.0,0.8080263069354313
AC,c_a,LR,Logistic Regression,uncalibrated,4.775,1.179645,0.5045446026819755,0.013643014404391128,4.0,0.8633744085968219
AC,c_a,LR,Logistic Regression,uncalibrated,4.776,1.1798,0.5235384540154014,0.01360185456457675,4.0,0.9108435741118219
AC,c_a,LR,Logistic Regression,uncalibrated,4.777,1.179955,0.5424385207089213,0.013499386266367338,4.0,0.9491333338489312
AC,c_a,LR,Logistic Regression,uncalibrated,4.778,1.18011,0.5612048879831957,0.013338442123005478,4.0,0.977193173796852
AC,c_a,LR,Logistic Regression,uncalibrated,4.779,1.180265,0.5797979534464426,0.013122251258557741,4.0,0.9942795528829523
AC,c_a,LR,Logistic Regression,uncalibrated,4.78,1.18042,0.5981788447319081,0.012854400460638264,4.0,1.0
AC,c_a,LR,Logistic Regression,uncalibrated,4.781,1.1805759999999998,0.6164277776277438,0.012536744024133758,4.0,0.9942645896402904
AC,c_a,LR,Logistic Regression,uncalibrated,4.782,1.180732,0.6343893607045977,0.012324289820358625,5.0,0.9773653329498592
AC,c_a,LR,Logistic Regression,uncalibrated,4.783,1.1808880000000002,0.6520266230000418,0.012065314633968862,5.0,0.9500273345790389
AC,c_a,LR,Logistic Regression,uncalibrated,4.784,1.181044,0.6693056915960895,0.01175989165240799,5.0,0.913288606465064
AC,c_a,LR,Logistic Regression,uncalibrated,4.785,1.1812,0.68619612153686,0.011411162928940777,5.0,0.8684379071846742
AC,c_a,LR,Logistic Regression,uncalibrated,4.786,1.1813559999999999,0.7026701555309768,0.011022840511349543,5.0,0.81694380785707
AC,c_a,LR,Logistic Regression,uncalibrated,4.787,1.181512,0.7187028799478926,0.010599132563275512,5.0,0.7603813072040916
AC,c_a,LR,Logistic Regression,uncalibrated,4.788,1.1816680000000002,0.7342723239917145,0.010144665173733676,5.0,0.7003609171659473
AC,c_a,LR,Logistic Regression,uncalibrated,4.789,1.181824,0.7493595048693051,0.009664401339000196,5.0,0.638463433960793
AC,c_a,LR,Logistic Regression,uncalibrated,4.79,1.18198,0.7639484234750686,0.009163558566849092,5.0,0.5761821615644567
AC,c_a,LR,Logistic Regression,uncalibrated,4.791,1.1821380000000001,0.7782057931606967,0.008640499154250284,5.0,0.5141088739386348
AC,c_a,LR,Logistic Regression,uncalibrated,4.792,1.182296,0.7919277630818862,0.008107446947412986,5.0,0.4542578398792472
AC,c_a,LR,Logistic Regression,uncalibrated,4.793,1.1824540000000001,0.8051555357158241,0.007663239650720083,86.0,0.3976342133286411
AC,c_a,LR,Logistic Regression,uncalibrated,4.794,1.182612,0.8178086935673415,0.007565554585691229,86.0,0.3450053447362541
AC,c_a,LR,Logistic Regression,uncalibrated,4.795,1.18277,0.8299129339551864,0.00746607059546055,86.0,0.2968951445077047
