stride,feature_set,n_features,model,standardized,Delta,mean,mean_err
1,20,20,MeanShift,False,0.0394,1.0,0.0
1,20,20,MeanShift,False,0.0398,1.0,0.0
1,20,20,MeanShift,False,0.0402,1.0,0.0
1,20,20,MeanShift,False,0.041,1.0,0.0
1,20,20,Birch,False,0.036,0.0,0.0
1,20,20,Birch,False,0.0366,0.0,0.0
1,20,20,Birch,False,0.037,0.0,0.0
1,20,20,Birch,False,0.0374,0.0,0.0
1,20,20,Birch,False,0.0378,0.05619087957080345,0.025108796733948134
1,20,20,Birch,False,0.0382,0.7628500000000004,0.08979666864644814
1,20,20,Birch,False,0.0386,0.997843929672525,0.0016429329635034293
1,20,20,Birch,False,0.039,1.0,0.0
1,20,20,Birch,False,0.0394,1.0,0.0
1,20,20,Birch,False,0.0398,1.0,0.0
1,20,20,Birch,False,0.0402,1.0,0.0
1,20,20,Birch,False,0.041,1.0,0.0
1,20,20,BayesianGMM,False,0.036,0.0,0.0
1,20,20,BayesianGMM,False,0.0366,0.0,0.0
1,20,20,BayesianGMM,False,0.037,3.831051463892325e-171,0.0
1,20,20,BayesianGMM,False,0.0374,0.028955635972718715,0.028895752680112442
1,20,20,BayesianGMM,False,0.0378,0.44764140831126564,0.07266478045161162
1,20,20,BayesianGMM,False,0.0382,0.9762983176120743,0.015102240002663875
1,20,20,BayesianGMM,False,0.0386,1.0,0.0
1,20,20,BayesianGMM,False,0.039,1.0,0.0
1,20,20,BayesianGMM,False,0.0394,1.0,0.0
1,20,20,BayesianGMM,False,0.0398,1.0,0.0
1,20,20,BayesianGMM,False,0.0402,1.0,0.0
1,20,20,BayesianGMM,False,0.041,1.0,0.0
1,12,12,KMeans,False,0.036,0.0,0.0
1,12,12,KMeans,False,0.0366,0.0,0.0
1,12,12,KMeans,False,0.037,0.0,0.0
1,12,12,KMeans,False,0.0374,0.00314,0.00314
1,12,12,KMeans,False,0.0378,0.24237382140876396,0.05890504299813213
1,12,12,KMeans,False,0.0382,0.9206100000000008,0.03948934594111607
1,12,12,KMeans,False,0.0386,1.0,0.0
1,12,12,KMeans,False,0.039,1.0,0.0
1,12,12,KMeans,False,0.0394,1.0,0.0
1,12,12,KMeans,False,0.0398,1.0,0.0
1,12,12,KMeans,False,0.0402,1.0,0.0
1,12,12,KMeans,False,0.041,1.0,0.0
1,12,12,GaussianMixture,False,0.036,0.0,0.0
1,12,12,GaussianMixture,False,0.0366,0.0,0.0
1,12,12,GaussianMixture,False,0.037,1.0364453290113481e-08,1.0364453290113632e-08
1,12,12,GaussianMixture,False,0.0374,0.11469937757697142,0.09857346532924016
1,12,12,GaussianMixture,False,0.0378,0.6427053516781941,0.07082214866917809
1,12,12,GaussianMixture,False,0.0382,0.9917017590121294,0.007820708063713313
1,12,12,GaussianMixture,False,0.0386,1.0,0.0
1,12,12,GaussianMixture,False,0.039,1.0,0.0
1,12,12,GaussianMixture,False,0.0394,1.0,0.0
1,12,12,GaussianMixture,False,0.0398,1.0,0.0
1,12,12,GaussianMixture,False,0.0402,1.0,0.0
1,12,12,GaussianMixture,False,0.041,1.0,0.0
1,12,12,MeanShift,False,0.036,0.0,0.0
1,12,12,MeanShift,False,0.0366,0.0,0.0
1,12,12,MeanShift,False,0.037,0.0,0.0
1,12,12,MeanShift,False,0.0374,0.00358,0.00358
1,12,12,MeanShift,False,0.0378,0.2525386981293811,0.06001117686615488
1,12,12,MeanShift,False,0.0382,0.9249699999999992,0.03800877022853689
1,12,12,MeanShift,False,0.0386,1.0,0.0
1,12,12,MeanShift,False,0.039,1.0,0.0
1,12,12,MeanShift,False,0.0394,1.0,0.0
1,12,12,MeanShift,False,0.0398,1.0,0.0
1,12,12,MeanShift,False,0.0402,1.0,0.0
1,12,12,MeanShift,False,0.041,1.0,0.0
1,12,12,Birch,False,0.036,0.0,0.0
1,12,12,Birch,False,0.0366,0.0,0.0
1,12,12,Birch,False,0.037,0.0,0.0
1,12,12,Birch,False,0.0374,0.0004500045000450006,0.00045000450004500047
1,12,12,Birch,False,0.0378,0.14756660817651923,0.0465188748452766
1,12,12,Birch,False,0.0382,0.87102,0.05418652353983723
1,12,12,Birch,False,0.0386,0.9998853342506266,8.876476182037132e-05
1,12,12,Birch,False,0.039,1.0,0.0
1,12,12,Birch,False,0.0394,1.0,0.0
1,12,12,Birch,False,0.0398,1.0,0.0
1,12,12,Birch,False,0.0402,1.0,0.0
1,12,12,Birch,False,0.041,1.0,0.0
1,12,12,BayesianGMM,False,0.036,0.0,0.0
1,12,12,BayesianGMM,False,0.0366,0.0,0.0
1,12,12,BayesianGMM,False,0.037,2.083917177211453e-141,2.0839168217498848e-141
1,12,12,BayesianGMM,False,0.0374,0.023165869903976368,0.023145869823242366
1,12,12,BayesianGMM,False,0.0378,0.41530383128379245,0.07194782087612923
1,12,12,BayesianGMM,False,0.0382,0.9695123845379086,0.018781651050533178
1,12,12,BayesianGMM,False,0.0386,1.0,0.0
1,12,12,BayesianGMM,False,0.039,1.0,0.0
1,12,12,BayesianGMM,False,0.0394,1.0,0.0
1,12,12,BayesianGMM,False,0.0398,1.0,0.0
1,12,12,BayesianGMM,False,0.0402,1.0,0.0
1,12,12,BayesianGMM,False,0.041,1.0,0.0
