stride,feature_set,n_features,model,standardized,Delta,chi,chi_err
1,20,20,MeanShift,False,0.0394,0.0,0.0
1,20,20,MeanShift,False,0.0398,0.0,0.0
1,20,20,MeanShift,False,0.0402,0.0,0.0
1,20,20,MeanShift,False,0.041,0.0,0.0
1,20,20,Birch,False,0.036,0.0,0.0
1,20,20,Birch,False,0.0366,0.0,0.0
1,20,20,Birch,False,0.037,0.0,0.0
1,20,20,Birch,False,0.0374,0.0,0.0
1,20,20,Birch,False,0.0378,0.053663923023433556,0.022569152687112296
1,20,20,Birch,False,0.0382,0.1889734266898676,0.045531959509200956
1,20,20,Birch,False,0.0386,0.0021541209461474918,0.001638240768342214
1,20,20,Birch,False,0.039,0.0,0.0
1,20,20,Birch,False,0.0394,0.0,0.0
1,20,20,Birch,False,0.0398,0.0,0.0
1,20,20,Birch,False,0.0402,0.0,0.0
1,20,20,Birch,False,0.041,0.0,0.0
1,20,20,BayesianGMM,False,0.036,0.0,0.0
1,20,20,BayesianGMM,False,0.0366,0.0,0.0
1,20,20,BayesianGMM,False,0.037,0.0,0.0
1,20,20,BayesianGMM,False,0.0374,0.028840425871223315,0.02711136519218005
1,20,20,BayesianGMM,False,0.0378,0.25090482035432343,0.007998952967374741
1,20,20,BayesianGMM,False,0.0382,0.023293503162172928,0.014489367294505992
1,20,20,BayesianGMM,False,0.0386,0.0,0.0
1,20,20,BayesianGMM,False,0.039,0.0,0.0
1,20,20,BayesianGMM,False,0.0394,0.0,0.0
1,20,20,BayesianGMM,False,0.0398,0.0,0.0
1,20,20,BayesianGMM,False,0.0402,0.0,0.0
1,20,20,BayesianGMM,False,0.041,0.0,0.0
1,12,12,KMeans,False,0.036,0.0,0.0
1,12,12,KMeans,False,0.0366,0.0,0.0
1,12,12,KMeans,False,0.037,0.0,0.0
1,12,12,KMeans,False,0.0374,0.003140000196569896,0.003120343206864137
1,12,12,KMeans,False,0.0378,0.18709859366499568,0.031256647812652
1,12,12,KMeans,False,0.0382,0.07464665415651855,0.03399342611416403
1,12,12,KMeans,False,0.0386,0.0,0.0
1,12,12,KMeans,False,0.039,0.0,0.0
1,12,12,KMeans,False,0.0394,0.0,0.0
1,12,12,KMeans,False,0.0398,0.0,0.0
1,12,12,KMeans,False,0.0402,0.0,0.0
1,12,12,KMeans,False,0.041,0.0,0.0
1,12,12,GaussianMixture,False,0.036,0.0,0.0
1,12,12,GaussianMixture,False,0.0366,0.0,0.0
1,12,12,GaussianMixture,False,0.037,1.0632082090769795e-11,1.0632082074320964e-11
1,12,12,GaussianMixture,False,0.0374,0.11092084074385676,0.07572718835046705
1,12,12,GaussianMixture,False,0.0378,0.23407123463403276,0.02140186486594683
1,12,12,GaussianMixture,False,0.0382,0.008273798059376565,0.007738171746757644
1,12,12,GaussianMixture,False,0.0386,0.0,0.0
1,12,12,GaussianMixture,False,0.039,0.0,0.0
1,12,12,GaussianMixture,False,0.0394,0.0,0.0
1,12,12,GaussianMixture,False,0.0398,0.0,0.0
1,12,12,GaussianMixture,False,0.0402,0.0,0.0
1,12,12,GaussianMixture,False,0.041,0.0,0.0
1,12,12,MeanShift,False,0.036,0.0,0.0
1,12,12,MeanShift,False,0.0366,0.0,0.0
1,12,12,MeanShift,False,0.037,0.0,0.0
1,12,12,MeanShift,False,0.0374,0.0035800002556196685,0.0035544382887657744
1,12,12,MeanShift,False,0.0378,0.19236428431591795,0.03060358143539152
1,12,12,MeanShift,False,0.0382,0.07084518221701837,0.033039595223977376
1,12,12,MeanShift,False,0.0386,0.0,0.0
1,12,12,MeanShift,False,0.039,0.0,0.0
1,12,12,MeanShift,False,0.0394,0.0,0.0
1,12,12,MeanShift,False,0.0398,0.0,0.0
1,12,12,MeanShift,False,0.0402,0.0,0.0
1,12,12,MeanShift,False,0.041,0.0,0.0
1,12,12,Birch,False,0.036,0.0,0.0
1,12,12,Birch,False,0.0366,0.0,0.0
1,12,12,Birch,False,0.037,0.0,0.0
1,12,12,Birch,False,0.0374,0.0004500045030151636,0.00044970748964971084
1,12,12,Birch,False,0.0378,0.12795473313800287,0.03357050475397402
1,12,12,Birch,False,0.0382,0.11521401038545545,0.04095307566899326
1,12,12,Birch,False,0.0386,0.00011466048035993076,8.875204576577586e-05
1,12,12,Birch,False,0.039,0.0,0.0
1,12,12,Birch,False,0.0394,0.0,0.0
1,12,12,Birch,False,0.0398,0.0,0.0
1,12,12,Birch,False,0.0402,0.0,0.0
1,12,12,Birch,False,0.041,0.0,0.0
1,12,12,BayesianGMM,False,0.036,0.0,0.0
1,12,12,BayesianGMM,False,0.0366,0.0,0.0
1,12,12,BayesianGMM,False,0.037,0.0,0.0
1,12,12,BayesianGMM,False,0.0374,0.023019553401890692,0.02192851908218316
1,12,12,BayesianGMM,False,0.0378,0.247278822138282,0.012632827880750945
1,12,12,BayesianGMM,False,0.0382,0.02974326174186699,0.01777006955224107
1,12,12,BayesianGMM,False,0.0386,0.0,0.0
1,12,12,BayesianGMM,False,0.039,0.0,0.0
1,12,12,BayesianGMM,False,0.0394,0.0,0.0
1,12,12,BayesianGMM,False,0.0398,0.0,0.0
1,12,12,BayesianGMM,False,0.0402,0.0,0.0
1,12,12,BayesianGMM,False,0.041,0.0,0.0
