transition,model,feature_set,calibration,critical_parameter,critical_value,x,distance_from_critical,chi_err
AB,Random Forest,20,calibrated,Delta_crit,-0.114999408729832,-0.116,0.001000591270168008,2.56942119155624e-10
AB,Random Forest,20,calibrated,Delta_crit,-0.114999408729832,-0.112,0.0029994087298319955,5.13587766632098e-08
AB,Random Forest,20,calibrated,Delta_crit,-0.114999408729832,-0.118,0.003000591270167996,4.7636533579125004e-11
AB,Random Forest,20,calibrated,Delta_crit,-0.114999408729832,-0.11,0.004999408729831997,2.35823128895135e-08
AB,Random Forest,12,uncalibrated,Delta_crit,-0.115000216771499,-0.116,0.000999783228501,1.34558794171433e-06
AB,Random Forest,12,uncalibrated,Delta_crit,-0.115000216771499,-0.114,0.0010002167714990018,1.03014054958124e-05
AB,Random Forest,12,uncalibrated,Delta_crit,-0.115000216771499,-0.118,0.002999783228500988,1.04985541551182e-06
AB,Random Forest,12,uncalibrated,Delta_crit,-0.115000216771499,-0.112,0.0030002167714990036,5.11956516699575e-06
AB,Random Forest,12,uncalibrated,Delta_crit,-0.115000216771499,-0.12,0.00499978322850099,1.02971226686334e-06
AB,Random Forest,12,calibrated,Delta_crit,-0.11499941527835,-0.114,0.0009994152783499993,8.151211614446171e-09
AB,Random Forest,12,calibrated,Delta_crit,-0.11499941527835,-0.116,0.0010005847216500025,7.38790122591744e-11
AB,Random Forest,12,calibrated,Delta_crit,-0.11499941527835,-0.112,0.002999415278350001,3.58304854079795e-09
AB,Random Forest,12,calibrated,Delta_crit,-0.11499941527835,-0.118,0.0030005847216499903,8.323198282796079e-11
AB,Random Forest,12,calibrated,Delta_crit,-0.11499941527835,-0.11,0.004999415278350003,1.06962614237195e-08
AB,Neural Network,30,uncalibrated,Delta_crit,-0.115,-0.116,0.0010000000000000009,0.0
AB,Neural Network,30,uncalibrated,Delta_crit,-0.115,-0.114,0.0010000000000000009,0.0
AB,Neural Network,30,uncalibrated,Delta_crit,-0.115,-0.118,0.002999999999999989,0.0
AB,Neural Network,30,uncalibrated,Delta_crit,-0.115,-0.112,0.0030000000000000027,0.0
AB,Neural Network,30,uncalibrated,Delta_crit,-0.115,-0.12,0.0049999999999999906,0.0
AB,Neural Network,30,calibrated,Delta_crit,-0.114999064413061,-0.114,0.000999064413060996,0.0001007249853494
AB,Neural Network,30,calibrated,Delta_crit,-0.114999064413061,-0.116,0.0010009355869390058,1.79220660455965e-46
AB,Neural Network,30,calibrated,Delta_crit,-0.114999064413061,-0.112,0.002999064413060998,0.0007870383558847
AB,Neural Network,30,calibrated,Delta_crit,-0.114999064413061,-0.118,0.0030009355869389936,2.0245743458959703e-46
AB,Neural Network,30,calibrated,Delta_crit,-0.114999064413061,-0.11,0.004999064413061,4.82696138833994e-53
AB,Neural Network,20,uncalibrated,Delta_crit,-0.115000030819721,-0.116,0.0009999691802790034,2.54000482813839e-05
AB,Neural Network,20,uncalibrated,Delta_crit,-0.115000030819721,-0.114,0.0010000308197209984,0.0
AB,Neural Network,20,uncalibrated,Delta_crit,-0.115000030819721,-0.118,0.0029999691802789913,0.0
AB,Neural Network,20,uncalibrated,Delta_crit,-0.115000030819721,-0.112,0.003000030819721,0.0013016463676822
AB,Neural Network,20,uncalibrated,Delta_crit,-0.115000030819721,-0.12,0.004999969180278993,0.0
AB,Neural Network,20,calibrated,Delta_crit,-0.114996959635473,-0.114,0.0009969596354729993,0.0005790183525196
AB,Neural Network,20,calibrated,Delta_crit,-0.114996959635473,-0.116,0.0010030403645270025,6.33451546962388e-46
AB,Neural Network,20,calibrated,Delta_crit,-0.114996959635473,-0.112,0.002996959635473001,0.0027247783151402
AB,Neural Network,20,calibrated,Delta_crit,-0.114996959635473,-0.118,0.0030030403645269904,3.75579561049007e-05
AB,Neural Network,20,calibrated,Delta_crit,-0.114996959635473,-0.11,0.004996959635473003,0.0002627028454552
AB,Neural Network,12,uncalibrated,Delta_crit,-0.115,-0.116,0.0010000000000000009,0.0
AB,Neural Network,12,uncalibrated,Delta_crit,-0.115,-0.114,0.0010000000000000009,0.0
AB,Neural Network,12,uncalibrated,Delta_crit,-0.115,-0.118,0.002999999999999989,0.0
AB,Neural Network,12,uncalibrated,Delta_crit,-0.115,-0.112,0.0030000000000000027,0.0030446007936619
AB,Neural Network,12,uncalibrated,Delta_crit,-0.115,-0.12,0.0049999999999999906,0.0
AB,Neural Network,12,calibrated,Delta_crit,-0.115000510141762,-0.116,0.0009994898582380007,1.77878164695816e-46
AB,Neural Network,12,calibrated,Delta_crit,-0.115000510141762,-0.114,0.001000510141762001,8.78363271363085e-05
AB,Neural Network,12,calibrated,Delta_crit,-0.115000510141762,-0.118,0.0029994898582379886,5.30706745291863e-47
AB,Neural Network,12,calibrated,Delta_crit,-0.115000510141762,-0.112,0.003000510141762003,0.0043308269604447
AB,Neural Network,12,calibrated,Delta_crit,-0.115000510141762,-0.12,0.00499948985823799,6.3684809435023606e-46
AC,Logistic Regression,30,uncalibrated,K0_crit,4.77550877767867,4.78,0.004491222321330035,0.002136088388227
AC,Logistic Regression,30,uncalibrated,K0_crit,4.77550877767867,4.77,0.00550877767867064,0.0046634484713538
