transition,model,feature_set,chi_max_uncalibrated,chi_max_calibrated,ratio_calibrated_uncalibrated,relative_change,x_max_uncalibrated,x_max_calibrated,x_shift,chi_err_uncalibrated,chi_err_calibrated
AB,Decision Tree,30,0.0,1.10933564726587e-31,inf,inf,-0.128,-0.12,0.008000000000000007,0.0,6.30036688948e-46
AB,Decision Tree,20,0.0,1.10933564726587e-31,inf,inf,-0.128,-0.12,0.008000000000000007,0.0,6.30036688948e-46
AB,Decision Tree,12,0.0,1.10933564726587e-31,inf,inf,-0.128,-0.12,0.008000000000000007,0.0,6.30036688948e-46
AB,Gradient Boosted Trees,30,1.1093356467149402e-31,-3.02709161555964e-39,-2.7287427610603908e-08,-1.0000000272874277,-0.118,-0.11,0.007999999999999993,6.3684809435023606e-46,8.98566167966618e-38
AB,Gradient Boosted Trees,20,1.1093356467149402e-31,-5.971552202541099e-37,-5.382998572365877e-06,-1.0000053829985722,-0.118,-0.114,0.00399999999999999,6.3684809435023606e-46,1.1411902801273e-37
AB,Gradient Boosted Trees,12,1.1093356467149402e-31,8.52698496739733e-37,7.686568977250637e-06,-0.9999923134310228,-0.118,-0.108,0.009999999999999995,6.3684809435023606e-46,9.51559165584894e-38
AB,Logistic Regression,30,2.3845534006152e-06,0.004486335700512,1881.415488264827,1880.415488264827,-0.112,-0.112,0.0,2.38023430205747e-06,0.0037026932626701
AB,Logistic Regression,20,2.18466124418783e-08,0.0016344600971031,74815.26490440979,74814.26490440979,-0.112,-0.112,0.0,2.15828014339525e-08,0.0013720325595167
AB,Logistic Regression,12,1.44903304073316e-05,0.0065568982830082,452.5016406589762,451.5016406589762,-0.112,-0.112,0.0,1.44669667482956e-05,0.0052487497040626
AB,Logistic Regression C = 0.00175,30,2.87127748996326e-06,0.0040826424622908,1421.8905962805568,1420.8905962805568,-0.112,-0.112,0.0,2.86558077223796e-06,0.0035280849950438
AB,Logistic Regression C = 0.00175,20,5.5127996655665e-08,0.0016965488179361,30774.722842422772,30773.722842422772,-0.112,-0.112,0.0,5.42293081702916e-08,0.0014338940633835
AB,Logistic Regression C = 0.00175,12,2.23564428039669e-05,0.0046851125927991,209.56431369161194,208.56431369161197,-0.112,-0.112,0.0,2.23127016538373e-05,0.0038366851149499
AB,Neural Network,30,0.0,0.0007954397038224,inf,inf,-0.128,-0.112,0.016,0.0,0.0007870383558847
AB,Neural Network,20,0.0013033210738622,0.0031784852858973,2.4387584530328565,1.4387584530328563,-0.112,-0.112,0.0,0.0013016463676822,0.0027247783151402
AB,Neural Network,12,0.0030540542841347,0.0051640459533174,1.69088217591408,0.69088217591408,-0.112,-0.112,0.0,0.0030446007936619,0.0043308269604447
AB,Random Forest,30,6.49067952149758e-06,4.1169960585919806e-09,0.0006342935350537959,-0.9993657064649463,-0.114,-0.114,0.0,3.88871237699012e-06,2.37420308056773e-09
AB,Random Forest,20,4.02396730361651e-05,1.32606659473698e-07,0.0032954208985375897,-0.9967045791014624,-0.114,-0.114,0.0,2.38841619504238e-05,9.10040531630115e-08
AB,Random Forest,12,1.85882303629554e-05,1.56068273922902e-08,0.0008396080254844024,-0.9991603919745157,-0.114,-0.114,0.0,1.03014054958124e-05,8.151211614446171e-09
AB,SVM (RBF),30,0.0006783657118067,0.002189639027985,3.2278150116893536,2.2278150116893536,-0.112,-0.112,0.0,0.0006481322581329,0.0019399801183419
AB,SVM (RBF),20,0.0006722984532019,0.0017829939458696,2.6520869375466845,1.6520869375466842,-0.112,-0.112,0.0,0.000650614009176,0.0016417155873413
AB,SVM (RBF),12,0.0016096802720798,0.0040669506357244,2.526558041535581,1.5265580415355806,-0.112,-0.112,0.0,0.0015425500923558,0.003573656638441
AB,kNN,30,0.0,0.0001310034366268,inf,inf,-0.128,-0.112,0.016,0.0,0.0001304120715182
AB,kNN,20,0.0,0.0001211894041485,inf,inf,-0.128,-0.112,0.016,0.0,0.0001207626394445
AB,kNN,12,0.0,0.000213476816639,inf,inf,-0.128,-0.112,0.016,0.0,0.0002122378896593
AC,Decision Tree,30,0.250039439743722,0.209683908030449,0.8386033349193415,-0.16139666508065853,4.78,4.78,0.0,0.0003969624259668,0.0018981612720673
AC,Decision Tree,20,0.245563598240072,0.240815149553142,0.9806630595049037,-0.019336940495096277,4.79,4.79,0.0,0.0023300878119955,0.0022590808582293
AC,Decision Tree,12,0.249940673193574,0.184215793634785,0.7370380790009059,-0.2629619209990941,4.78,4.78,0.0,0.0005758807264457,0.0025923664438774
AC,Gradient Boosted Trees,30,0.206964353003616,0.167661251823747,0.8100972432717324,-0.18990275672826762,4.78,4.78,0.0,0.0019154352237381,0.0022484705755926
AC,Gradient Boosted Trees,20,0.193654957727071,0.167121822227441,0.862987574338145,-0.137012425661855,4.78,4.78,0.0,0.0011967422651505,0.0016072401390729
AC,Gradient Boosted Trees,12,0.249918777382174,0.18421579363759,0.7371026521784256,-0.2628973478215743,4.78,4.78,0.0,0.0005758302769706,0.0025923664439171
AC,Logistic Regression,30,0.167893585829836,0.0776506148637054,0.462498995896163,-0.537501004103837,4.77,4.78,0.010000000000000675,0.0046634484713538,0.0012159227773122
AC,Logistic Regression,20,0.192109347597217,0.0929606890425978,0.4838946683505601,-0.5161053316494398,4.78,4.78,0.0,0.0023368782578203,0.0018102284090485
AC,Logistic Regression,12,0.199601391801586,0.0973372703572435,0.4876582747178523,-0.5123417252821477,4.78,4.78,0.0,0.0016311204865483,0.0013725292191937
AC,Logistic Regression C = 0.00175,30,0.153637292568192,0.0760919618685239,0.49527013003532616,-0.5047298699646738,4.77,4.78,0.010000000000000675,0.0020087546629058,0.0012104545698206
AC,Logistic Regression C = 0.00175,20,0.130899474412426,0.0638483099216082,0.4877659762058389,-0.512234023794161,4.77,4.77,0.0,0.003334497845564,0.0022939595837713
AC,Logistic Regression C = 0.00175,12,0.129796064611698,0.0603628575938912,0.4650592279086013,-0.5349407720913986,4.77,4.77,0.0,0.0028153313516781,0.0016908929940988
AC,Neural Network,30,0.243214808887381,0.115434429709428,0.47461924805277433,-0.5253807519472257,4.78,4.78,0.0,0.0022515431983057,0.0020921009023255
AC,Neural Network,20,0.243451892416491,0.153227425588366,0.6293950893847586,-0.3706049106152414,4.78,4.76,-0.020000000000000462,0.0015083642849844,0.0024188875783657
AC,Neural Network,12,0.244560855212126,0.150429354435544,0.6150998871224315,-0.38490011287756853,4.76,4.79,0.03000000000000025,0.0025542494627742,0.0037183466970802
AC,Random Forest,30,0.0775329024222813,0.172896842105108,2.2299802626171408,1.229980262617141,4.78,4.78,0.0,0.0012080042450938,0.0016908124167992
AC,Random Forest,20,0.06726758570226,0.169037153235063,2.512906498283672,1.512906498283672,4.78,4.78,0.0,0.0012793809770187,0.0018059347136703
