transition,model,feature_set,calibration,P_min,P_max,x_at_P_min,x_at_P_max,distance_from_0,distance_from_1
AB,kNN,30,calibrated,0.0008318084459626,0.999750124936295,-0.114,-0.124,0.0008318084459626,0.00024987506370499624
AB,kNN,20,uncalibrated,0.0,1.0,-0.114,-0.128,0.0,0.0
AB,kNN,20,calibrated,0.0008318084459626,0.999750124936295,-0.114,-0.124,0.0008318084459626,0.00024987506370499624
AB,kNN,12,uncalibrated,0.0,1.0,-0.114,-0.128,0.0,0.0
AB,kNN,12,calibrated,0.0008318084459626,0.999750124936295,-0.114,-0.124,0.0008318084459626,0.00024987506370499624
AC,Decision Tree,30,uncalibrated,0.0,1.0,4.67,4.88,0.0,0.0
AC,Decision Tree,30,calibrated,0.0001592610262887,0.999836938794604,4.67,4.93,0.0001592610262887,0.0001630612053959979
AC,Decision Tree,20,uncalibrated,0.0,1.0,4.67,4.9,0.0,0.0
AC,Decision Tree,20,calibrated,0.0001592610262887,0.999836938794604,4.67,4.93,0.0001592610262887,0.0001630612053959979
AC,Decision Tree,12,uncalibrated,0.0,1.0,4.67,4.85,0.0,0.0
AC,Decision Tree,12,calibrated,0.0001592610262887,0.999836938794608,4.67,4.86,0.0001592610262887,0.00016306120539200109
AC,Gradient Boosted Trees,30,uncalibrated,2.16568048796604e-05,0.99997785382814,4.67,4.93,2.16568048796604e-05,2.2146171860026875e-05
AC,Gradient Boosted Trees,30,calibrated,0.0001592610258425,0.999836938801839,4.67,4.93,0.0001592610258425,0.0001630611981610075
AC,Gradient Boosted Trees,20,uncalibrated,2.1656804879662e-05,0.99997785382814,4.67,4.93,2.1656804879662e-05,2.2146171860026875e-05
AC,Gradient Boosted Trees,20,calibrated,0.0001592610258425,0.999836938801839,4.67,4.93,0.0001592610258425,0.0001630611981610075
AC,Gradient Boosted Trees,12,uncalibrated,2.1656804879662e-05,0.999977853828154,4.67,4.87,2.1656804879662e-05,2.2146171846038065e-05
AC,Gradient Boosted Trees,12,calibrated,0.0001592610258425,0.999836938801845,4.67,4.86,0.0001592610258425,0.0001630611981550123
