stride,feature_set,n_features,model,Delta_crit,Delta_crit_err,Delta_close,N_Delta,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_delta_crit,runtime_total
250,20,20,Agglomerative,-0.127,0,-0.128,11,0.146,0.409,0.895,0.0076,0.007,0.00022,1.465
100,20,20,Agglomerative,-0.127,0,-0.128,11,0.687,0.441,1.089,0.0094,0.0099,0.00034,2.237
50,20,20,Agglomerative,-0.127,0,-0.128,11,2.879,0.464,1.005,0.0077,0.0072,0.00022,4.364
10,20,20,Agglomerative,-0.127,0,-0.128,11,91.257,0.604,1.351,0.0079,0.0074,0.00026,93.228
5000,20,20,Spectral,-0.127,0,-0.128,11,0.205,0.012,0.019,0.0085,0.0086,0.00023,0.253
1000,20,20,Spectral,-0.127,0,-0.128,11,0.189,0.154,0.311,0.008,0.0075,0.00022,0.669
500,20,20,Spectral,-0.127,0,-0.128,11,0.223,0.315,0.653,0.0091,0.0184,0.00047,1.219
250,20,20,Spectral,-0.127,0,-0.128,11,0.315,0.439,0.964,0.0082,0.0076,0.00023,1.734
100,20,20,Spectral,-0.123,0,-0.128,11,0.911,0.442,0.689,0.008,0.0076,0.00024,2.059
50,20,20,Spectral,-0.127,0,-0.128,11,3.949,0.495,1.038,0.0079,0.0075,0.00022,5.497
5000,20,20,GaussianMixture,-0.127,0,-0.112,11,0.145,0.013,0.017,0.0087,0.0075,0.00022,0.191
1000,20,20,GaussianMixture,-0.127,0,-0.128,11,0.22,0.153,0.287,0.0087,0.0076,0.00023,0.677
500,20,20,GaussianMixture,-0.127,0,-0.128,11,0.202,0.298,0.64,0.008,0.0083,0.00023,1.157
250,20,20,GaussianMixture,-0.127,0,-0.128,11,0.268,0.396,0.822,0.0075,0.0071,0.00021,1.501
5000,20,20,MeanShift,-0.115,0,-0.112,11,0.397,0.018,0.02,0.0124,0.0118,0.00036,0.46
1000,20,20,MeanShift,-0.114857142857143,0.000129549722059734,-0.112,11,1.282,0.221,0.297,0.0125,0.0118,0.00037,1.825
500,20,20,MeanShift,-0.114863636363636,0.000122958478452874,-0.112,11,2.548,0.476,0.694,0.0126,0.0118,0.00037,3.743
250,20,20,MeanShift,-0.114850574712644,0.000131455600093358,-0.114,11,6.21,0.634,1.042,0.0125,0.012,0.00036,7.911
100,20,20,MeanShift,-0.114855835240275,0.000125774809682536,-0.112,11,17.857,0.419,0.675,0.0076,0.0069,0.00022,18.965
50,20,20,MeanShift,-0.114857142857143,0.000119544101359829,-0.112,11,51.763,0.442,0.729,0.0079,0.0071,0.00023,52.949
5000,20,20,Birch,-0.127,0,-0.114,11,0.058,0.012,0.018,0.0078,0.0075,0.00022,0.103
1000,20,20,Birch,-0.127,0,-0.128,11,0.101,0.136,0.268,0.0075,0.007,0.00021,0.519
500,20,20,Birch,-0.127,0,-0.128,11,0.169,0.293,0.614,0.0075,0.0072,0.00021,1.091
250,20,20,Birch,-0.127,0,-0.128,11,0.308,0.391,0.885,0.0075,0.007,0.00021,1.599
100,20,20,Birch,-0.127,0,-0.128,11,1.137,0.452,0.935,0.0074,0.0069,0.00021,2.539
50,20,20,Birch,-0.127,0,-0.128,11,3.971,0.448,0.99,0.0074,0.007,0.00025,5.424
10,20,20,Birch,-0.127,0,-0.128,11,130.416,0.571,1.27,0.0075,0.0071,0.00021,132.272
5000,20,20,BayesianGMM,-0.127,3.99333538743648E-56,-0.112,11,0.129,0.013,0.016,0.0074,0.007,0.00021,0.173
1000,20,20,BayesianGMM,-0.127,0,-0.128,11,0.181,0.131,0.251,0.0074,0.007,0.0002,0.577
500,20,20,BayesianGMM,-0.127,0,-0.128,11,0.197,0.286,0.572,0.0073,0.0068,0.0002,1.069
250,20,20,BayesianGMM,-0.127,0,-0.128,11,0.321,0.379,0.811,0.0074,0.0069,0.00025,1.526
5000,12,12,KMeans,-0.127,0,-0.112,11,0.165,0.015,0.025,0.0122,0.009,0.00029,0.226
1000,12,12,KMeans,-0.127,0,-0.112,11,0.199,0.196,0.37,0.0096,0.0091,0.00027,0.784
500,12,12,KMeans,-0.127,0,-0.112,11,0.186,0.401,0.839,0.0094,0.009,0.00028,1.445
250,12,12,KMeans,-0.127,0,-0.112,11,0.19,0.535,1.174,0.0084,0.0082,0.00027,1.916
100,12,12,KMeans,-0.127,0,-0.112,11,0.188,0.604,1.25,0.0089,0.0085,0.00026,2.06
50,12,12,KMeans,-0.127,0,-0.112,11,0.224,0.673,1.436,0.0099,0.0094,0.00029,2.353
10,12,12,KMeans,-0.127,0,-0.112,11,0.29,0.765,1.627,0.0095,0.0091,0.00028,2.702
1,12,12,KMeans,-0.127,0,-0.112,11,0.455,2.31,4.87,0.0102,0.0096,0.00029,7.655
