stride,feature_set,n_features,model,Delta,chi,chi_err
10,20,20,DBSCAN,-0.118,0,0
10,20,20,DBSCAN,-0.116,0.168149826498623,0.0105622769239826
50,20,20,Birch,-0.128,0,0
50,20,20,Birch,-0.126,0,0
50,20,20,Birch,-0.124,0,0
50,20,20,Birch,-0.122,0,0
50,20,20,Birch,-0.12,0,0
50,20,20,Birch,-0.118,0,0
50,20,20,Birch,-0.116,0,0
50,20,20,Birch,-0.114,0,0
50,20,20,Birch,-0.112,0,0
50,20,20,Birch,-0.11,0,0
50,20,20,Birch,-0.108,0,0
1000,20,20,BayesianGMM,-0.128,0,0
1000,20,20,BayesianGMM,-0.126,0,0
1000,20,20,BayesianGMM,-0.124,0,0
1000,20,20,BayesianGMM,-0.122,0,0
1000,20,20,BayesianGMM,-0.12,0,0
1000,20,20,BayesianGMM,-0.118,0,0
1000,20,20,BayesianGMM,-0.116,0,0
1000,20,20,BayesianGMM,-0.114,0,0
1000,20,20,BayesianGMM,-0.112,0,0
1000,20,20,BayesianGMM,-0.11,0,0
1000,20,20,BayesianGMM,-0.108,0,0
1,12,12,KMeans,-0.128,0,0
1,12,12,KMeans,-0.126,0,0
1,12,12,KMeans,-0.124,0,0
1,12,12,KMeans,-0.122,0,0
1,12,12,KMeans,-0.12,0,0
1,12,12,KMeans,-0.118,0,0
1,12,12,KMeans,-0.116,0,0
1,12,12,KMeans,-0.114,0.00032000000384023,0.000319807992319693
1,12,12,KMeans,-0.112,0.0693517372207446,0.0537650311345373
1,12,12,KMeans,-0.11,0.014000007449421,0.0137765248199931
1,12,12,KMeans,-0.108,0,0
50,12,12,Agglomerative,-0.128,0,0
50,12,12,Agglomerative,-0.126,0,0
50,12,12,Agglomerative,-0.124,0,0
50,12,12,Agglomerative,-0.122,0,0
50,12,12,Agglomerative,-0.12,0,0
50,12,12,Agglomerative,-0.118,0,0
50,12,12,Agglomerative,-0.116,0,0
50,12,12,Agglomerative,-0.114,0,0
50,12,12,Agglomerative,-0.112,0,0
50,12,12,Agglomerative,-0.11,0,0
50,12,12,Agglomerative,-0.108,0,0
50,12,12,Spectral,-0.128,0,0
50,12,12,Spectral,-0.126,0,0
50,12,12,Spectral,-0.124,0,0
50,12,12,Spectral,-0.122,0,0
50,12,12,Spectral,-0.12,0,0
50,12,12,Spectral,-0.118,0,0
50,12,12,Spectral,-0.116,0,0
50,12,12,Spectral,-0.114,0,0
50,12,12,Spectral,-0.112,0,0
50,12,12,Spectral,-0.11,0,0
50,12,12,Spectral,-0.108,0,0
500,12,12,GaussianMixture,-0.128,0,0
500,12,12,GaussianMixture,-0.126,0,0
500,12,12,GaussianMixture,-0.124,0,0
500,12,12,GaussianMixture,-0.122,0,0
500,12,12,GaussianMixture,-0.12,0,0
500,12,12,GaussianMixture,-0.118,0,0
500,12,12,GaussianMixture,-0.116,0,0
500,12,12,GaussianMixture,-0.114,0,0
500,12,12,GaussianMixture,-0.112,0,0
500,12,12,GaussianMixture,-0.11,0,0
500,12,12,GaussianMixture,-0.108,0,0
100,12,12,MeanShift,-0.128,0,0
100,12,12,MeanShift,-0.126,0,0
100,12,12,MeanShift,-0.124,0,0
100,12,12,MeanShift,-0.122,0,0
100,12,12,MeanShift,-0.12,0,0
100,12,12,MeanShift,-0.118,0,0
100,12,12,MeanShift,-0.116,0,0
100,12,12,MeanShift,-0.114,0.00238095238095234,0.00238095238095238
100,12,12,MeanShift,-0.112,0.0116282674928738,0.0115352543315112
100,12,12,MeanShift,-0.11,0,0
100,12,12,MeanShift,-0.108,0.00714295231623454,0.00711630377057886
10,12,12,DBSCAN,-0.128,0,0
10,12,12,DBSCAN,-0.126,0,0
10,12,12,DBSCAN,-0.124,0,0
10,12,12,DBSCAN,-0.122,0,0
10,12,12,DBSCAN,-0.12,0,0
10,12,12,DBSCAN,-0.118,0,0
10,12,12,DBSCAN,-0.116,0,0
10,12,12,DBSCAN,-0.114,0,0
10,12,12,DBSCAN,-0.112,0,0
10,12,12,DBSCAN,-0.11,0,0
10,12,12,DBSCAN,-0.108,0.000672947611757315,0.000672645469021459
50,12,12,Birch,-0.128,0,0
50,12,12,Birch,-0.126,0,0
50,12,12,Birch,-0.124,0,0
50,12,12,Birch,-0.122,0,0
50,12,12,Birch,-0.12,0,0
50,12,12,Birch,-0.118,0,0
50,12,12,Birch,-0.116,0,0
50,12,12,Birch,-0.114,0,0
50,12,12,Birch,-0.112,0,0
50,12,12,Birch,-0.11,0,0
50,12,12,Birch,-0.108,0,0
1000,12,12,BayesianGMM,-0.128,0,0
1000,12,12,BayesianGMM,-0.126,0,0
1000,12,12,BayesianGMM,-0.124,0,0
1000,12,12,BayesianGMM,-0.122,0,0
1000,12,12,BayesianGMM,-0.12,0,0
1000,12,12,BayesianGMM,-0.118,0,0
1000,12,12,BayesianGMM,-0.116,0,0
1000,12,12,BayesianGMM,-0.114,0,0
1000,12,12,BayesianGMM,-0.112,0,0
1000,12,12,BayesianGMM,-0.11,0,0
1000,12,12,BayesianGMM,-0.108,0,0
