stride,feature_set,n_features,model,Delta,mean,mean_err
100,30,30,Agglomerative,-0.122,0,0
100,30,30,Agglomerative,-0.12,0,0
100,30,30,Agglomerative,-0.118,1,0
100,30,30,Agglomerative,-0.116,1,0
100,30,30,Agglomerative,-0.114,1,0
100,30,30,Agglomerative,-0.112,1,0
100,30,30,Agglomerative,-0.11,1,0
100,30,30,Agglomerative,-0.108,1,0
50,30,30,Agglomerative,-0.128,0,0
50,30,30,Agglomerative,-0.126,1,0
50,30,30,Agglomerative,-0.124,1,0
50,30,30,Agglomerative,-0.122,0,0
50,30,30,Agglomerative,-0.12,0,0
50,30,30,Agglomerative,-0.118,1,0
50,30,30,Agglomerative,-0.116,1,0
50,30,30,Agglomerative,-0.114,1,0
50,30,30,Agglomerative,-0.112,1,0
50,30,30,Agglomerative,-0.11,1,0
50,30,30,Agglomerative,-0.108,1,0
10,30,30,Agglomerative,-0.128,0,0
10,30,30,Agglomerative,-0.126,1,0
10,30,30,Agglomerative,-0.124,1,0
10,30,30,Agglomerative,-0.122,0,0
10,30,30,Agglomerative,-0.12,0,0
10,30,30,Agglomerative,-0.118,1,0
10,30,30,Agglomerative,-0.116,1,0
10,30,30,Agglomerative,-0.114,1,0
10,30,30,Agglomerative,-0.112,1,0
10,30,30,Agglomerative,-0.11,1,0
10,30,30,Agglomerative,-0.108,1,0
5000,30,30,Spectral,-0.128,0,0
5000,30,30,Spectral,-0.126,0,0
5000,30,30,Spectral,-0.124,0,0
5000,30,30,Spectral,-0.122,0,0
5000,30,30,Spectral,-0.12,0,0
5000,30,30,Spectral,-0.118,0,0
5000,30,30,Spectral,-0.116,1,0
5000,30,30,Spectral,-0.114,0,0
5000,30,30,Spectral,-0.112,0,0
5000,30,30,Spectral,-0.11,0,0
5000,30,30,Spectral,-0.108,0,0
1000,30,30,Spectral,-0.128,0,0
1000,30,30,Spectral,-0.126,1,0
1000,30,30,Spectral,-0.124,1,0
1000,30,30,Spectral,-0.122,0,0
1000,30,30,Spectral,-0.12,0,0
1000,30,30,Spectral,-0.118,1,0
1000,30,30,Spectral,-0.116,0,0
1000,30,30,Spectral,-0.114,1,0
1000,30,30,Spectral,-0.112,1,0
1000,30,30,Spectral,-0.11,1,0
1000,30,30,Spectral,-0.108,1,0
500,30,30,Spectral,-0.128,0,0
500,30,30,Spectral,-0.126,0,0
500,30,30,Spectral,-0.124,0,0
500,30,30,Spectral,-0.122,0,0
500,30,30,Spectral,-0.12,0,0
500,30,30,Spectral,-0.118,0,0
500,30,30,Spectral,-0.116,1,0
500,30,30,Spectral,-0.114,1,0
500,30,30,Spectral,-0.112,1,0
500,30,30,Spectral,-0.11,1,0
500,30,30,Spectral,-0.108,1,0
250,30,30,Spectral,-0.128,1,0
250,30,30,Spectral,-0.126,0,0
250,30,30,Spectral,-0.124,0,0
250,30,30,Spectral,-0.122,1,0
250,30,30,Spectral,-0.12,1,0
250,30,30,Spectral,-0.118,0,0
250,30,30,Spectral,-0.116,1,0
250,30,30,Spectral,-0.114,1,0
250,30,30,Spectral,-0.112,1,0
250,30,30,Spectral,-0.11,1,0
250,30,30,Spectral,-0.108,1,0
100,30,30,Spectral,-0.128,0,0
100,30,30,Spectral,-0.126,0,0
100,30,30,Spectral,-0.124,0,0
100,30,30,Spectral,-0.122,0,0
100,30,30,Spectral,-0.12,0,0
100,30,30,Spectral,-0.118,0,0
100,30,30,Spectral,-0.116,1,0
100,30,30,Spectral,-0.114,0,0
100,30,30,Spectral,-0.112,0,0
100,30,30,Spectral,-0.11,0,0
100,30,30,Spectral,-0.108,0,0
50,30,30,Spectral,-0.128,1,0
50,30,30,Spectral,-0.126,0,0
50,30,30,Spectral,-0.124,0,0
50,30,30,Spectral,-0.122,1,0
50,30,30,Spectral,-0.12,1,0
50,30,30,Spectral,-0.118,0,0
50,30,30,Spectral,-0.116,1,0
50,30,30,Spectral,-0.114,1,0
50,30,30,Spectral,-0.112,1,0
50,30,30,Spectral,-0.11,1,0
50,30,30,Spectral,-0.108,1,0
5000,30,30,GaussianMixture,-0.128,1,0
5000,30,30,GaussianMixture,-0.126,0,0
5000,30,30,GaussianMixture,-0.124,0,0
5000,30,30,GaussianMixture,-0.122,1,0
5000,30,30,GaussianMixture,-0.12,1,0
5000,30,30,GaussianMixture,-0.118,0,0
5000,30,30,GaussianMixture,-0.116,0,0
5000,30,30,GaussianMixture,-0.114,0.9,0.1
5000,30,30,GaussianMixture,-0.112,0.5,0.288675134594813
5000,30,30,GaussianMixture,-0.11,1,0
5000,30,30,GaussianMixture,-0.108,0.666666666666667,0.333333333333333
1000,30,30,GaussianMixture,-0.128,1,0
1000,30,30,GaussianMixture,-0.126,0,0
1000,30,30,GaussianMixture,-0.124,0,0
1000,30,30,GaussianMixture,-0.122,1,0
1000,30,30,GaussianMixture,-0.12,1,0
1000,30,30,GaussianMixture,-0.118,0,0
1000,30,30,GaussianMixture,-0.116,0,0
1000,30,30,GaussianMixture,-0.114,1,0
1000,30,30,GaussianMixture,-0.112,1,0
1000,30,30,GaussianMixture,-0.11,1,0
1000,30,30,GaussianMixture,-0.108,1,0
500,30,30,GaussianMixture,-0.128,1,0
500,30,30,GaussianMixture,-0.126,0,0
500,30,30,GaussianMixture,-0.124,0,0
500,30,30,GaussianMixture,-0.122,1,0
500,30,30,GaussianMixture,-0.12,1,0
500,30,30,GaussianMixture,-0.118,0,0
500,30,30,GaussianMixture,-0.116,0,0
500,30,30,GaussianMixture,-0.114,1,0
500,30,30,GaussianMixture,-0.112,1,0
500,30,30,GaussianMixture,-0.11,1,0
500,30,30,GaussianMixture,-0.108,1,0
250,30,30,GaussianMixture,-0.128,1,0
250,30,30,GaussianMixture,-0.126,0,0
250,30,30,GaussianMixture,-0.124,0,0
250,30,30,GaussianMixture,-0.122,1,0
250,30,30,GaussianMixture,-0.12,1,0
250,30,30,GaussianMixture,-0.118,0,0
250,30,30,GaussianMixture,-0.116,0,0
250,30,30,GaussianMixture,-0.114,1,0
250,30,30,GaussianMixture,-0.112,1,0
250,30,30,GaussianMixture,-0.11,1,0
250,30,30,GaussianMixture,-0.108,1,0
5000,30,30,MeanShift,-0.128,0,0
5000,30,30,MeanShift,-0.126,0,0
5000,30,30,MeanShift,-0.124,0,0
5000,30,30,MeanShift,-0.122,0,0
5000,30,30,MeanShift,-0.12,0,0
5000,30,30,MeanShift,-0.118,0,0
5000,30,30,MeanShift,-0.116,1,0
5000,30,30,MeanShift,-0.114,0.2,0.2
5000,30,30,MeanShift,-0.112,0,0
5000,30,30,MeanShift,-0.11,0.5,0.288675134594813
5000,30,30,MeanShift,-0.108,0.142857142857143,0.142857142857143
1000,30,30,MeanShift,-0.128,0,0
1000,30,30,MeanShift,-0.126,0,0
1000,30,30,MeanShift,-0.124,0,0
1000,30,30,MeanShift,-0.122,0,0
1000,30,30,MeanShift,-0.12,0,0
1000,30,30,MeanShift,-0.118,0,0
1000,30,30,MeanShift,-0.116,0,0
1000,30,30,MeanShift,-0.114,0.75,0.159571184626056
1000,30,30,MeanShift,-0.112,0.777777777777778,0.100831690330337
1000,30,30,MeanShift,-0.11,0.833333333333334,0.129099444873581
1000,30,30,MeanShift,-0.108,0.818181818181818,0.101639453522718
500,30,30,MeanShift,-0.128,0,0
500,30,30,MeanShift,-0.126,0,0
500,30,30,MeanShift,-0.124,0,0
500,30,30,MeanShift,-0.122,0,0
500,30,30,MeanShift,-0.12,0,0
500,30,30,MeanShift,-0.118,0,0
500,30,30,MeanShift,-0.116,0,0
500,30,30,MeanShift,-0.114,0.79,0.134039795085887
500,30,30,MeanShift,-0.112,0.814814814814815,0.0757903034432635
500,30,30,MeanShift,-0.11,0.85,0.0927960727138337
500,30,30,MeanShift,-0.108,0.900000000000001,0.0632455532033675
250,30,30,MeanShift,-0.128,0,0
250,30,30,MeanShift,-0.126,0,0
250,30,30,MeanShift,-0.124,0,0
250,30,30,MeanShift,-0.122,0,0
250,30,30,MeanShift,-0.12,0,0
250,30,30,MeanShift,-0.118,0,0
250,30,30,MeanShift,-0.116,0,0
250,30,30,MeanShift,-0.114,0.785,0.146372811683044
250,30,30,MeanShift,-0.112,0.837606837606838,0.0794917745202491
250,30,30,MeanShift,-0.11,0.866666666666667,0.0837489635093407
250,30,30,MeanShift,-0.108,0.905982905982903,0.0574411542839201
100,30,30,MeanShift,-0.128,0,0
100,30,30,MeanShift,-0.126,0,0
100,30,30,MeanShift,-0.124,0,0
100,30,30,MeanShift,-0.122,0,0
100,30,30,MeanShift,-0.12,0,0
100,30,30,MeanShift,-0.118,0,0
100,30,30,MeanShift,-0.116,0,0
100,30,30,MeanShift,-0.114,0.776,0.136586968631711
100,30,30,MeanShift,-0.112,0.831649831649832,0.0766132003567862
100,30,30,MeanShift,-0.11,0.866666666666667,0.0720724943681322
100,30,30,MeanShift,-0.108,0.91,0.0493288286231625
50,30,30,MeanShift,-0.128,0,0
50,30,30,MeanShift,-0.126,0,0
50,30,30,MeanShift,-0.124,0,0
50,30,30,MeanShift,-0.122,0,0
50,30,30,MeanShift,-0.12,0,0
50,30,30,MeanShift,-0.118,0,0
50,30,30,MeanShift,-0.116,0,0
50,30,30,MeanShift,-0.114,0.778,0.133471594980605
50,30,30,MeanShift,-0.112,0.826599326599327,0.0760562760813234
50,30,30,MeanShift,-0.11,0.873333333333333,0.0690913244272471
50,30,30,MeanShift,-0.108,0.918333333333333,0.0491878485445791
5000,30,30,Birch,-0.128,1,0
5000,30,30,Birch,-0.126,0,0
5000,30,30,Birch,-0.124,0,0
5000,30,30,Birch,-0.122,1,0
5000,30,30,Birch,-0.12,1,0
5000,30,30,Birch,-0.118,0,0
5000,30,30,Birch,-0.116,1,0
5000,30,30,Birch,-0.114,1,0
5000,30,30,Birch,-0.112,1,0
5000,30,30,Birch,-0.11,1,0
5000,30,30,Birch,-0.108,1,0
1000,30,30,Birch,-0.128,1,0
1000,30,30,Birch,-0.126,0,0
1000,30,30,Birch,-0.124,0,0
1000,30,30,Birch,-0.122,1,0
1000,30,30,Birch,-0.12,1,0
1000,30,30,Birch,-0.118,0,0
1000,30,30,Birch,-0.116,1,0
1000,30,30,Birch,-0.114,1,0
1000,30,30,Birch,-0.112,1,0
1000,30,30,Birch,-0.11,1,0
1000,30,30,Birch,-0.108,1,0
500,30,30,Birch,-0.128,1,0
500,30,30,Birch,-0.126,0,0
500,30,30,Birch,-0.124,0,0
500,30,30,Birch,-0.122,1,0
500,30,30,Birch,-0.12,1,0
500,30,30,Birch,-0.118,0,0
500,30,30,Birch,-0.116,1,0
500,30,30,Birch,-0.114,1,0
500,30,30,Birch,-0.112,1,0
500,30,30,Birch,-0.11,1,0
500,30,30,Birch,-0.108,1,0
250,30,30,Birch,-0.128,0,0
250,30,30,Birch,-0.126,1,0
250,30,30,Birch,-0.124,1,0
250,30,30,Birch,-0.122,0,0
250,30,30,Birch,-0.12,0,0
250,30,30,Birch,-0.118,1,0
250,30,30,Birch,-0.116,1,0
250,30,30,Birch,-0.114,1,0
250,30,30,Birch,-0.112,1,0
250,30,30,Birch,-0.11,1,0
250,30,30,Birch,-0.108,1,0
100,30,30,Birch,-0.128,0,0
100,30,30,Birch,-0.126,1,0
100,30,30,Birch,-0.124,1,0
100,30,30,Birch,-0.122,0,0
100,30,30,Birch,-0.12,0,0
100,30,30,Birch,-0.118,1,0
100,30,30,Birch,-0.116,1,0
100,30,30,Birch,-0.114,1,0
100,30,30,Birch,-0.112,1,0
100,30,30,Birch,-0.11,1,0
100,30,30,Birch,-0.108,1,0
50,30,30,Birch,-0.128,0,0
50,30,30,Birch,-0.126,1,0
50,30,30,Birch,-0.124,1,0
50,30,30,Birch,-0.122,0,0
50,30,30,Birch,-0.12,0,0
50,30,30,Birch,-0.118,1,0
50,30,30,Birch,-0.116,1,0
50,30,30,Birch,-0.114,1,0
50,30,30,Birch,-0.112,1,0
50,30,30,Birch,-0.11,1,0
50,30,30,Birch,-0.108,1,0
10,30,30,Birch,-0.128,0,0
10,30,30,Birch,-0.126,1,0
10,30,30,Birch,-0.124,1,0
10,30,30,Birch,-0.122,0,0
10,30,30,Birch,-0.12,0,0
10,30,30,Birch,-0.118,1,0
10,30,30,Birch,-0.116,1,0
10,30,30,Birch,-0.114,1,0
10,30,30,Birch,-0.112,1,0
10,30,30,Birch,-0.11,1,0
10,30,30,Birch,-0.108,1,0
5000,30,30,BayesianGMM,-0.128,1,0
5000,30,30,BayesianGMM,-0.126,1.18896539457731E-64,1.17034376489502E-64
5000,30,30,BayesianGMM,-0.124,3.04709687554572E-59,2.98928107917144E-59
