stride,feature_set,n_features,model,K0,chi,chi_err
1,30,30,BayesianGMM,4.82,0.07130003971319376,0.006397572083099478
1,30,30,BayesianGMM,4.83,0.018107832081871795,0.0025538671921199324
1,30,30,BayesianGMM,4.84,0.0033333327674009462,0.0015676333818185383
1,30,30,BayesianGMM,4.85,1.174854346380789e-05,1.1695357099723256e-05
1,30,30,BayesianGMM,4.86,1.4009921365372979e-11,1.400813589011985e-11
1,30,30,BayesianGMM,4.87,1.3081247490262452e-21,1.307985881729579e-21
1,30,30,BayesianGMM,4.88,2.9683531521516877e-28,2.9681983914388673e-28
1,30,30,BayesianGMM,4.9,0.0,0.0
1,30,30,BayesianGMM,4.93,0.0,0.0
1,20,20,KMeans,4.67,0.0,0.0
1,20,20,KMeans,4.7,0.0,0.0
1,20,20,KMeans,4.72,0.0,0.0
1,20,20,KMeans,4.73,0.001379055928573347,0.0006776526393781723
1,20,20,KMeans,4.74,0.010451323625869924,0.001960937606477729
1,20,20,KMeans,4.75,0.05541446566177262,0.007283872118823307
1,20,20,KMeans,4.76,0.15033922563352192,0.008607716371654072
1,20,20,KMeans,4.77,0.24641568979774506,0.0031347663707642064
1,20,20,KMeans,4.78,0.20860357480088995,0.006233147473198267
1,20,20,KMeans,4.79,0.09479990636396687,0.006067892746208023
1,20,20,KMeans,4.81,0.005699120022865792,0.0015252359801786219
1,20,20,KMeans,4.82,0.0005444954511575736,0.00035997638246089544
1,20,20,KMeans,4.83,0.0,0.0
1,20,20,KMeans,4.84,0.0,0.0
1,20,20,KMeans,4.85,0.0,0.0
1,20,20,KMeans,4.86,0.0,0.0
1,20,20,KMeans,4.87,0.0,0.0
1,20,20,KMeans,4.88,0.0,0.0
1,20,20,KMeans,4.9,0.0,0.0
1,20,20,KMeans,4.93,0.0,0.0
1,20,20,GaussianMixture,4.67,0.0,0.0
1,20,20,GaussianMixture,4.7,0.0,0.0
1,20,20,GaussianMixture,4.72,0.0,0.0
1,20,20,GaussianMixture,4.73,0.0,0.0
1,20,20,GaussianMixture,4.74,6.703421597886436e-17,6.703421597906512e-17
1,20,20,GaussianMixture,4.75,0.00030940576543952595,0.000217073265671717
1,20,20,GaussianMixture,4.76,0.0018347834019913011,0.0008158878582390742
1,20,20,GaussianMixture,4.77,0.01688925117117642,0.00197000647847089
1,20,20,GaussianMixture,4.78,0.06907768652179422,0.005401615935717323
1,20,20,GaussianMixture,4.79,0.16922523158457164,0.007768897691304304
1,20,20,GaussianMixture,4.81,0.18341011349032968,0.009744905425650374
1,20,20,GaussianMixture,4.82,0.08008559736499275,0.006870553696473406
1,20,20,GaussianMixture,4.83,0.020691463659444596,0.0026250649091320803
1,20,20,GaussianMixture,4.84,0.003916495162665531,0.0017352494303296238
1,20,20,GaussianMixture,4.85,2.9672395713978027e-05,2.938871145111254e-05
1,20,20,GaussianMixture,4.86,4.288101632496365e-11,4.286246346327334e-11
1,20,20,GaussianMixture,4.87,8.269573231909526e-22,8.267330741802116e-22
1,20,20,GaussianMixture,4.88,1.8116651017150971e-28,1.8113784798005884e-28
1,20,20,GaussianMixture,4.9,0.0,0.0
1,20,20,GaussianMixture,4.93,0.0,0.0
1,20,20,MeanShift,4.67,0.0,0.0
1,20,20,MeanShift,4.7,0.0,0.0
1,20,20,MeanShift,4.72,0.00018086453246518884,0.00018086453246518366
1,20,20,MeanShift,4.73,0.002569766459184068,0.0009179159535534919
1,20,20,MeanShift,4.74,0.019993827040820932,0.0027964923941449296
1,20,20,MeanShift,4.75,0.08723256090422284,0.007904536754535379
1,20,20,MeanShift,4.76,0.20211861065197068,0.006679722112415091
1,20,20,MeanShift,4.77,0.24652071885445626,0.0023976710133990766
1,20,20,MeanShift,4.78,0.1517153009219388,0.007799812531488727
1,20,20,MeanShift,4.79,0.04996967770227685,0.005570775366268167
1,20,20,MeanShift,4.81,0.001526326735787876,0.0006221841310656818
1,20,20,MeanShift,4.82,0.0002723311622606393,0.00027227552012746984
1,20,20,MeanShift,4.83,0.0,0.0
1,20,20,MeanShift,4.84,0.0,0.0
1,20,20,MeanShift,4.85,0.0,0.0
1,20,20,MeanShift,4.86,0.0,0.0
1,20,20,MeanShift,4.87,0.0,0.0
1,20,20,MeanShift,4.88,0.0,0.0
1,20,20,MeanShift,4.9,0.0,0.0
1,20,20,MeanShift,4.93,0.0,0.0
1,20,20,Birch,4.67,0.0,0.0
1,20,20,Birch,4.7,0.0,0.0
1,20,20,Birch,4.72,0.00018086453246518884,0.00018086453246518366
1,20,20,Birch,4.73,0.0013601970222682567,0.0010183233346250085
1,20,20,Birch,4.74,0.010132575285096831,0.0018045932629158607
1,20,20,Birch,4.75,0.05566479069018229,0.006309436120651114
1,20,20,Birch,4.76,0.1597325303247615,0.007646951822907787
1,20,20,Birch,4.77,0.24880246801644731,0.0014412384321932695
1,20,20,Birch,4.78,0.19895974466494423,0.005535563866540132
1,20,20,Birch,4.79,0.08025041478522067,0.005137693463369362
1,20,20,Birch,4.81,0.003932559990495857,0.0010437709979352915
1,20,20,Birch,4.82,0.0002723311622606393,0.00027227552012746984
