stride,feature_set,n_features,model,K0,mean,mean_err
1,20,20,KMeans,4.67,0.0004248990864669641,0.00021244954323348204
1,20,20,KMeans,4.7,0.004344391785150079,0.0015727104338486072
1,20,20,KMeans,4.72,0.007467994310099573,0.0024893314366998577
1,20,20,KMeans,4.73,0.015337423312883436,0.002434024685938258
1,20,20,KMeans,4.74,0.028329534353630864,0.0031218879883359715
1,20,20,KMeans,4.75,0.04403983815748531,0.004692612696302924
1,20,20,KMeans,4.76,0.0643905360886493,0.006915094273146937
1,20,20,KMeans,4.77,0.0942310458926773,0.007307866715238129
1,20,20,KMeans,4.78,0.1319444444444442,0.008074689918749253
1,20,20,KMeans,4.79,0.173322576307651,0.012854392515297838
1,20,20,KMeans,4.81,0.2667430608607079,0.021868778588212963
1,20,20,KMeans,4.82,0.2792375765827093,0.012218011551048685
1,20,20,KMeans,4.83,0.3213162034609334,0.02110644992134242
1,20,20,KMeans,4.84,0.40910148975791305,0.02124583535788944
1,20,20,KMeans,4.85,0.4210594315245478,0.02526062825128715
1,20,20,KMeans,4.86,0.44448360944659865,0.03195842577352769
1,20,20,KMeans,4.87,0.46737955064279707,0.014419952020111124
1,20,20,KMeans,4.88,0.5096529405200313,0.01585587344172425
1,20,20,KMeans,4.9,0.5903349807797913,0.022016005576458546
1,20,20,KMeans,4.93,0.6115765422696102,0.025179868850270303
1,20,20,GaussianMixture,4.67,1.3586523973362395e-139,1.1936162191329867e-139
1,20,20,GaussianMixture,4.7,3.881526871042122e-82,3.819576042677532e-82
1,20,20,GaussianMixture,4.72,2.090086307347962e-40,2.088847395376912e-40
1,20,20,GaussianMixture,4.73,6.888363117378963e-16,6.888363117378865e-16
1,20,20,GaussianMixture,4.74,1.0631928321802491e-10,1.06319131536359e-10
1,20,20,GaussianMixture,4.75,0.00032249388824720607,0.00021954881530859372
1,20,20,GaussianMixture,4.76,0.00204028661864906,0.0008483243887902246
1,20,20,GaussianMixture,4.77,0.018369185636919756,0.002108932768508719
1,20,20,GaussianMixture,4.78,0.07939469338909093,0.006476911418085299
1,20,20,GaussianMixture,4.79,0.23255101733816488,0.014329650452848635
1,20,20,GaussianMixture,4.81,0.7366394443247234,0.021888710459389893
1,20,20,GaussianMixture,4.82,0.9048514948875456,0.008716423914113376
1,20,20,GaussianMixture,4.83,0.9769867406367566,0.0028397861044346037
1,20,20,GaussianMixture,4.84,0.9955319615713684,0.0018327848714815298
1,20,20,GaussianMixture,4.85,0.9999031209447313,8.212802666621893e-05
1,20,20,GaussianMixture,4.86,0.999999914062447,8.42487316730502e-08
1,20,20,GaussianMixture,4.87,0.9999999999994399,5.28739598380897e-13
1,20,20,GaussianMixture,4.88,0.9999999999999833,1.8973231838984497e-15
1,20,20,GaussianMixture,4.9,1.0,0.0
1,20,20,GaussianMixture,4.93,1.0,0.0
1,20,20,Birch,4.67,0.0,0.0
1,20,20,Birch,4.7,0.0,0.0
1,20,20,Birch,4.72,0.0008888888888888887,0.0006409868934158202
1,20,20,Birch,4.73,0.006130790190735695,0.0015661227072237324
1,20,20,Birch,4.74,0.031128404669260663,0.003671122228240947
1,20,20,Birch,4.75,0.09379374708352776,0.008557812850196866
1,20,20,Birch,4.76,0.21783363255535598,0.012412004580598424
1,20,20,Birch,4.77,0.42713278664940296,0.018466805810296943
1,20,20,Birch,4.78,0.6476388888888884,0.015479414346754854
1,20,20,Birch,4.79,0.8269644779332616,0.00902610862822847
1,20,20,Birch,4.81,0.9747899159663859,0.0028432449239358844
1,20,20,Birch,4.82,0.9941448801742917,0.001738445715523374
1,20,20,Birch,4.83,0.9993440902531812,0.00034707481451708367
1,20,20,Birch,4.84,0.9996505939902166,0.0002542302149227584
1,20,20,Birch,4.85,0.999738356881214,0.00018405349505825654
1,20,20,Birch,4.86,1.0,0.0
1,20,20,Birch,4.87,1.0,0.0
1,20,20,Birch,4.88,1.0,0.0
1,20,20,Birch,4.9,1.0,0.0
1,20,20,Birch,4.93,1.0,0.0
1,20,20,BayesianGMM,4.67,3.217871770849137e-132,2.82642896613644e-132
1,20,20,BayesianGMM,4.7,7.500475222373518e-78,7.277278786407273e-78
1,20,20,BayesianGMM,4.72,1.3633077859543521e-37,1.3620336353134896e-37
1,20,20,BayesianGMM,4.73,1.3563378632596459e-14,1.3563378632595941e-14
1,20,20,BayesianGMM,4.74,2.09343272833775e-09,2.093427897903814e-09
1,20,20,BayesianGMM,4.75,0.00044953430584553875,0.00024575377715566586
1,20,20,BayesianGMM,4.76,0.0027799228961831097,0.0010670311414828948
1,20,20,BayesianGMM,4.77,0.02158138061731949,0.00231797988015504
1,20,20,BayesianGMM,4.78,0.0896623971325394,0.006577809063946065
1,20,20,BayesianGMM,4.79,0.2544471860810599,0.014412577561869354
1,20,20,BayesianGMM,4.81,0.759935927823806,0.020202867060111263
1,20,20,BayesianGMM,4.82,0.9168544430171939,0.007958157117572898
1,20,20,BayesianGMM,4.83,0.980515161255554,0.0027265730355829354
1,20,20,BayesianGMM,4.84,0.9964013305983207,0.0016668120584251156
1,20,20,BayesianGMM,4.85,0.9999797484279477,1.7319291576840842e-05
1,20,20,BayesianGMM,4.86,0.9999999879891002,1.1639745252171942e-08
1,20,20,BayesianGMM,4.87,0.9999999999998977,1.204023338836649e-13
1,20,20,BayesianGMM,4.88,1.0,0.0
1,20,20,BayesianGMM,4.9,1.0,0.0
1,20,20,BayesianGMM,4.93,1.0,0.0
1,12,12,KMeans,4.67,0.0,0.0
1,12,12,KMeans,4.7,0.0,0.0
1,12,12,KMeans,4.72,0.00036172906493036716,0.00025444539422641416
1,12,12,KMeans,4.73,0.003106125970664447,0.0008602388498144761
1,12,12,KMeans,4.74,0.021703919663103338,0.0029010188762213294
1,12,12,KMeans,4.75,0.10161842514783691,0.0084633768868098
1,12,12,KMeans,4.76,0.27722920406941953,0.014227212694785506
1,12,12,KMeans,4.77,0.5497050784059847,0.016495521226307493
1,12,12,KMeans,4.78,0.7925,0.01080614465689217
1,12,12,KMeans,4.79,0.9353535353535354,0.005298940221658116
1,12,12,KMeans,4.81,0.9974535268652901,0.0007167802575281215
1,12,12,KMeans,4.82,0.9997276688453159,0.0002723311546840949
1,12,12,KMeans,4.83,1.0,0.0
1,12,12,KMeans,4.84,1.0,0.0
1,12,12,KMeans,4.85,1.0,0.0
1,12,12,KMeans,4.86,1.0,0.0
1,12,12,KMeans,4.87,1.0,0.0
1,12,12,KMeans,4.88,1.0,0.0
1,12,12,KMeans,4.9,1.0,0.0
1,12,12,KMeans,4.93,1.0,0.0
1,12,12,GaussianMixture,4.67,7.516933489085125e-141,7.039754864485314e-141
1,12,12,GaussianMixture,4.7,1.5574712333804392e-80,1.197567009353001e-80
1,12,12,GaussianMixture,4.72,1.6573672901800234e-37,1.6571957301777738e-37
1,12,12,GaussianMixture,4.73,2.0365729683968548e-18,2.0365729641557333e-18
1,12,12,GaussianMixture,4.74,1.6768783624952812e-06,1.6768610075175309e-06
1,12,12,GaussianMixture,4.75,0.00035305570464448633,0.00027373537038608605
1,12,12,GaussianMixture,4.76,0.0019425644037752176,0.0008101719728381757
1,12,12,GaussianMixture,4.77,0.019869818108296976,0.002399703875420093
1,12,12,GaussianMixture,4.78,0.08109972595322235,0.006692464236219365
1,12,12,GaussianMixture,4.79,0.23519576041341828,0.015873514985961314
1,12,12,GaussianMixture,4.81,0.7421235627824947,0.02230823734911319
1,12,12,GaussianMixture,4.82,0.908663779357663,0.008793660194601937
1,12,12,GaussianMixture,4.83,0.9781484046197079,0.0026668459042974058
1,12,12,GaussianMixture,4.84,0.9956088599969276,0.0013689504908984684
1,12,12,GaussianMixture,4.85,0.9998201950539294,0.00013313880999224421
1,12,12,GaussianMixture,4.86,0.9999998070070056,1.9182536544344775e-07
1,12,12,GaussianMixture,4.87,0.9999999999997806,2.0765519715341565e-13
1,12,12,GaussianMixture,4.88,1.0,0.0
1,12,12,GaussianMixture,4.9,1.0,0.0
1,12,12,GaussianMixture,4.93,1.0,0.0
1,12,12,MeanShift,4.67,0.0,0.0
1,12,12,MeanShift,4.7,0.0,0.0
1,12,12,MeanShift,4.72,0.0007234581298607343,0.0003560321881900801
1,12,12,MeanShift,4.73,0.006125574272588055,0.001932587492189986
1,12,12,MeanShift,4.74,0.043717616580310904,0.004117493765708259
1,12,12,MeanShift,4.75,0.15935262994086524,0.010898580348878672
1,12,12,MeanShift,4.76,0.39736684619988044,0.0170759850281099
