stride,feature_set,n_features,model,K0,chi,chi_err
1,20,20,KMeans,4.72,0.007418421877615232,0.0024530231517817876
1,20,20,KMeans,4.73,0.015108111858156519,0.0023600912502998394
1,20,20,KMeans,4.74,0.02753671890250191,0.002946650757202979
1,20,20,KMeans,4.75,0.042122354019162755,0.004278400236290434
1,20,20,KMeans,4.76,0.06029222001646316,0.00603323661013082
1,20,20,KMeans,4.77,0.0854049677020717,0.0059364871748192275
1,20,20,KMeans,4.78,0.11460031624974715,0.005957729691651173
1,20,20,KMeans,4.79,0.143447125703254,0.008380004425687308
1,20,20,KMeans,4.81,0.19606950732176773,0.010200717812688904
1,20,20,KMeans,4.82,0.20141325295779658,0.00541000669513098
1,20,20,KMeans,4.83,0.21851769241655378,0.007544739376551188
1,20,20,KMeans,4.84,0.2421888977644319,0.0038037570910136043
1,20,20,KMeans,4.85,0.2444066035694743,0.004143225866266165
1,20,20,KMeans,4.86,0.24793944627868766,0.0034590749131820906
1,20,20,KMeans,4.87,0.24914386345581885,0.0009411169448920068
1,20,20,KMeans,4.88,0.2501392443748038,0.00028854584168005646
1,20,20,KMeans,4.9,0.2423243586545083,0.0038418696764583827
1,20,20,KMeans,4.93,0.23818477270409413,0.005751755240792875
1,20,20,GaussianMixture,4.67,0.0,0.0
1,20,20,GaussianMixture,4.7,0.0,0.0
1,20,20,GaussianMixture,4.72,0.0,0.0
1,20,20,GaussianMixture,4.73,0.0,0.0
1,20,20,GaussianMixture,4.74,6.891901272842472e-17,6.891901272866701e-17
1,20,20,GaussianMixture,4.75,0.000308788265505842,0.000216839564085687
1,20,20,GaussianMixture,4.76,0.00181262073925546,0.000799830277771605
1,20,20,GaussianMixture,4.77,0.01690042781183627,0.001962640752517334
1,20,20,GaussianMixture,4.78,0.06913907297382611,0.0054124295654111665
1,20,20,GaussianMixture,4.79,0.16925775355017683,0.007788197365667195
1,20,20,GaussianMixture,4.81,0.18355224943547588,0.009730245546265767
1,20,20,GaussianMixture,4.82,0.08012437564192966,0.006878191444410561
1,20,20,GaussianMixture,4.83,0.020663325035268017,0.002631013495767026
1,20,20,GaussianMixture,4.84,0.003926455494965577,0.0017177177158067727
1,20,20,GaussianMixture,4.85,2.6873299459522804e-05,2.652056020413959e-05
1,20,20,GaussianMixture,4.86,5.975250156491938e-11,5.973209992435581e-11
1,20,20,GaussianMixture,4.87,2.304980603048622e-21,2.304740839901105e-21
1,20,20,GaussianMixture,4.88,2.36605994615023e-28,2.36583652465552e-28
1,20,20,GaussianMixture,4.9,0.0,0.0
1,20,20,GaussianMixture,4.93,0.0,0.0
1,20,20,Birch,4.67,0.0,0.0
1,20,20,Birch,4.7,0.0,0.0
1,20,20,Birch,4.72,0.000888509697101461,0.0006401714867169772
1,20,20,Birch,4.73,0.006095656618138659,0.0015481108937646943
1,20,20,Birch,4.74,0.030172905749382823,0.003444974125984926
1,20,20,Birch,4.75,0.08506973025777811,0.006976602468826455
1,20,20,Birch,4.76,0.17053622459184037,0.00697815948594737
1,20,20,Birch,4.77,0.2450314581434845,0.0027248217114635726
1,20,20,Birch,4.78,0.2284424068584541,0.004549010357032378
1,20,20,Birch,4.79,0.14317571037527693,0.005917887120665111
1,20,20,Birch,4.81,0.02458262047443422,0.002703974907982749
1,20,20,Birch,4.82,0.005823860046502764,0.0017172046460364073
1,20,20,Birch,4.83,0.0006555999952364638,0.0003467125545574029
1,20,20,Birch,4.84,0.00034934856117945564,0.00025413034225869944
1,20,20,Birch,4.85,0.00026160853730735435,0.0001840048358394713
1,20,20,Birch,4.86,0.0,0.0
1,20,20,Birch,4.87,0.0,0.0
1,20,20,Birch,4.88,0.0,0.0
1,20,20,Birch,4.9,0.0,0.0
1,20,20,Birch,4.93,0.0,0.0
1,20,20,BayesianGMM,4.67,0.0,0.0
1,20,20,BayesianGMM,4.7,0.0,0.0
1,20,20,BayesianGMM,4.72,0.0,0.0
1,20,20,BayesianGMM,4.73,0.0,0.0
1,20,20,BayesianGMM,4.74,2.6719740122339545e-14,2.6719740122474216e-14
1,20,20,BayesianGMM,4.75,0.0003898211159643399,0.00023154400456465075
1,20,20,BayesianGMM,4.76,0.0024287538346324873,0.0010191000652477783
1,20,20,BayesianGMM,4.77,0.019579620473688573,0.0021402612055952328
1,20,20,BayesianGMM,4.78,0.07664161028510706,0.005349950302864913
1,20,20,BayesianGMM,4.79,0.17921392604161265,0.0070945352660092215
1,20,20,BayesianGMM,4.81,0.1716834078887417,0.009752409990299096
1,20,20,BayesianGMM,4.82,0.07074654115549288,0.006331147090519017
1,20,20,BayesianGMM,4.83,0.01732961573268454,0.002582673768500017
1,20,20,BayesianGMM,4.84,0.003274617526887074,0.001589661737237604
1,20,20,BayesianGMM,4.85,1.415936108022615e-06,1.400382578185914e-06
1,20,20,BayesianGMM,4.86,1.1408304862254223e-12,1.1397782373288922e-12
1,20,20,BayesianGMM,4.87,1.194269077849701e-22,1.194003255311752e-22
1,20,20,BayesianGMM,4.88,3.2835657462492115e-29,3.283940069235545e-29
1,20,20,BayesianGMM,4.9,0.0,0.0
1,20,20,BayesianGMM,4.93,0.0,0.0
1,12,12,KMeans,4.67,0.0,0.0
1,12,12,KMeans,4.7,0.0,0.0
1,12,12,KMeans,4.72,0.0003616629593501902,0.0002543523781802704
1,12,12,KMeans,4.73,0.003097217998856965,0.0008552842427327179
1,12,12,KMeans,4.74,0.021241276412275478,0.0027765162469782145
1,12,12,KMeans,4.75,0.09136376029130368,0.006718754652863452
1,12,12,KMeans,4.76,0.20057562476658275,0.006376949246931807
1,12,12,KMeans,4.77,0.24780155844510193,0.0015059591021662716
1,12,12,KMeans,4.78,0.1645605390725001,0.006332288688293598
1,12,12,KMeans,4.79,0.06049538081100228,0.004618822283646611
1,12,12,KMeans,4.81,0.0025405024093217293,0.0007133179276120564
1,12,12,KMeans,4.82,0.0002723311622606393,0.00027227552012746984
1,12,12,KMeans,4.83,0.0,0.0
1,12,12,KMeans,4.84,0.0,0.0
1,12,12,KMeans,4.85,0.0,0.0
1,12,12,KMeans,4.86,0.0,0.0
1,12,12,KMeans,4.87,0.0,0.0
1,12,12,KMeans,4.88,0.0,0.0
1,12,12,KMeans,4.9,0.0,0.0
1,12,12,KMeans,4.93,0.0,0.0
1,12,12,GaussianMixture,4.67,0.0,0.0
1,12,12,GaussianMixture,4.7,0.0,0.0
1,12,12,GaussianMixture,4.72,0.0,0.0
1,12,12,GaussianMixture,4.73,0.0,0.0
1,12,12,GaussianMixture,4.74,1.714393156800273e-08,1.7143931566824074e-08
1,12,12,GaussianMixture,4.75,0.00027338885704524776,0.0002531114438156188
1,12,12,GaussianMixture,4.76,0.0017632716470073113,0.0007878890254410328
1,12,12,GaussianMixture,4.77,0.018155534614328207,0.0021435095055427223
1,12,12,GaussianMixture,4.78,0.07048895518690385,0.005582436602118411
1,12,12,GaussianMixture,4.79,0.17056134710617557,0.008692217252445032
1,12,12,GaussianMixture,4.81,0.17933135201872896,0.010857303475391752
1,12,12,GaussianMixture,4.82,0.07639843278598339,0.0069256761395748885
1,12,12,GaussianMixture,4.83,0.019721351921934475,0.002432008173083781
1,12,12,GaussianMixture,4.84,0.0038726983196266333,0.0013193515634462862
1,12,12,GaussianMixture,4.85,0.0001338738117000947,0.00012650591233141358
1,12,12,GaussianMixture,4.86,3.096841954516627e-10,3.0967821230448987e-10
1,12,12,GaussianMixture,4.87,2.295376321551934e-22,2.2879571611458635e-22
1,12,12,GaussianMixture,4.88,2.328511997340106e-29,2.3287774452196662e-29
1,12,12,GaussianMixture,4.9,0.0,0.0
1,12,12,GaussianMixture,4.93,0.0,0.0
1,12,12,MeanShift,4.67,0.0,0.0
1,12,12,MeanShift,4.7,0.0,0.0
1,12,12,MeanShift,4.72,0.0007230614963796728,0.00035564173066327686
1,12,12,MeanShift,4.73,0.0060917871958324175,0.0019101220581853391
1,12,12,MeanShift,4.74,0.04182334253474129,0.0037629157577145525
1,12,12,MeanShift,4.75,0.13407816661629104,0.007378744337671069
1,12,12,MeanShift,4.76,0.23975808241471971,0.003613081345104948
1,12,12,MeanShift,4.77,0.2166271706026071,0.005632064284665199
1,12,12,MeanShift,4.78,0.11047767994681788,0.0059290770565125234
1,12,12,MeanShift,4.79,0.029268650103370063,0.003036070941314137
1,12,12,MeanShift,4.81,0.0006384310731383577,0.00032571242243313706
1,12,12,MeanShift,4.82,0.0001378929950358443,0.00013789299503585222
1,12,12,MeanShift,4.83,0.0,0.0
1,12,12,MeanShift,4.84,0.0,0.0
1,12,12,MeanShift,4.85,0.0,0.0
1,12,12,MeanShift,4.86,0.0,0.0
1,12,12,MeanShift,4.87,0.0,0.0
1,12,12,MeanShift,4.88,0.0,0.0
1,12,12,MeanShift,4.9,0.0,0.0
1,12,12,MeanShift,4.93,0.0,0.0
1,12,12,Birch,4.67,0.0,0.0
1,12,12,Birch,4.7,0.0,0.0
1,12,12,Birch,4.72,0.0,0.0
1,12,12,Birch,4.73,0.0015309374615357896,0.0005718501066848798
1,12,12,Birch,4.74,0.016564699823545078,0.0024173767239732582
1,12,12,Birch,4.75,0.07125527003007881,0.0043516140112160205
1,12,12,Birch,4.76,0.1790087140247912,0.0068795694066310625
1,12,12,Birch,4.77,0.25022172016567157,0.00015326329364715284
1,12,12,Birch,4.78,0.18363442649537734,0.006459729049247292
1,12,12,Birch,4.79,0.07671807174721818,0.004474804003808547
1,12,12,Birch,4.81,0.0038100600255618292,0.0007635960395868752
1,12,12,Birch,4.82,0.00027247956965383686,0.0002724383105029424
1,12,12,Birch,4.83,0.0,0.0
1,12,12,Birch,4.84,0.0,0.0
1,12,12,Birch,4.85,0.0,0.0
1,12,12,Birch,4.86,0.0,0.0
1,12,12,Birch,4.87,0.0,0.0
1,12,12,Birch,4.88,0.0,0.0
1,12,12,Birch,4.9,0.0,0.0
1,12,12,Birch,4.93,0.0,0.0
1,12,12,BayesianGMM,4.67,0.0,0.0
1,12,12,BayesianGMM,4.7,0.0,0.0
1,12,12,BayesianGMM,4.72,0.0,0.0
1,12,12,BayesianGMM,4.73,0.0,0.0
1,12,12,BayesianGMM,4.74,3.7251630873225025e-05,3.7251630873107206e-05
1,12,12,BayesianGMM,4.75,0.0005213291089410504,0.00032048502105248546
1,12,12,BayesianGMM,4.76,0.0022465213350974845,0.0008725039267835766
1,12,12,BayesianGMM,4.77,0.021405500792748274,0.0024949152667499436
1,12,12,BayesianGMM,4.78,0.07833781405586315,0.005531993779259025
1,12,12,BayesianGMM,4.79,0.18047026915937733,0.007667981399647749
1,12,12,BayesianGMM,4.81,0.16735303558463915,0.011513307850560692
1,12,12,BayesianGMM,4.82,0.06566076856686387,0.00669570668626741
1,12,12,BayesianGMM,4.83,0.01628711679908347,0.00217424060800418
1,12,12,BayesianGMM,4.84,0.0027447874528142586,0.0013368888571706908
1,12,12,BayesianGMM,4.85,0.00010411293459535425,0.00010368628049030178
1,12,12,BayesianGMM,4.86,5.93225868494017e-12,5.931881532376544e-12
1,12,12,BayesianGMM,4.87,1.2929564722341445e-23,1.2826274202504354e-23
1,12,12,BayesianGMM,4.88,9.095749989609964e-30,9.096786895389318e-30
1,12,12,BayesianGMM,4.9,0.0,0.0
1,12,12,BayesianGMM,4.93,0.0,0.0
