stride,feature_set,n_features,model,K0,mean,mean_err
1,30,30,KMeans,4.67,0.0,0.0
1,30,30,KMeans,4.7,0.0,0.0
1,30,30,KMeans,4.72,0.00018086453246518358,0.00018086453246518366
1,30,30,KMeans,4.73,0.0017256255392579403,0.0007141600808240394
1,30,30,KMeans,4.74,0.009232264334305127,0.001754270743356597
1,30,30,KMeans,4.75,0.056938394523957686,0.009645301804604853
1,30,30,KMeans,4.76,0.18327348892878517,0.01195765481908325
1,30,30,KMeans,4.77,0.43562077398935406,0.023639736746723167
1,30,30,KMeans,4.78,0.7044444444444444,0.01319188571681211
1,30,30,KMeans,4.79,0.8937600860677783,0.008106123955542933
1,30,30,KMeans,4.81,0.9942704354469063,0.0013414379619114492
1,30,30,KMeans,4.82,0.999586321014914,0.00023636260481856952
1,30,30,KMeans,4.83,1.0,0.0
1,30,30,KMeans,4.84,1.0,0.0
1,30,30,KMeans,4.85,1.0,0.0
1,30,30,KMeans,4.86,1.0,0.0
1,30,30,KMeans,4.87,1.0,0.0
1,30,30,KMeans,4.88,1.0,0.0
1,30,30,KMeans,4.9,1.0,0.0
1,30,30,KMeans,4.93,1.0,0.0
1,30,30,GaussianMixture,4.67,3.7254739370547797e-140,3.359190203232297e-140
1,30,30,GaussianMixture,4.7,1.1250207548943559e-82,9.215568859736041e-83
1,30,30,GaussianMixture,4.72,3.6971153708038503e-37,3.6971118729804317e-37
1,30,30,GaussianMixture,4.73,1.5568937543318703e-16,1.556893754329922e-16
1,30,30,GaussianMixture,4.74,5.609304396913972e-11,4.070036140264252e-11
1,30,30,GaussianMixture,4.75,0.0004667709041706881,0.00026352101304558096
1,30,30,GaussianMixture,4.76,0.0025305113090694723,0.0009427168116546223
1,30,30,GaussianMixture,4.77,0.01989708487486963,0.0022463183461695073
1,30,30,GaussianMixture,4.78,0.08158568137181682,0.006500513089518073
1,30,30,GaussianMixture,4.79,0.23339011178499036,0.014023224314517928
1,30,30,GaussianMixture,4.81,0.733900943121037,0.02236562646094381
1,30,30,GaussianMixture,4.82,0.9038332821125775,0.008917591604705274
1,30,30,GaussianMixture,4.83,0.9763716608477788,0.0028443597397424473
1,30,30,GaussianMixture,4.84,0.995335542324542,0.0018805140083554273
