stride,feature_set,n_features,model,Delta,chi,chi_err
50,20,20,Spectral,0.0394,0,0
50,20,20,Spectral,0.0398,0,0
50,20,20,Spectral,0.0402,0,0
50,20,20,Spectral,0.041,0,0
500,20,20,GaussianMixture,0.036,0,0
500,20,20,GaussianMixture,0.0366,0,0
500,20,20,GaussianMixture,0.037,0,0
500,20,20,GaussianMixture,0.0374,0.000279985104605949,0.000279985106026677
500,20,20,GaussianMixture,0.0378,0.0623680107908995,0.0264576443350417
500,20,20,GaussianMixture,0.0382,0.184004985194291,0.041998442490376
500,20,20,GaussianMixture,0.0386,0.000687213283350991,0.000579990934287952
500,20,20,GaussianMixture,0.039,0,0
500,20,20,GaussianMixture,0.0394,0,0
500,20,20,GaussianMixture,0.0398,0,0
500,20,20,GaussianMixture,0.0402,0,0
500,20,20,GaussianMixture,0.041,0,0
100,20,20,MeanShift,0.036,0,0
100,20,20,MeanShift,0.0366,0,0
100,20,20,MeanShift,0.037,0,0
100,20,20,MeanShift,0.0374,0,0
100,20,20,MeanShift,0.0378,0,0
100,20,20,MeanShift,0.0382,0.0482924242320234,0.0456227376006923
100,20,20,MeanShift,0.0386,0.183116264836927,0.104520113550839
100,20,20,MeanShift,0.039,0.0132227232930889,0.00761807465086295
100,20,20,MeanShift,0.0394,0,0
100,20,20,MeanShift,0.0398,0,0
100,20,20,MeanShift,0.0402,0,0
100,20,20,MeanShift,0.041,0,0
10,20,20,DBSCAN,0.036,0,0
10,20,20,DBSCAN,0.0366,0,0
10,20,20,DBSCAN,0.037,0,0
10,20,20,DBSCAN,0.0374,0,0
10,20,20,DBSCAN,0.0378,0,0
10,20,20,DBSCAN,0.0382,0,0
10,20,20,DBSCAN,0.0386,0,0
10,20,20,DBSCAN,0.039,0,0
10,20,20,DBSCAN,0.0394,0,0
10,20,20,DBSCAN,0.0398,0,0
10,20,20,DBSCAN,0.0402,0,0
10,20,20,DBSCAN,0.041,0.000252737987768156,0.000145887595714394
50,20,20,Birch,0.036,0,0
50,20,20,Birch,0.0366,0,0
50,20,20,Birch,0.037,0,0
50,20,20,Birch,0.0374,0,0
50,20,20,Birch,0.0378,0,0
50,20,20,Birch,0.0382,0.0744577487209248,0.0610527458713852
50,20,20,Birch,0.0386,0.214319072063476,0.0789404138399561
50,20,20,Birch,0.039,0.0703888940257553,0.0382437762774809
50,20,20,Birch,0.0394,0.0010395013440431,0.00103891540511259
50,20,20,Birch,0.0398,0,0
50,20,20,Birch,0.0402,0,0
50,20,20,Birch,0.041,0,0
1000,20,20,BayesianGMM,0.036,0,0
1000,20,20,BayesianGMM,0.0366,0,0
1000,20,20,BayesianGMM,0.037,0,0
1000,20,20,BayesianGMM,0.0374,3.71860874728931E-10,3.71860259569476E-10
1000,20,20,BayesianGMM,0.0378,0.0295976159884959,0.0286792188245693
1000,20,20,BayesianGMM,0.0382,0.252058397707355,0.0248336816688897
1000,20,20,BayesianGMM,0.0386,0.0479388817205436,0.0353366771503682
1000,20,20,BayesianGMM,0.039,1.7034000213333E-29,1.69539727759502E-29
1000,20,20,BayesianGMM,0.0394,0,0
1000,20,20,BayesianGMM,0.0398,0,0
1000,20,20,BayesianGMM,0.0402,0,0
1000,20,20,BayesianGMM,0.041,0,0
1,12,12,KMeans,0.036,0,0
1,12,12,KMeans,0.0366,0,0
1,12,12,KMeans,0.037,0,0
1,12,12,KMeans,0.0374,0.000140001400287015,0.000139974099058474
1,12,12,KMeans,0.0378,0.0427445672074649,0.0172469379226787
1,12,12,KMeans,0.0382,0.227883098417098,0.0483443786875738
1,12,12,KMeans,0.0386,0.0140826282055725,0.00861693783105436
1,12,12,KMeans,0.039,0,0
1,12,12,KMeans,0.0394,0,0
1,12,12,KMeans,0.0398,0,0
1,12,12,KMeans,0.0402,0,0
1,12,12,KMeans,0.041,0,0
50,12,12,Agglomerative,0.036,0,0
50,12,12,Agglomerative,0.0366,0,0
50,12,12,Agglomerative,0.037,0,0
50,12,12,Agglomerative,0.0374,0,0
50,12,12,Agglomerative,0.0378,0,0
50,12,12,Agglomerative,0.0382,0.0520026820216915,0.0466386386386386
50,12,12,Agglomerative,0.0386,0.201474335880051,0.0941691179169315
50,12,12,Agglomerative,0.039,0.0550564930558023,0.0340603356997796
50,12,12,Agglomerative,0.0394,0.00414614601530489,0.00309259655054048
50,12,12,Agglomerative,0.0398,0,0
50,12,12,Agglomerative,0.0402,0,0
50,12,12,Agglomerative,0.041,0,0
50,12,12,Spectral,0.036,0,0
50,12,12,Spectral,0.0366,0,0
