stride,feature_set,n_features,model,Delta,mean,mean_err
250,30,30,Agglomerative,0.0386,0.990769230769238,0.0068370726287043
250,30,30,Agglomerative,0.039,1,0
250,30,30,Agglomerative,0.0394,1,0
250,30,30,Agglomerative,0.0398,1,0
250,30,30,Agglomerative,0.0402,1,0
250,30,30,Agglomerative,0.041,1,0
100,30,30,Agglomerative,0.036,0,0
100,30,30,Agglomerative,0.0366,0,0
100,30,30,Agglomerative,0.037,0,0
100,30,30,Agglomerative,0.0374,0,0
100,30,30,Agglomerative,0.0378,0,0
100,30,30,Agglomerative,0.0382,0.059,0.059
100,30,30,Agglomerative,0.0386,0.267708333333333,0.213541666666667
100,30,30,Agglomerative,0.039,0.996313364055299,0.00318161523459418
100,30,30,Agglomerative,0.0394,1,0
100,30,30,Agglomerative,0.0398,1,0
100,30,30,Agglomerative,0.0402,1,0
100,30,30,Agglomerative,0.041,1,0
50,30,30,Agglomerative,0.036,0,0
50,30,30,Agglomerative,0.0366,0,0
50,30,30,Agglomerative,0.037,0,0
50,30,30,Agglomerative,0.0374,0,0
50,30,30,Agglomerative,0.0378,0,0
50,30,30,Agglomerative,0.0382,0.059,0.059
50,30,30,Agglomerative,0.0386,0.25,0.203125
50,30,30,Agglomerative,0.039,0.996090156393744,0.0025298988040478
50,30,30,Agglomerative,0.0394,1,0
50,30,30,Agglomerative,0.0398,1,0
50,30,30,Agglomerative,0.0402,1,0
50,30,30,Agglomerative,0.041,1,0
5000,30,30,Spectral,0.036,0,0
5000,30,30,Spectral,0.0366,0,0
5000,30,30,Spectral,0.037,0,0
5000,30,30,Spectral,0.0374,0,0
5000,30,30,Spectral,0.0378,0,0
5000,30,30,Spectral,0.0382,0.2,0.2
5000,30,30,Spectral,0.0386,0.7,0.152752523165195
5000,30,30,Spectral,0.039,1,0
5000,30,30,Spectral,0.0394,1,0
5000,30,30,Spectral,0.0398,1,0
5000,30,30,Spectral,0.0402,1,0
5000,30,30,Spectral,0.041,1,0
1000,30,30,Spectral,0.036,0,0
1000,30,30,Spectral,0.0366,0,0
1000,30,30,Spectral,0.037,0,0
1000,30,30,Spectral,0.0374,0.012987012987013,0.012987012987013
1000,30,30,Spectral,0.0378,0.204081632653061,0.0669126380030816
1000,30,30,Spectral,0.0382,0.92,0.0406201920231798
1000,30,30,Spectral,0.0386,1,0
1000,30,30,Spectral,0.039,1,0
1000,30,30,Spectral,0.0394,1,0
1000,30,30,Spectral,0.0398,1,0
1000,30,30,Spectral,0.0402,1,0
1000,30,30,Spectral,0.041,1,0
500,30,30,Spectral,0.036,0,0
500,30,30,Spectral,0.0366,0,0
500,30,30,Spectral,0.037,0,0
500,30,30,Spectral,0.0374,0,0
500,30,30,Spectral,0.0378,0.178571428571429,0.0663265306122449
500,30,30,Spectral,0.0382,0.910000000000001,0.0425944329025017
500,30,30,Spectral,0.0386,1,0
500,30,30,Spectral,0.039,1,0
500,30,30,Spectral,0.0394,1,0
500,30,30,Spectral,0.0398,1,0
500,30,30,Spectral,0.0402,1,0
500,30,30,Spectral,0.041,1,0
250,30,30,Spectral,0.036,0,0
250,30,30,Spectral,0.0366,0,0
250,30,30,Spectral,0.037,0,0
250,30,30,Spectral,0.0374,0.0100250626566416,0.0100250626566416
250,30,30,Spectral,0.0378,0.29040404040404,0.0638755889763718
250,30,30,Spectral,0.0382,0.9475,0.0290166208527852
250,30,30,Spectral,0.0386,1,0
250,30,30,Spectral,0.039,1,0
250,30,30,Spectral,0.0394,1,0
250,30,30,Spectral,0.0398,1,0
250,30,30,Spectral,0.0402,1,0
250,30,30,Spectral,0.041,1,0
100,30,30,Spectral,0.036,0,0
100,30,30,Spectral,0.0366,0,0
100,30,30,Spectral,0.037,0,0
100,30,30,Spectral,0.0374,0.018,0.018
100,30,30,Spectral,0.0378,0.418181818181818,0.0701347690377372
100,30,30,Spectral,0.0382,0.966,0.0204380597345806
100,30,30,Spectral,0.0386,1,0
100,30,30,Spectral,0.039,1,0
100,30,30,Spectral,0.0394,1,0
100,30,30,Spectral,0.0398,1,0
100,30,30,Spectral,0.0402,1,0
100,30,30,Spectral,0.041,1,0
50,30,30,Spectral,0.036,0,0
50,30,30,Spectral,0.0366,0,0
50,30,30,Spectral,0.037,0,0
50,30,30,Spectral,0.0374,0.016,0.016
50,30,30,Spectral,0.0378,0.402525252525252,0.0699891402073536
50,30,30,Spectral,0.0382,0.9695,0.0197692040449641
50,30,30,Spectral,0.0386,1,0
50,30,30,Spectral,0.039,1,0
50,30,30,Spectral,0.0394,1,0
50,30,30,Spectral,0.0398,1,0
50,30,30,Spectral,0.0402,1,0
50,30,30,Spectral,0.041,1,0
5000,30,30,GaussianMixture,0.036,4.85557871617114E-116,4.85557871617115E-116
5000,30,30,GaussianMixture,0.0366,1.38755700431589E-62,1.38755700431566E-62
5000,30,30,GaussianMixture,0.037,3.82759466532463E-29,3.82759466532247E-29
5000,30,30,GaussianMixture,0.0374,4.50915512766315E-10,4.50914838382138E-10
5000,30,30,GaussianMixture,0.0378,0.111111319779445,0.111111008014117
5000,30,30,GaussianMixture,0.0382,0.635476371571877,0.151387601003914
5000,30,30,GaussianMixture,0.0386,0.999743608870006,0.000255962667588012
5000,30,30,GaussianMixture,0.039,1,0
5000,30,30,GaussianMixture,0.0394,1,0
5000,30,30,GaussianMixture,0.0398,1,0
5000,30,30,GaussianMixture,0.0402,1,0
5000,30,30,GaussianMixture,0.041,1,0
1000,30,30,GaussianMixture,0.036,1.22302870788661E-92,1.21995428174943E-92
1000,30,30,GaussianMixture,0.0366,1.29984478046309E-39,1.29984452166758E-39
1000,30,30,GaussianMixture,0.037,9.5700599985159E-18,9.5396818058366E-18
1000,30,30,GaussianMixture,0.0374,0.00090191104769249,0.000901307767343818
1000,30,30,GaussianMixture,0.0378,0.153498197467243,0.0484262768959328
1000,30,30,GaussianMixture,0.0382,0.864196801605974,0.05923155422368
1000,30,30,GaussianMixture,0.0386,0.999997227324893,2.77172594474636E-06
1000,30,30,GaussianMixture,0.039,1,0
1000,30,30,GaussianMixture,0.0394,1,0
1000,30,30,GaussianMixture,0.0398,1,0
1000,30,30,GaussianMixture,0.0402,1,0
1000,30,30,GaussianMixture,0.041,1,0
500,30,30,GaussianMixture,0.036,1.84733432905675E-74,1.8473343290563E-74
500,30,30,GaussianMixture,0.0366,3.41653000964027E-31,3.41653000961104E-31
500,30,30,GaussianMixture,0.037,3.7332317450146E-11,3.73320798463373E-11
500,30,30,GaussianMixture,0.0374,0.00556583054958096,0.00556527751452036
500,30,30,GaussianMixture,0.0378,0.144937417804945,0.0389070074552269
500,30,30,GaussianMixture,0.0382,0.819642933786408,0.0798868150551216
500,30,30,GaussianMixture,0.0386,0.999941309800538,5.41478039039689E-05
500,30,30,GaussianMixture,0.039,1,0
500,30,30,GaussianMixture,0.0394,1,0
500,30,30,GaussianMixture,0.0398,1,0
500,30,30,GaussianMixture,0.0402,1,0
500,30,30,GaussianMixture,0.041,1,0
5000,30,30,MeanShift,0.036,0,0
5000,30,30,MeanShift,0.0366,0,0
5000,30,30,MeanShift,0.037,0,0
5000,30,30,MeanShift,0.0374,0,0
5000,30,30,MeanShift,0.0378,0,0
5000,30,30,MeanShift,0.0382,0.142857142857143,0.142857142857143
5000,30,30,MeanShift,0.0386,0.333333333333333,0.222222222222222
5000,30,30,MeanShift,0.039,1,0
5000,30,30,MeanShift,0.0394,1,0
5000,30,30,MeanShift,0.0398,1,0
5000,30,30,MeanShift,0.0402,1,0
5000,30,30,MeanShift,0.041,1,0
1000,30,30,MeanShift,0.036,0,0
1000,30,30,MeanShift,0.0366,0,0
1000,30,30,MeanShift,0.037,0,0
1000,30,30,MeanShift,0.0374,0,0
1000,30,30,MeanShift,0.0378,0,0
1000,30,30,MeanShift,0.0382,0.032967032967033,0.032967032967033
1000,30,30,MeanShift,0.0386,0.114583333333333,0.0993686668142652
1000,30,30,MeanShift,0.039,0.986301369863014,0.00961889243513279
