stride,feature_set,n_features,model,Delta,chi,chi_err
250,30,30,Agglomerative,0.0378,0.0322175647800136,0.0204588334175719
250,30,30,Agglomerative,0.0382,0.230882230702384,0.0496482412060302
250,30,30,Agglomerative,0.0386,0.00919236574408953,0.00676857453097918
250,30,30,Agglomerative,0.039,0,0
250,30,30,Agglomerative,0.0394,0,0
250,30,30,Agglomerative,0.0398,0,0
250,30,30,Agglomerative,0.0402,0,0
250,30,30,Agglomerative,0.041,0,0
100,30,30,Agglomerative,0.036,0,0
100,30,30,Agglomerative,0.0366,0,0
100,30,30,Agglomerative,0.037,0,0
100,30,30,Agglomerative,0.0374,0,0
100,30,30,Agglomerative,0.0378,0,0
100,30,30,Agglomerative,0.0382,0.0590045733316762,0.0544312416555407
100,30,30,Agglomerative,0.0386,0.235497529989344,0.11128638958574
100,30,30,Agglomerative,0.039,0.00368317186990415,0.00316795976067886
100,30,30,Agglomerative,0.0394,0,0
100,30,30,Agglomerative,0.0398,0,0
100,30,30,Agglomerative,0.0402,0,0
100,30,30,Agglomerative,0.041,0,0
50,30,30,Agglomerative,0.036,0,0
50,30,30,Agglomerative,0.0366,0,0
50,30,30,Agglomerative,0.037,0,0
50,30,30,Agglomerative,0.0374,0,0
50,30,30,Agglomerative,0.0378,0,0
50,30,30,Agglomerative,0.0382,0.0590023036868668,0.0543949299533022
50,30,30,Agglomerative,0.0386,0.225044717716597,0.115167692841726
50,30,30,Agglomerative,0.039,0.00390095965030906,0.00251127092514091
50,30,30,Agglomerative,0.0394,0,0
50,30,30,Agglomerative,0.0398,0,0
50,30,30,Agglomerative,0.0402,0,0
50,30,30,Agglomerative,0.041,0,0
5000,30,30,Spectral,0.036,0,0
5000,30,30,Spectral,0.0366,0,0
5000,30,30,Spectral,0.037,0,0
5000,30,30,Spectral,0.0374,0,0
5000,30,30,Spectral,0.0378,0,0
5000,30,30,Spectral,0.0382,0.202255639097744,0.157142857142857
5000,30,30,Spectral,0.0386,0.205769230769231,0.0798713832972892
5000,30,30,Spectral,0.039,0,0
5000,30,30,Spectral,0.0394,0,0
5000,30,30,Spectral,0.0398,0,0
5000,30,30,Spectral,0.0402,0,0
5000,30,30,Spectral,0.041,0,0
1000,30,30,Spectral,0.036,0,0
1000,30,30,Spectral,0.0366,0,0
1000,30,30,Spectral,0.037,0,0
1000,30,30,Spectral,0.0374,0.0129870129870129,0.012987012987013
1000,30,30,Spectral,0.0378,0.151283314669653,0.0449975068561437
1000,30,30,Spectral,0.0382,0.07526147551464,0.0348737048852153
1000,30,30,Spectral,0.0386,0,0
1000,30,30,Spectral,0.039,0,0
1000,30,30,Spectral,0.0394,0,0
1000,30,30,Spectral,0.0398,0,0
1000,30,30,Spectral,0.0402,0,0
1000,30,30,Spectral,0.041,0,0
500,30,30,Spectral,0.036,0,0
500,30,30,Spectral,0.0366,0,0
500,30,30,Spectral,0.037,0,0
500,30,30,Spectral,0.0374,0,0
500,30,30,Spectral,0.0378,0.151107861479681,0.0450423308742336
500,30,30,Spectral,0.0382,0.083722347369029,0.0358090253899634
500,30,30,Spectral,0.0386,0,0
500,30,30,Spectral,0.039,0,0
500,30,30,Spectral,0.0394,0,0
500,30,30,Spectral,0.0398,0,0
500,30,30,Spectral,0.0402,0,0
500,30,30,Spectral,0.041,0,0
250,30,30,Spectral,0.036,0,0
250,30,30,Spectral,0.0366,0,0
250,30,30,Spectral,0.037,0,0
250,30,30,Spectral,0.0374,0.0100253478105998,0.0099115713812834
250,30,30,Spectral,0.0378,0.210159164523368,0.0278683320970721
250,30,30,Spectral,0.0382,0.0505877695671845,0.0263735008449868
250,30,30,Spectral,0.0386,0,0
250,30,30,Spectral,0.039,0,0
250,30,30,Spectral,0.0394,0,0
250,30,30,Spectral,0.0398,0,0
250,30,30,Spectral,0.0402,0,0
250,30,30,Spectral,0.041,0,0
100,30,30,Spectral,0.036,0,0
100,30,30,Spectral,0.0366,0,0
100,30,30,Spectral,0.037,0,0
100,30,30,Spectral,0.0374,0.0180006138402932,0.0173867735470942
100,30,30,Spectral,0.0378,0.246987583857685,0.01208932218409
