stride,feature_set,n_features,model,Delta_crit,Delta_crit_err,Delta_close,N_Delta,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_delta_crit,runtime_total
250,12,12,MeanShift,0.0387491478196257,5.3152131150888E-05,0.0386,12,25.915,0.462,0.944,0.0086,0.008,0.00023,27.338
100,12,12,MeanShift,0.0387596927696022,4.51750266147546E-05,0.0386,12,104.085,0.526,1.067,0.0085,0.0083,0.00022,105.695
50,12,12,MeanShift,0.0387560927421978,5.0169600105726E-05,0.0386,12,292.961,0.546,1.118,0.0083,0.0079,0.00023,294.642
5000,12,12,Birch,0.0381034482758621,9.39171742124435E-05,0.0382,12,0.247,0.034,0.062,0.0082,0.0078,0.00022,0.358
1000,12,12,Birch,0.03868,0.000138666666666667,0.0386,12,0.209,0.404,0.799,0.0079,0.0075,0.00022,1.428
500,12,12,Birch,0.038080767430978,5.84504476511053E-05,0.0382,12,0.413,0.434,0.925,0.008,0.0077,0.00022,1.788
250,12,12,Birch,0.0379905495814214,2.73057335524688E-05,0.0378,12,0.952,0.465,1.008,0.0083,0.0081,0.00022,2.441
100,12,12,Birch,0.0381550437987435,0.000121611327498933,0.0382,12,4.835,0.517,1.089,0.0086,0.0078,0.00023,6.458
50,12,12,Birch,0.0387725828322064,3.73089279000537E-05,0.0386,12,20.841,0.521,1.059,0.0082,0.0077,0.00021,22.436
5000,12,12,BayesianGMM,0.0384501061465139,0.00017603878344052,0.0386,12,1.728,0.295,0.07,0.0773,0.008,0.02133,2.2
1000,12,12,BayesianGMM,0.0384816988196537,0.000177542624819544,0.0386,12,4.052,0.542,0.916,0.01,0.008,0.00023,5.528
500,12,12,BayesianGMM,0.0381758398025193,0.000142990802297976,0.0382,12,4.667,0.574,1.093,0.0089,0.0085,0.00023,6.352
