feature_set,n_features,model,calibration,Delta,chi,chi_err
30,30,Decision Tree,uncalibrated,0.0366,0,0
30,30,Decision Tree,uncalibrated,0.037,0,0
30,30,Decision Tree,uncalibrated,0.0374,0.00118000002761283,0.0011772387447749
30,30,Decision Tree,uncalibrated,0.0378,0.0980778881812658,0.026095040765065
30,30,Decision Tree,uncalibrated,0.0382,0.162922400142888,0.0451682265645313
30,30,Decision Tree,uncalibrated,0.0386,0.00372071725432211,0.00230645702437562
30,30,Decision Tree,uncalibrated,0.039,0,0
30,30,Decision Tree,uncalibrated,0.0394,0,0
30,30,Decision Tree,uncalibrated,0.0398,0,0
30,30,Decision Tree,uncalibrated,0.0402,0,0
30,30,Decision Tree,uncalibrated,0.041,0,0
30,30,Random Forest,calibrated,0.036,-1.88815482086756E-37,1.81539552609516E-53
30,30,Random Forest,calibrated,0.0366,1.69534536073055E-08,8.54716610068484E-09
30,30,Random Forest,calibrated,0.037,4.6170101651201E-07,1.3409678858973E-07
30,30,Random Forest,calibrated,0.0374,0.000455994267354754,0.000449907675996958
30,30,Random Forest,calibrated,0.0378,0.106234007438226,0.0275712964923428
30,30,Random Forest,calibrated,0.0382,0.0964407915895854,0.0350221500483604
30,30,Random Forest,calibrated,0.0386,0.000214839422731522,8.37236333177207E-05
30,30,Random Forest,calibrated,0.039,1.83045731590879E-07,1.01937664549051E-07
30,30,Random Forest,calibrated,0.0394,6.27815769086843E-10,5.98505158778521E-10
30,30,Random Forest,calibrated,0.0398,-5.01671585261726E-30,1.56363635781292E-46
30,30,Random Forest,calibrated,0.0402,-4.68391418803321E-30,1.06704437089614E-46
30,30,Random Forest,calibrated,0.041,-9.65129640057111E-30,4.33504595383288E-46
30,30,Random Forest,uncalibrated,0.036,0,0
30,30,Random Forest,uncalibrated,0.0366,0.000198511942318956,8.18905225449793E-05
30,30,Random Forest,uncalibrated,0.037,0.00236068993796594,0.000123833824053998
30,30,Random Forest,uncalibrated,0.0374,0.00205895225149042,0.000751181614592292
30,30,Random Forest,uncalibrated,0.0378,0.0335885798338436,0.00755864092611796
30,30,Random Forest,uncalibrated,0.0382,0.0305319570186796,0.00981524941804535
30,30,Random Forest,uncalibrated,0.0386,0.00815865608811543,0.00311625324718058
30,30,Random Forest,uncalibrated,0.039,0.00127359867553293,0.000658909708760433
30,30,Random Forest,uncalibrated,0.0394,1.14262607295451E-05,1.06044876161083E-05
30,30,Random Forest,uncalibrated,0.0398,0,0
30,30,Random Forest,uncalibrated,0.0402,0,0
30,30,Random Forest,uncalibrated,0.041,0,0
30,30,Gradient Boosted Trees,calibrated,0.036,-3.31345468875246E-37,2.48989749328198E-53
30,30,Gradient Boosted Trees,calibrated,0.0366,2.98598103316775E-08,1.16597327784963E-08
30,30,Gradient Boosted Trees,calibrated,0.037,4.77538160491045E-07,6.45922451636117E-08
30,30,Gradient Boosted Trees,calibrated,0.0374,0.00030503411935067,0.000301511872787139
30,30,Gradient Boosted Trees,calibrated,0.0378,0.0783877032091672,0.0229440300617614
30,30,Gradient Boosted Trees,calibrated,0.0382,0.105778545101625,0.0330248626158597
30,30,Gradient Boosted Trees,calibrated,0.0386,0.00077314040064295,0.000396485682881013
30,30,Gradient Boosted Trees,calibrated,0.039,4.39374108039078E-07,2.31301691962907E-07
30,30,Gradient Boosted Trees,calibrated,0.0394,2.00684000768006E-09,1.90588899838869E-09
30,30,Gradient Boosted Trees,calibrated,0.0398,-5.91652369696616E-31,7.58475042743383E-47
30,30,Gradient Boosted Trees,calibrated,0.0402,-1.98450080374718E-30,1.60896853825381E-46
30,30,Gradient Boosted Trees,calibrated,0.041,-1.24493170544724E-30,2.00673633874808E-46
30,30,Gradient Boosted Trees,uncalibrated,0.036,-1.19387244929638E-39,1.20638193255299E-55
30,30,Gradient Boosted Trees,uncalibrated,0.0366,1.01311749001918E-09,4.04225292267666E-10
30,30,Gradient Boosted Trees,uncalibrated,0.037,2.17390563405533E-08,6.0844594021207E-09
30,30,Gradient Boosted Trees,uncalibrated,0.0374,0.000294830310608059,0.000294143452038433
30,30,Gradient Boosted Trees,uncalibrated,0.0378,0.0810932513737327,0.0244620449399605
30,30,Gradient Boosted Trees,uncalibrated,0.0382,0.119516545137367,0.03579051349509
30,30,Gradient Boosted Trees,uncalibrated,0.0386,0.000775438674673052,0.000526476388593875
30,30,Gradient Boosted Trees,uncalibrated,0.039,3.97232522997432E-08,2.21787165845438E-08
30,30,Gradient Boosted Trees,uncalibrated,0.0394,1.00251337823542E-10,9.71297510976267E-11
30,30,Gradient Boosted Trees,uncalibrated,0.0398,1.97215226283452E-31,7.327565064651E-46
30,30,Gradient Boosted Trees,uncalibrated,0.0402,-4.75787139641978E-30,5.80121856528245E-46
30,30,Gradient Boosted Trees,uncalibrated,0.041,-1.46803255202109E-29,1.13771256411508E-45
30,30,kNN kd_tree,calibrated,0.036,-1.88815482086756E-37,1.81539552609516E-53
30,30,kNN kd_tree,calibrated,0.0366,-3.35019307153942E-37,3.75531130402088E-53
30,30,kNN kd_tree,calibrated,0.037,2.93873587675071E-39,9.59019981773978E-54
30,30,kNN kd_tree,calibrated,0.0374,0.000347368821539778,0.000347174153949503
30,30,kNN kd_tree,calibrated,0.0378,0.118563548781597,0.0327436699221482
30,30,kNN kd_tree,calibrated,0.0382,0.119155797701538,0.0411021239236036
30,30,kNN kd_tree,calibrated,0.0386,0.000188617469454863,0.000160120765516768
30,30,kNN kd_tree,calibrated,0.039,-2.53915794403373E-30,2.72813888972601E-46
30,30,kNN kd_tree,calibrated,0.0394,-1.87356462734411E-30,1.34971623059732E-46
30,30,kNN kd_tree,calibrated,0.0398,-5.01671585261726E-30,1.56363635781292E-46
30,30,kNN kd_tree,calibrated,0.0402,-4.68391418803321E-30,1.06704437089614E-46
30,30,kNN kd_tree,calibrated,0.041,-9.65129640057111E-30,4.33504595383288E-46
30,30,kNN kd_tree,uncalibrated,0.036,0,0
30,30,kNN kd_tree,uncalibrated,0.0366,0,0
30,30,kNN kd_tree,uncalibrated,0.037,0,0
30,30,kNN kd_tree,uncalibrated,0.0374,0.00033080331003707,0.000330602913019305
30,30,kNN kd_tree,uncalibrated,0.0378,0.116854105267088,0.0324054654607705
30,30,kNN kd_tree,uncalibrated,0.0382,0.117232873761508,0.040659575532015
30,30,kNN kd_tree,uncalibrated,0.0386,0.000168027169198773,0.000139946367051853
30,30,kNN kd_tree,uncalibrated,0.039,0,0
30,30,kNN kd_tree,uncalibrated,0.0394,0,0
30,30,kNN kd_tree,uncalibrated,0.0398,0,0
30,30,kNN kd_tree,uncalibrated,0.0402,0,0
30,30,kNN kd_tree,uncalibrated,0.041,0,0
30,30,kNN,calibrated,0.036,-1.88815482086756E-37,1.81539552609516E-53
30,30,kNN,calibrated,0.0366,-3.35019307153942E-37,3.75531130402088E-53
30,30,kNN,calibrated,0.037,2.93873587675071E-39,9.59019981773978E-54
30,30,kNN,calibrated,0.0374,0.000347368821539778,0.000347174153949503
30,30,kNN,calibrated,0.0378,0.118563548781597,0.0327436699221482
30,30,kNN,calibrated,0.0382,0.119155797701538,0.0411021239236036
30,30,kNN,calibrated,0.0386,0.000188617469454863,0.000160120765516768
30,30,kNN,calibrated,0.039,-2.53915794403373E-30,2.72813888972601E-46
30,30,kNN,calibrated,0.0394,-1.87356462734411E-30,1.34971623059732E-46
30,30,kNN,calibrated,0.0398,-5.01671585261726E-30,1.56363635781292E-46
30,30,kNN,calibrated,0.0402,-4.68391418803321E-30,1.06704437089614E-46
30,30,kNN,calibrated,0.041,-9.65129640057111E-30,4.33504595383288E-46
30,30,kNN,uncalibrated,0.036,0,0
30,30,kNN,uncalibrated,0.0366,0,0
30,30,kNN,uncalibrated,0.037,0,0
30,30,kNN,uncalibrated,0.0374,0.00033080331003707,0.000330602913019305
30,30,kNN,uncalibrated,0.0378,0.116854105267088,0.0324054654607705
30,30,kNN,uncalibrated,0.0382,0.117232873761508,0.040659575532015
30,30,kNN,uncalibrated,0.0386,0.000168027169198773,0.000139946367051853
30,30,kNN,uncalibrated,0.039,0,0
30,30,kNN,uncalibrated,0.0394,0,0
30,30,kNN,uncalibrated,0.0398,0,0
30,30,kNN,uncalibrated,0.0402,0,0
30,30,kNN,uncalibrated,0.041,0,0
30,30,kNN ball_tree,calibrated,0.036,-1.88815482086756E-37,1.81539552609516E-53
30,30,kNN ball_tree,calibrated,0.0366,-3.35019307153942E-37,3.75531130402088E-53
30,30,kNN ball_tree,calibrated,0.037,2.93873587675071E-39,9.59019981773978E-54
30,30,kNN ball_tree,calibrated,0.0374,0.000347368821539778,0.000347174153949503
30,30,kNN ball_tree,calibrated,0.0378,0.118563548781597,0.0327436699221482
30,30,kNN ball_tree,calibrated,0.0382,0.119155797701538,0.0411021239236036
30,30,kNN ball_tree,calibrated,0.0386,0.000188617469454863,0.000160120765516768
30,30,kNN ball_tree,calibrated,0.039,-2.53915794403373E-30,2.72813888972601E-46
30,30,kNN ball_tree,calibrated,0.0394,-1.87356462734411E-30,1.34971623059732E-46
30,30,kNN ball_tree,calibrated,0.0398,-5.01671585261726E-30,1.56363635781292E-46
30,30,kNN ball_tree,calibrated,0.0402,-4.68391418803321E-30,1.06704437089614E-46
30,30,kNN ball_tree,calibrated,0.041,-9.65129640057111E-30,4.33504595383288E-46
30,30,kNN ball_tree,uncalibrated,0.036,0,0
30,30,kNN ball_tree,uncalibrated,0.0366,0,0
30,30,kNN ball_tree,uncalibrated,0.037,0,0
30,30,kNN ball_tree,uncalibrated,0.0374,0.00033080331003707,0.000330602913019305
30,30,kNN ball_tree,uncalibrated,0.0378,0.116854105267088,0.0324054654607705
30,30,kNN ball_tree,uncalibrated,0.0382,0.117232873761508,0.040659575532015
30,30,kNN ball_tree,uncalibrated,0.0386,0.000168027169198773,0.000139946367051853
30,30,kNN ball_tree,uncalibrated,0.039,0,0
30,30,kNN ball_tree,uncalibrated,0.0394,0,0
30,30,kNN ball_tree,uncalibrated,0.0398,0,0
30,30,kNN ball_tree,uncalibrated,0.0402,0,0
30,30,kNN ball_tree,uncalibrated,0.041,0,0
30,30,SVM (RBF),calibrated,0.036,7.75404488021378E-09,1.13764802675906E-09
30,30,SVM (RBF),calibrated,0.0366,1.04118465323239E-06,3.81150714527174E-07
30,30,SVM (RBF),calibrated,0.037,0.000241291181901937,0.000170674199081021
30,30,SVM (RBF),calibrated,0.0374,0.011662274097361,0.00526198712626563
30,30,SVM (RBF),calibrated,0.0378,0.0518271510970139,0.00934608420837315
30,30,SVM (RBF),calibrated,0.0382,0.0315488739181975,0.00969113200599167
30,30,SVM (RBF),calibrated,0.0386,0.00126237675853278,0.000497942550396781
30,30,SVM (RBF),calibrated,0.039,1.50829971604867E-06,4.25809712723567E-07
30,30,SVM (RBF),calibrated,0.0394,6.46680513886904E-08,2.63487151169471E-08
30,30,SVM (RBF),calibrated,0.0398,9.17293052804133E-09,3.40434072818948E-09
30,30,SVM (RBF),calibrated,0.0402,9.7989542097105E-09,2.67557116593697E-09
30,30,SVM (RBF),calibrated,0.041,2.38343971599371E-09,7.78182522800285E-11
30,30,SVM (RBF),uncalibrated,0.036,6.29283186377026E-05,4.91422909504614E-06
30,30,SVM (RBF),uncalibrated,0.0366,0.000432388062119563,5.53015685638203E-05
30,30,SVM (RBF),uncalibrated,0.037,0.00108427723867231,0.000209393815039412
30,30,SVM (RBF),uncalibrated,0.0374,0.00172235560105095,0.000340463076235301
30,30,SVM (RBF),uncalibrated,0.0378,0.00175865120361349,0.000502224347492137
30,30,SVM (RBF),uncalibrated,0.0382,0.00312080734584753,0.00089644146268071
30,30,SVM (RBF),uncalibrated,0.0386,0.00165687388253938,0.000416204211783704
30,30,SVM (RBF),uncalibrated,0.039,0.000696587258338232,0.000164695733304106
30,30,SVM (RBF),uncalibrated,0.0394,0.000138318246669844,2.74155172155024E-05
30,30,SVM (RBF),uncalibrated,0.0398,6.62707799210921E-05,1.40263719746436E-05
30,30,SVM (RBF),uncalibrated,0.0402,7.52097900991458E-05,1.24443277676778E-05
30,30,SVM (RBF),uncalibrated,0.041,3.9601552219417E-05,9.58095360870237E-07
30,30,Neural Network,calibrated,0.036,-1.88815482086756E-37,1.81539552609516E-53
30,30,Neural Network,calibrated,0.0366,-3.35019307153942E-37,3.75531130402088E-53
30,30,Neural Network,calibrated,0.037,0.00271357781354685,0.00169434274724634
30,30,Neural Network,calibrated,0.0374,0.0227506481490817,0.00358739110578859
30,30,Neural Network,calibrated,0.0378,0.023099952208618,0.00558758483491042
30,30,Neural Network,calibrated,0.0382,0.0265978539576541,0.00751731366850438
