feature_set,n_features,model,algorithm,n_neighbors,calibration,train_acc,Delta_crit,Delta_crit_err,Delta_close,N_Delta,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_delta_crit,runtime_total
20,20,KNN,kd_tree,47,uncalibrated,1,0.0380398277643302,3.39141545564961E-05,0.0382,12,0.768,0.53,1.119,0.0084,0.0082,0.00016,2.433
20,20,KNN,kd_tree,49,uncalibrated,1,0.0380395791775811,3.38082094594467E-05,0.0382,12,0.883,0.484,1.057,0.0083,0.0078,0.00018,2.441
20,20,KNN,kd_tree,51,uncalibrated,1,0.0380393060125636,3.37091165930631E-05,0.0382,12,0.7,0.523,1.126,0.0086,0.0087,0.00015,2.366
20,20,KNN,kd_tree,61,uncalibrated,1,0.0380381362776007,3.34023625001271E-05,0.0382,12,0.925,0.519,1.124,0.0086,0.0082,0.00016,2.585
20,20,KNN,kd_tree,81,uncalibrated,1,0.0380362636172286,3.2899171215045E-05,0.0382,12,0.89,0.488,1.062,0.0082,0.008,0.00015,2.457
20,20,KNN,kd_tree,101,uncalibrated,1,0.0380346674600635,3.24505849433615E-05,0.0382,12,1.066,0.524,1.145,0.0091,0.0088,0.00014,2.754
20,20,KNN,kd_tree,151,uncalibrated,1,0.0380319268677569,3.17347320492473E-05,0.0382,12,1.294,0.54,1.069,0.009,0.0087,0.00027,2.922
20,20,KNN,kd_tree,201,uncalibrated,1,0.0380302468999312,3.1401818181852E-05,0.0382,12,1.408,0.525,1.142,0.0087,0.0083,0.00015,3.092
20,20,KNN,ball_tree,1,uncalibrated,1,0.0380555850885357,3.98152800452091E-05,0.0382,12,0.767,0.526,1.127,0.0085,0.0082,0.00016,2.437
20,20,KNN,ball_tree,3,uncalibrated,1,0.0380523225140498,3.77936640794801E-05,0.0382,12,0.584,0.521,1.122,0.0087,0.0083,0.00015,2.243
20,20,KNN,ball_tree,5,uncalibrated,1,0.0380520203186331,3.77006540742355E-05,0.0382,12,0.815,0.529,1.128,0.0084,0.0083,0.00017,2.489
20,20,KNN,ball_tree,7,uncalibrated,1,0.0380510640332839,3.76228877256358E-05,0.0382,12,0.938,0.522,1.129,0.0087,0.0084,0.00015,2.607
20,20,KNN,ball_tree,9,uncalibrated,1,0.0380503985360528,3.75380988832981E-05,0.0382,12,1.166,0.493,1.074,0.0086,0.0079,0.00015,2.749
20,20,KNN,ball_tree,11,uncalibrated,1,0.0380498284554872,3.7283230616531E-05,0.0382,12,0.628,0.529,1.126,0.0086,0.0083,0.00016,2.3
20,20,KNN,ball_tree,13,uncalibrated,1,0.0380489864069688,3.69056491043775E-05,0.0382,12,1.336,0.525,1.152,0.0088,0.0086,0.00015,3.031
20,20,KNN,ball_tree,15,uncalibrated,1,0.0380478302908911,3.63339612472007E-05,0.0382,12,1.244,0.484,1.049,0.0079,0.0078,0.00015,2.793
20,20,KNN,ball_tree,17,uncalibrated,1,0.0380469806323075,3.60943809274186E-05,0.0382,12,1.193,0.495,1.068,0.0084,0.0083,0.0002,2.773
20,20,KNN,ball_tree,19,uncalibrated,1,0.0380461768524282,3.575261106295E-05,0.0382,12,1.296,0.55,1.128,0.0086,0.0083,0.00016,2.991
