feature_set,n_features,model,calibration,train_acc,Delta_crit,Delta_crit_err,Delta_close,N_Delta,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_delta_crit,runtime_total
20,20,kNN ball_tree,calibrated,1,0.0380490078646906,3.64599566802287E-05,0.0382,12,165.372,3.634,10.321,0.009,0.0086,0.00024,179.345
20,20,kNN ball_tree,uncalibrated,1,0.0380493562866334,3.65843809338212E-05,0.0382,12,42.939,3.955,9.069,0.0101,0.0088,0.00029,55.982
20,20,SVM (RBF),calibrated,1,0.0379375666732625,3.6723514153631E-05,0.0378,12,8.349,4.229,12.294,0.0091,0.0087,0.00016,24.89
20,20,SVM (RBF),uncalibrated,1,0.0379666179965535,5.44970346777759E-05,0.0378,12,1.663,4.134,11.462,0.0095,0.0095,0.00016,17.279
20,20,Neural Network,calibrated,1,0.0381530800852953,0.000100872123770263,0.0382,12,10.429,3.963,11.413,0.0084,0.0083,0.00032,25.821
20,20,Neural Network,uncalibrated,1,0.0372447072290085,6.18750305602643E-05,0.0374,12,2.287,3.937,10.115,0.0084,0.0082,0.00015,16.355
12,12,Logistic Regression,calibrated,1,0.0379363536840316,3.68854065839189E-05,0.0378,12,3.189,4.106,11.723,0.0097,0.0092,0.00028,19.037
12,12,Logistic Regression,uncalibrated,1,0.037916213318502,3.29229682240185E-05,0.0378,12,0.463,4.1,11.584,0.0087,0.0083,0.00017,16.164
12,12,Logistic Regression C = 0.00175,calibrated,1,0.0379364708283086,3.68886993240438E-05,0.0378,12,3.124,4.031,11.554,0.0092,0.009,0.00026,18.727
12,12,Logistic Regression C = 0.00175,uncalibrated,1,0.0379171621582655,3.28229606845678E-05,0.0378,12,0.661,3.901,11.202,0.0088,0.0086,0.00023,15.782
12,12,Decision Tree,calibrated,1,0.0379811549765979,2.79683919804396E-05,0.0378,12,0.466,3.646,10.353,0.008,0.0077,0.00026,14.481
12,12,Decision Tree,uncalibrated,1,0.0379816588227349,2.7955982991172E-05,0.0378,12,0.061,3.65,8.808,0.0089,0.0086,0.00019,12.536
12,12,Random Forest,calibrated,1,0.0379803855384576,2.81090480564786E-05,0.0378,12,16.67,3.61,10.327,0.0086,0.0081,0.00015,30.624
12,12,Random Forest,uncalibrated,1,0.0379533480349528,2.88116038206794E-05,0.0378,12,3.673,3.631,10.348,0.0094,0.0077,0.00014,17.67
12,12,Gradient Boosted Trees,calibrated,1,0.0379617181387234,2.83444978939133E-05,0.0378,12,19.135,3.611,10.357,0.0091,0.0084,0.00013,33.12
12,12,Gradient Boosted Trees,uncalibrated,1,0.0379690306248009,2.81393656675832E-05,0.0378,12,4.507,3.601,10.243,0.0089,0.009,0.00015,18.37
12,12,kNN,calibrated,1,0.0379911085516005,2.76556681109504E-05,0.0378,12,30.444,4.046,11.565,0.0085,0.0084,0.00016,46.072
12,12,kNN,uncalibrated,1,0.0379905631937495,2.76760388555504E-05,0.0378,12,7.737,3.712,8.858,0.0081,0.0079,0.00029,20.323
12,12,kNN kd_tree,calibrated,1,0.0379911085516005,2.76556681109504E-05,0.0378,12,30.616,3.826,10.849,0.0095,0.0088,0.00014,45.309
12,12,kNN kd_tree,uncalibrated,1,0.0379905631937495,2.76760388555504E-05,0.0378,12,8.264,4.134,9.99,0.0084,0.0082,0.00016,22.405
12,12,kNN ball_tree,calibrated,1,0.0379911085516005,2.76556681109504E-05,0.0378,12,100.301,3.647,10.36,0.0091,0.0075,0.00014,114.324
12,12,kNN ball_tree,uncalibrated,1,0.0379905631937495,2.76760388555504E-05,0.0378,12,24.086,3.693,8.91,0.0092,0.0087,0.00024,36.708
12,12,SVM (RBF),calibrated,1,0.0379119123997207,3.57104138102178E-05,0.0378,12,4.479,3.995,11.661,0.0091,0.009,0.0002,20.153
12,12,SVM (RBF),uncalibrated,1,0.0379390367448429,4.97146346475366E-05,0.0378,12,0.836,3.997,11.782,0.0095,0.0087,0.00017,16.634
12,12,Neural Network,calibrated,1,0.0381455224365012,7.89049426398027E-05,0.0382,12,9.455,3.721,10.501,0.0093,0.0087,0.00024,23.695
12,12,Neural Network,uncalibrated,1,0.0385543891412459,0.000215150394733014,0.0386,12,2.1,3.741,7.868,0.0089,0.0086,0.00024,13.726
