stride,feature_set,n_features,model,K0,chi,chi_err
50,30,30,KMeans,4.9,0,0
50,30,30,KMeans,4.93,0,0
10,30,30,KMeans,4.67,0,0
10,30,30,KMeans,4.7,0,0
10,30,30,KMeans,4.72,0,0
10,30,30,KMeans,4.73,0.000345840631671501,0.000243239910648736
10,30,30,KMeans,4.74,0.00210176351813929,0.000767024558642994
10,30,30,KMeans,4.75,0.0171369690048035,0.00242455398779304
10,30,30,KMeans,4.76,0.0696319798601361,0.00545013746965288
10,30,30,KMeans,4.77,0.184973830529377,0.00876476936952744
10,30,30,KMeans,4.78,0.250172599058015,0.000115258656976509
10,30,30,KMeans,4.79,0.178933985418462,0.00590056809250437
10,30,30,KMeans,4.81,0.0231292010730774,0.00266912674392223
10,30,30,KMeans,4.82,0.00393475615471545,0.000999351018574301
10,30,30,KMeans,4.83,0.000524462353834557,0.000280221279963623
10,30,30,KMeans,4.84,0.000117647058823531,0.000117647058823529
10,30,30,KMeans,4.85,0,0
10,30,30,KMeans,4.86,0,0
10,30,30,KMeans,4.87,0,0
10,30,30,KMeans,4.88,0,0
10,30,30,KMeans,4.9,0,0
10,30,30,KMeans,4.93,0,0
1,30,30,KMeans,4.67,0,0
1,30,30,KMeans,4.7,0,0
1,30,30,KMeans,4.72,0,0
1,30,30,KMeans,4.73,0.000255570256887892,0.000183366143222408
1,30,30,KMeans,4.74,0.00239085060154754,0.000576986934480217
1,30,30,KMeans,4.75,0.0156338127077296,0.00243357367561359
1,30,30,KMeans,4.76,0.0701895058467692,0.00649260321592792
1,30,30,KMeans,4.77,0.181619197916392,0.00873075037627779
1,30,30,KMeans,4.78,0.250167896600031,0.00023640705754253
1,30,30,KMeans,4.79,0.18440394204128,0.00505411118052931
1,30,30,KMeans,4.81,0.0250792980997558,0.00334504029808756
1,30,30,KMeans,4.82,0.00396049738262941,0.00123958544055031
1,30,30,KMeans,4.83,0.00030144269236074,0.000144118598823148
1,30,30,KMeans,4.84,0.000139658303102269,0.000139622543710988
1,30,30,KMeans,4.85,0,0
1,30,30,KMeans,4.86,0,0
1,30,30,KMeans,4.87,0,0
1,30,30,KMeans,4.88,0,0
1,30,30,KMeans,4.9,0,0
1,30,30,KMeans,4.93,0,0
5000,30,30,Agglomerative,4.67,0,0
5000,30,30,Agglomerative,4.7,0,0
5000,30,30,Agglomerative,4.72,0,0
5000,30,30,Agglomerative,4.73,0,0
5000,30,30,Agglomerative,4.74,0,0
5000,30,30,Agglomerative,4.75,0.125,0.125
5000,30,30,Agglomerative,4.76,0,0
5000,30,30,Agglomerative,4.77,0.125,0.125
5000,30,30,Agglomerative,4.78,0.0769230769230776,0.0769230769230769
5000,30,30,Agglomerative,4.79,0.266835016835017,0.033384734032074
5000,30,30,Agglomerative,4.81,0.194444444444444,0.104990131391452
5000,30,30,Agglomerative,4.82,0,0
5000,30,30,Agglomerative,4.83,0,0
5000,30,30,Agglomerative,4.84,0.111111111111111,0.111111111111111
5000,30,30,Agglomerative,4.85,0,0
5000,30,30,Agglomerative,4.86,0.125757575757576,0.113636363636364
5000,30,30,Agglomerative,4.87,0.111111111111111,0.111111111111111
5000,30,30,Agglomerative,4.88,0,0
5000,30,30,Agglomerative,4.9,0,0
5000,30,30,Agglomerative,4.93,0,0
1000,30,30,Agglomerative,4.67,0,0
1000,30,30,Agglomerative,4.7,0,0
1000,30,30,Agglomerative,4.72,0,0
1000,30,30,Agglomerative,4.73,0,0
1000,30,30,Agglomerative,4.74,0.0604838709677424,0.0405771533790147
1000,30,30,Agglomerative,4.75,0.15340909090909,0.0461876832844575
1000,30,30,Agglomerative,4.76,0.140767477203647,0.0718085106382979
1000,30,30,Agglomerative,4.77,0.16768968456948,0.0482705159296494
1000,30,30,Agglomerative,4.78,0.238975817923186,0.022028386067277
1000,30,30,Agglomerative,4.79,0.250355618776671,0.0135280631746678
1000,30,30,Agglomerative,4.81,0.160968499167045,0.0420939229311169
1000,30,30,Agglomerative,4.82,0.052552552552552,0.0355338235207522
1000,30,30,Agglomerative,4.83,0.0658843053579896,0.0586770981507824
1000,30,30,Agglomerative,4.84,0.0845665961945044,0.0375773627665256
1000,30,30,Agglomerative,4.85,0.0163934426229508,0.0163934426229508
1000,30,30,Agglomerative,4.86,0.0454042081949062,0.0309096847523824
1000,30,30,Agglomerative,4.87,0.0416281221091585,0.0284380898966904
1000,30,30,Agglomerative,4.88,0.0333503575076609,0.0318181818181818
1000,30,30,Agglomerative,4.9,0.0217391304347818,0.0217391304347826
1000,30,30,Agglomerative,4.93,0,0
500,30,30,Agglomerative,4.67,0,0
500,30,30,Agglomerative,4.7,0,0
500,30,30,Agglomerative,4.72,0.0344611528822051,0.023694123812451
500,30,30,Agglomerative,4.73,0.0433440018966334,0.0245834912320346
500,30,30,Agglomerative,4.74,0.0460829493087536,0.0252723064419069
500,30,30,Agglomerative,4.75,0.138433899757717,0.0321148778607901
500,30,30,Agglomerative,4.76,0.147497805092181,0.031048960397717
500,30,30,Agglomerative,4.77,0.232919254658383,0.0169658162413289
500,30,30,Agglomerative,4.78,0.252436506393341,0.0049601754243581
500,30,30,Agglomerative,4.79,0.232105263157895,0.0164295874822192
500,30,30,Agglomerative,4.81,0.172967308294587,0.0287849107338228
500,30,30,Agglomerative,4.82,0.0518326545723791,0.0242603635699466
500,30,30,Agglomerative,4.83,0.0256322624743691,0.0177586400637568
500,30,30,Agglomerative,4.84,0.0342117263061896,0.0218878248974008
500,30,30,Agglomerative,4.85,0.0232492997198877,0.0161399580567536
500,30,30,Agglomerative,4.86,0,0
500,30,30,Agglomerative,4.87,0.0121218901930471,0.0120100083402836
500,30,30,Agglomerative,4.88,0,0
500,30,30,Agglomerative,4.9,0,0
500,30,30,Agglomerative,4.93,0,0
250,30,30,Agglomerative,4.67,0,0
250,30,30,Agglomerative,4.7,0,0
250,30,30,Agglomerative,4.72,0.0130701715397875,0.00911775051023993
250,30,30,Agglomerative,4.73,0.0430124997292086,0.0175307736205441
250,30,30,Agglomerative,4.74,0.0648568558038485,0.0172386216157829
250,30,30,Agglomerative,4.75,0.159003593050695,0.0376233250351372
250,30,30,Agglomerative,4.76,0.197840865256967,0.0168644421695076
