stride,feature_set,n_features,model,K0_crit,K0_crit_err,K0_close,N_K0,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_k0_crit,runtime_total
1000,20,20,Agglomerative,4.80616161616162,0.0122888806236759,4.93,20,0.131,0.686,1.878,0.0225,0.0218,0.00037,2.74
500,20,20,Agglomerative,4.78444162436548,0.00539458680832617,4.86,20,0.324,1.137,3.185,0.0221,0.0215,0.00038,4.69
250,20,20,Agglomerative,,,,20,1.173,1.197,3.349,0.0223,0.0217,0.00021,5.764
100,20,20,Agglomerative,,,,20,7.811,1.321,3.636,0.0223,0.0217,0.00019,12.813
50,20,20,Agglomerative,,,,20,23.503,0.813,2.271,0.0129,0.0127,0.00011,26.613
5000,20,20,Spectral,4.77,0.00599999999999987,4.77,20,0.172,0.03,0.066,0.0143,0.0138,0.00023,0.297
1000,20,20,Spectral,4.6839405204461,0.0114522725415776,4.88,20,0.3,0.459,1.225,0.0145,0.0138,0.00025,2.013
500,20,20,Spectral,4.81832797427653,0.00383881005946341,4.87,20,0.91,0.761,2.099,0.0144,0.014,0.00025,3.799
250,20,20,Spectral,,,,20,3.672,0.795,2.173,0.0144,0.0136,0.00013,6.668
100,20,20,Spectral,4.86589570255915,0.00500623754084875,4.9,20,39.054,0.852,2.331,0.0143,0.0136,0.00025,42.265
50,20,20,Spectral,,,,20,369.789,0.914,2.487,0.0144,0.0139,0.00012,373.218
5000,20,20,GaussianMixture,4.80280526750705,0.00830791998781179,4.82,20,0.196,0.033,0.059,0.0136,0.0131,0.00023,0.314
1000,20,20,GaussianMixture,4.81198645495312,0.00348667379042679,4.81,20,0.315,0.414,1.067,0.0132,0.0127,0.00022,1.821
500,20,20,GaussianMixture,4.80922030250555,0.00345028340888137,4.81,20,0.38,0.687,1.85,0.0133,0.0128,0.00022,2.943
5000,20,20,MeanShift,,,,20,0.771,0.053,0.031,0.014,0.0136,0.00012,0.883
1000,20,20,MeanShift,,,,20,4.953,0.424,0.464,0.0136,0.0128,0.00012,5.867
500,20,20,MeanShift,,,,20,18.888,1.211,1.412,0.0228,0.0221,0.00019,21.557
5000,20,20,Birch,4.67529411764706,0.0125584773009966,4.72,20,0.11,0.031,0.063,0.0141,0.0136,0.00025,0.233
