stride,feature_set,n_features,model,K0,mean,mean_err
50,30,30,KMeans,4.9,1,0
50,30,30,KMeans,4.93,1,0
10,30,30,KMeans,4.67,0,0
10,30,30,KMeans,4.7,0,0
10,30,30,KMeans,4.72,0,0
10,30,30,KMeans,4.73,0.000345901072293335,0.000243324959568543
10,30,30,KMeans,4.74,0.00210560414642047,0.000769994449239048
10,30,30,KMeans,4.75,0.0174346201743462,0.00251279966052758
10,30,30,KMeans,4.76,0.0752543387193297,0.00639138520744878
10,30,30,KMeans,4.77,0.244425262552151,0.0170944322211447
10,30,30,KMeans,4.78,0.502361111111111,0.0194042242759943
10,30,30,KMeans,4.79,0.766810112963959,0.0110274341043572
10,30,30,KMeans,4.81,0.976317799847211,0.00280112044817932
10,30,30,KMeans,4.82,0.996050660492986,0.00100690330985603
10,30,30,KMeans,4.83,0.999475341028332,0.000280442016697137
10,30,30,KMeans,4.84,0.999882352941187,0.000117647058823569
10,30,30,KMeans,4.85,1,0
10,30,30,KMeans,4.86,1,0
10,30,30,KMeans,4.87,1,0
10,30,30,KMeans,4.88,1,0
10,30,30,KMeans,4.9,1,0
10,30,30,KMeans,4.93,1,0
1,30,30,KMeans,4.67,0,0
1,30,30,KMeans,4.7,0,0
1,30,30,KMeans,4.72,0,0
1,30,30,KMeans,4.73,0.000255601942574764,0.000183428901266175
1,30,30,KMeans,4.74,0.00239625665851724,0.000579641086694968
1,30,30,KMeans,4.75,0.0158796814731865,0.00250906211971222
1,30,30,KMeans,4.76,0.0758908536038058,0.00762053961758778
1,30,30,KMeans,4.77,0.237982221455079,0.0165078274327221
1,30,30,KMeans,4.78,0.494798249878464,0.0158264899790985
1,30,30,KMeans,4.79,0.756307154384082,0.00986398119064405
1,30,30,KMeans,4.81,0.974271164863144,0.00352641629535327
1,30,30,KMeans,4.82,0.996025264074921,0.00124898057347262
1,30,30,KMeans,4.83,0.99969848719226,0.00014420177761465
1,30,30,KMeans,4.84,0.999860341697314,0.000139658302686085
1,30,30,KMeans,4.85,1,0
1,30,30,KMeans,4.86,1,0
1,30,30,KMeans,4.87,1,0
1,30,30,KMeans,4.88,1,0
1,30,30,KMeans,4.9,1,0
1,30,30,KMeans,4.93,1,0
5000,30,30,Agglomerative,4.67,0,0
5000,30,30,Agglomerative,4.7,0,0
5000,30,30,Agglomerative,4.72,0,0
5000,30,30,Agglomerative,4.73,0,0
5000,30,30,Agglomerative,4.74,0,0
5000,30,30,Agglomerative,4.75,0.125,0.125
5000,30,30,Agglomerative,4.76,0,0
5000,30,30,Agglomerative,4.77,0.125,0.125
5000,30,30,Agglomerative,4.78,0.0769230769230769,0.0769230769230769
5000,30,30,Agglomerative,4.79,0.5,0.188982236504614
5000,30,30,Agglomerative,4.81,0.625,0.25
5000,30,30,Agglomerative,4.82,1,0
5000,30,30,Agglomerative,4.83,1,0
5000,30,30,Agglomerative,4.84,0.888888888888889,0.111111111111111
5000,30,30,Agglomerative,4.85,1,0
5000,30,30,Agglomerative,4.86,0.875,0.125
5000,30,30,Agglomerative,4.87,0.888888888888889,0.111111111111111
5000,30,30,Agglomerative,4.88,1,0
5000,30,30,Agglomerative,4.9,1,0
5000,30,30,Agglomerative,4.93,1,0
1000,30,30,Agglomerative,4.67,0,0
1000,30,30,Agglomerative,4.7,0,0
1000,30,30,Agglomerative,4.72,0,0
1000,30,30,Agglomerative,4.73,0,0
1000,30,30,Agglomerative,4.74,0.0625,0.0434755214775158
1000,30,30,Agglomerative,4.75,0.181818181818182,0.0681818181818182
1000,30,30,Agglomerative,4.76,0.15625,0.09375
1000,30,30,Agglomerative,4.77,0.202898550724638,0.0766884437989736
