feature_set,n_features,model,algorithm,n_neighbors,calibration,K0,chi,chi_err
30,30,KNN,auto,29,uncalibrated,4.87,0.0,0.0
30,30,KNN,auto,29,uncalibrated,4.88,0.0,0.0
30,30,KNN,auto,29,uncalibrated,4.9,0.0,0.0
30,30,KNN,auto,29,uncalibrated,4.93,0.0,0.0
30,30,KNN,auto,31,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,31,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,31,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,31,uncalibrated,4.73,1.0598550589102852e-05,5.975444131136772e-06
30,30,KNN,auto,31,uncalibrated,4.74,0.008637260319084156,0.0063846883783689875
30,30,KNN,auto,31,uncalibrated,4.75,0.050825628941772893,0.009400686777945089
30,30,KNN,auto,31,uncalibrated,4.76,0.12747570974089642,0.011259054856176193
30,30,KNN,auto,31,uncalibrated,4.77,0.17874962069867073,0.00512864905226503
30,30,KNN,auto,31,uncalibrated,4.78,0.15090163740763807,0.01118535724496654
30,30,KNN,auto,31,uncalibrated,4.79,0.0540102788707916,0.0089983265841381
30,30,KNN,auto,31,uncalibrated,4.81,0.003624192731659774,0.003428892189804408
30,30,KNN,auto,31,uncalibrated,4.82,0.0006851682617117414,0.0006720069080002392
30,30,KNN,auto,31,uncalibrated,4.83,1.703407453558455e-05,1.0477237390561659e-05
30,30,KNN,auto,31,uncalibrated,4.84,0.00023545094636656964,0.00023350319972138367
30,30,KNN,auto,31,uncalibrated,4.85,0.0,0.0
30,30,KNN,auto,31,uncalibrated,4.86,0.0,0.0
30,30,KNN,auto,31,uncalibrated,4.87,0.0,0.0
30,30,KNN,auto,31,uncalibrated,4.88,0.0,0.0
30,30,KNN,auto,31,uncalibrated,4.9,0.0,0.0
30,30,KNN,auto,31,uncalibrated,4.93,0.0,0.0
30,30,KNN,auto,33,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,33,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,33,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,33,uncalibrated,4.73,9.352807269171504e-06,5.2730962442814e-06
30,30,KNN,auto,33,uncalibrated,4.74,0.008831254724152356,0.006420391893881226
30,30,KNN,auto,33,uncalibrated,4.75,0.05096351160413377,0.009380101873239058
30,30,KNN,auto,33,uncalibrated,4.76,0.12741226560703156,0.010882893484878725
30,30,KNN,auto,33,uncalibrated,4.77,0.1780877575804341,0.005068580981406118
30,30,KNN,auto,33,uncalibrated,4.78,0.1506311626337697,0.011209374075482876
30,30,KNN,auto,33,uncalibrated,4.79,0.05311658495537747,0.008864090263073086
30,30,KNN,auto,33,uncalibrated,4.81,0.003659341744738315,0.003429694726048632
30,30,KNN,auto,33,uncalibrated,4.82,0.0006811215613068851,0.000669499132755853
30,30,KNN,auto,33,uncalibrated,4.83,1.5031905995130835e-05,9.245753105904255e-06
30,30,KNN,auto,33,uncalibrated,4.84,0.00021281680269727852,0.00020602217805679884
30,30,KNN,auto,33,uncalibrated,4.85,0.0,0.0
30,30,KNN,auto,33,uncalibrated,4.86,0.0,0.0
30,30,KNN,auto,33,uncalibrated,4.87,0.0,0.0
30,30,KNN,auto,33,uncalibrated,4.88,0.0,0.0
30,30,KNN,auto,33,uncalibrated,4.9,0.0,0.0
30,30,KNN,auto,33,uncalibrated,4.93,0.0,0.0
30,30,KNN,auto,35,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,35,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,35,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,35,uncalibrated,4.73,1.639795398937347e-05,1.1505608859416781e-05
30,30,KNN,auto,35,uncalibrated,4.74,0.008821219589916851,0.00639123942259831
30,30,KNN,auto,35,uncalibrated,4.75,0.05054749082696965,0.009338985618653692
30,30,KNN,auto,35,uncalibrated,4.76,0.1276102151119086,0.010851555618007023
30,30,KNN,auto,35,uncalibrated,4.77,0.17777887313309929,0.004968993625568692
30,30,KNN,auto,35,uncalibrated,4.78,0.15005632969900778,0.011705689807303674
30,30,KNN,auto,35,uncalibrated,4.79,0.052569372046901354,0.008956146660064708
30,30,KNN,auto,35,uncalibrated,4.81,0.003465425269995241,0.003256454288304775
30,30,KNN,auto,35,uncalibrated,4.82,0.0006055031675617694,0.000595171065772346
30,30,KNN,auto,35,uncalibrated,4.83,1.3363057656079755e-05,8.219285822309999e-06
30,30,KNN,auto,35,uncalibrated,4.84,0.00018918979439782016,0.00018314951175824807
30,30,KNN,auto,35,uncalibrated,4.85,0.0,0.0
30,30,KNN,auto,35,uncalibrated,4.86,0.0,0.0
30,30,KNN,auto,35,uncalibrated,4.87,0.0,0.0
30,30,KNN,auto,35,uncalibrated,4.88,0.0,0.0
30,30,KNN,auto,35,uncalibrated,4.9,0.0,0.0
30,30,KNN,auto,35,uncalibrated,4.93,0.0,0.0
30,30,KNN,auto,37,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,37,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,37,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,37,uncalibrated,4.73,2.0707737495083595e-05,1.4720562164498129e-05
30,30,KNN,auto,37,uncalibrated,4.74,0.008806511624121622,0.006377913775946429
30,30,KNN,auto,37,uncalibrated,4.75,0.050871836198011146,0.00935122413070947
