feature_set,n_features,model,algorithm,n_neighbors,calibration,K0,mean,mean_err
30,30,KNN,auto,7,uncalibrated,4.85,1.0,0.0
30,30,KNN,auto,7,uncalibrated,4.86,1.0,0.0
30,30,KNN,auto,7,uncalibrated,4.87,1.0,0.0
30,30,KNN,auto,7,uncalibrated,4.88,1.0,0.0
30,30,KNN,auto,7,uncalibrated,4.9,1.0,0.0
30,30,KNN,auto,7,uncalibrated,4.93,1.0,0.0
30,30,KNN,auto,9,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,9,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,9,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,9,uncalibrated,4.73,0.0,0.0
30,30,KNN,auto,9,uncalibrated,4.74,0.013484358144552318,0.009169363538295576
30,30,KNN,auto,9,uncalibrated,4.75,0.06912144702842732,0.012206115162593992
30,30,KNN,auto,9,uncalibrated,4.76,0.21023720349563044,0.023557493375711135
30,30,KNN,auto,9,uncalibrated,4.77,0.4784946236559242,0.02006488879961329
30,30,KNN,auto,9,uncalibrated,4.78,0.7125,0.02371979343972126
30,30,KNN,auto,9,uncalibrated,4.79,0.9044399368942979,0.011897872650776272
30,30,KNN,auto,9,uncalibrated,4.81,0.993638676844784,0.005513146734520691
30,30,KNN,auto,9,uncalibrated,4.82,0.9984061930783239,0.001307960529721799
30,30,KNN,auto,9,uncalibrated,4.83,0.9994771241830251,0.0003675216786586373
30,30,KNN,auto,9,uncalibrated,4.84,0.9995877138734114,0.00041228612657175865
30,30,KNN,auto,9,uncalibrated,4.85,1.0,0.0
30,30,KNN,auto,9,uncalibrated,4.86,1.0,0.0
30,30,KNN,auto,9,uncalibrated,4.87,1.0,0.0
30,30,KNN,auto,9,uncalibrated,4.88,1.0,0.0
30,30,KNN,auto,9,uncalibrated,4.9,1.0,0.0
30,30,KNN,auto,9,uncalibrated,4.93,1.0,0.0
30,30,KNN,auto,11,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,11,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,11,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,11,uncalibrated,4.73,0.0,0.0
30,30,KNN,auto,11,uncalibrated,4.74,0.012797881729920564,0.0088261253309797
30,30,KNN,auto,11,uncalibrated,4.75,0.0697674418604663,0.012295693858882914
30,30,KNN,auto,11,uncalibrated,4.76,0.21450459652706821,0.0232926542410447
30,30,KNN,auto,11,uncalibrated,4.77,0.48289345063537586,0.01984476704574248
30,30,KNN,auto,11,uncalibrated,4.78,0.7143939393939394,0.023413462701835388
30,30,KNN,auto,11,uncalibrated,4.79,0.9057717130739443,0.011974632561352871
30,30,KNN,auto,11,uncalibrated,4.81,0.99323386537127,0.006072172102706441
30,30,KNN,auto,11,uncalibrated,4.82,0.9986959761549926,0.0010701495243177722
30,30,KNN,auto,11,uncalibrated,4.83,0.9993582887700628,0.0004760202269637865
